layer,method,physical_pages,n,expert_output_recovery_p10,expert_output_recovery_median,expert_output_recovery_p90
0,refinement_uniform_rank1024_int4,64,7,0.1857577797634947,0.4410171737265637,0.5060067826604079
0,refinement_uniform_rank1024_int4,128,7,0.24282380299114834,0.5046181043008089,0.6633955997054879
0,refinement_uniform_rank1024_int4,256,7,0.44112199145133224,0.593104698862843,0.7306034090337696
0,refinement_uniform_rank1024_int4,384,7,0.42074166777312916,0.6169344075243297,0.734256419424857
0,refinement_uniform_rank1024_int4,512,7,0.4246398433513918,0.739527639600308,0.783024548470311
0,refinement_uniform_rank1024_int4,688,7,0.4483170065868298,0.7270780189473174,0.7649593797502156
0,refinement_uniform_rank1024_int4,728,7,0.4349395185263244,0.7290727067353172,0.768512961998713
0,refinement_uniform_rank1024_int4,750,7,0.42976367506123936,0.7304029759173609,0.7710955854684987
0,refinement_uniform_rank1024_int4,752,7,0.4357340915224427,0.7307743061048287,0.7722203621806576
0,refinement_uniform_rank1024_int4,758,7,0.42698015802915645,0.7275426846274973,0.7768612877485356
0,refinement_uniform_rank1024_int4,760,7,0.4278773028009686,0.7268526925862597,0.7757817094005208
0,refinement_uniform_rank1024_int4,764,7,0.4234519839566966,0.7224026599713999,0.774998607942936
0,refinement_uniform_rank1024_int4,768,7,0.42331560858946393,0.7223136180125329,0.773589261044618
0,refinement_uniform_rank1024_int4,1024,7,0.4354875981540165,0.7375193562813137,0.7828342416966925
4,activation_pca_full_int2,64,16,0.2614170100572553,0.5083846399591423,0.7260995067751594
4,activation_pca_full_int2,128,16,0.42697424054133964,0.5569584063131835,0.783910856144511
4,activation_pca_full_int2,256,16,0.5981372329826924,0.7027828229713508,0.8168604672639445
4,activation_pca_full_int2,384,16,0.6478776457499207,0.7516135058421907,0.8658605574010778
4,activation_pca_full_int2,512,16,0.7240333008455446,0.8117653565561352,0.8881077731046279
4,activation_pca_full_int2,688,16,0.7996122960949579,0.860655918433135,0.8920330689144886
4,activation_pca_full_int2,728,16,0.7967420127244272,0.8802865516471005,0.9022985026695016
4,activation_pca_full_int2,750,16,0.8085370750273215,0.8805175181032543,0.9056972711121017
4,activation_pca_full_int2,752,16,0.8086284413422957,0.8807083107972171,0.9053557195372237
4,activation_pca_full_int2,758,16,0.8040139946663746,0.8802176192703969,0.9094783675265552
4,activation_pca_full_int2,760,16,0.8055289824055469,0.881237647457082,0.9110082548585352
4,activation_pca_full_int2,764,16,0.8094681861227647,0.8800811032197625,0.9141281791824585
4,activation_pca_full_int2,768,16,0.8038589236444875,0.8758361302927855,0.9146439950592065
4,activation_pca_full_int2,1024,16,0.8080044155658076,0.8938171893140796,0.9257409074271883
4,activation_pca_rank1024_int4,64,16,0.176474742903298,0.43318634751397483,0.7436784899925688
4,activation_pca_rank1024_int4,128,16,0.17360068591390643,0.5371705233354604,0.7448156642034982
4,activation_pca_rank1024_int4,256,16,0.15465350431578562,0.5555793230176669,0.7732392760567532
4,activation_pca_rank1024_int4,384,16,0.30419272689011656,0.6490099138601304,0.8135681657485454
4,activation_pca_rank1024_int4,512,16,0.3638878930366637,0.6646368803872933,0.8321667701627846
4,activation_pca_rank1024_int4,688,16,0.3867069465123788,0.6860610375577036,0.8336109859451364
4,activation_pca_rank1024_int4,728,16,0.3950902166664203,0.6801476736901557,0.8392983419992124
4,activation_pca_rank1024_int4,750,16,0.41571698540459795,0.6798160240546067,0.8427899693563448
4,activation_pca_rank1024_int4,752,16,0.41686793622502877,0.6794007957328418,0.8437714542590822
4,activation_pca_rank1024_int4,758,16,0.41451939860349346,0.6833900607976198,0.8425121372409501
4,activation_pca_rank1024_int4,760,16,0.4148029797388468,0.6830395185578323,0.8421846947427909
4,activation_pca_rank1024_int4,764,16,0.4137436058553848,0.6837259689170773,0.8400880930171992
4,activation_pca_rank1024_int4,768,16,0.421446764745673,0.6828736637284119,0.8379672208705701
4,activation_pca_rank1024_int4,1024,16,0.4351154284499544,0.6837043784865535,0.8380622184740871
4,block_ajd_full_int2,64,16,-0.017727358412226668,0.2665425365980284,0.4857350097590576
4,block_ajd_full_int2,128,16,0.21325053242895275,0.388478284116874,0.5286680239271571
4,block_ajd_full_int2,256,16,0.3786942276035136,0.5780897412560629,0.7342311309890764
4,block_ajd_full_int2,384,16,0.4822997025691066,0.6997218546301981,0.7865003682869693
4,block_ajd_full_int2,512,16,0.5201874480646027,0.7338244724627456,0.8355703577920606
4,block_ajd_full_int2,688,16,0.6698177912936907,0.8045013920708738,0.8646358462531827
4,block_ajd_full_int2,728,16,0.691185451085513,0.8158259350878536,0.8714799549674084
4,block_ajd_full_int2,750,16,0.689113890152332,0.8196885563679539,0.8626029291693615
4,block_ajd_full_int2,752,16,0.6932039416265533,0.8201332839722716,0.8675130161160817
4,block_ajd_full_int2,758,16,0.6960979776472309,0.8182357848206079,0.8687339942858909
4,block_ajd_full_int2,760,16,0.6932336995946031,0.8209287039811186,0.8694424541697122
4,block_ajd_full_int2,764,16,0.6967059478315956,0.8216752335852967,0.8667302442194952
4,block_ajd_full_int2,768,16,0.7045968377233558,0.8170337277853875,0.8661263561160772
4,block_ajd_full_int2,1024,16,0.7591342169358289,0.8412136395304151,0.8846056218905618
4,block_ajd_rank1024_int4,64,16,-0.14717795811807266,0.08274581949792364,0.3300358691807618
4,block_ajd_rank1024_int4,128,16,-0.002769350950813654,0.21459314612797692,0.4029286934942787
4,block_ajd_rank1024_int4,256,16,0.03943502604729687,0.358417589289635,0.5157039426914511
4,block_ajd_rank1024_int4,384,16,0.097474884235769,0.384962933611348,0.5593966095496843
4,block_ajd_rank1024_int4,512,16,0.04845927896561897,0.43173955684094883,0.5876894521134833
4,block_ajd_rank1024_int4,688,16,0.023246584547614413,0.4321422994214397,0.5878539491710921
4,block_ajd_rank1024_int4,728,16,0.05201119027508455,0.4449319092368159,0.5891602285652509
4,block_ajd_rank1024_int4,750,16,0.06148356361644475,0.44647486431772765,0.5904834359150224
4,block_ajd_rank1024_int4,752,16,0.05971428214063196,0.4503597743819612,0.5915238228478776
4,block_ajd_rank1024_int4,758,16,0.06720640610795187,0.44299328305720564,0.5898289082204196
4,block_ajd_rank1024_int4,760,16,0.06469340601806356,0.4404760633348319,0.5890118685241446
4,block_ajd_rank1024_int4,764,16,0.07013041780107876,0.4452089863396405,0.5901202541324124
4,block_ajd_rank1024_int4,768,16,0.06885095223380011,0.4465565120447455,0.5922132579854816
4,block_ajd_rank1024_int4,1024,16,0.04599951894887061,0.44396585003131317,0.6008424891725037
4,identity_full_int2,64,16,0.16527911799892236,0.2584443736693026,0.5246157590874079
4,identity_full_int2,128,16,0.08398419739209861,0.4153192873994775,0.612117372120098
4,identity_full_int2,256,16,0.42296229921466083,0.6074274372197934,0.6891606524290059
4,identity_full_int2,384,16,0.44595594275453027,0.6228741337225461,0.7429703119972415
4,identity_full_int2,512,16,0.421893446959488,0.723868935565246,0.8050312300447047
