method,physical_pages,n,isolated_recovery_p10,isolated_recovery_median,isolated_recovery_p90,expert_output_recovery_p10,expert_output_recovery_median,expert_output_recovery_p90,physically_encoded,budget_semantics
identity_paired_int4,752,55,0.8438061942687666,0.868705502919274,0.88735407647412,0.7584596346321304,0.8575147530083433,0.918090506759701,True,physical_512_byte_pages
identity_paired_int4,758,55,0.8455152345703937,0.8709480257897322,0.8884407584259114,0.7545398299153357,0.8565961134181079,0.9171266145316744,True,physical_512_byte_pages
identity_paired_int4,760,55,0.846318792670765,0.8719009081420055,0.8894750445981232,0.754385925242254,0.8579641288105084,0.9235851547582131,True,physical_512_byte_pages
identity_paired_int4,764,55,0.8478130785622161,0.8731022851199794,0.8902667826549758,0.7527005598471742,0.865845544509773,0.9235301783260794,True,physical_512_byte_pages
identity_paired_int4,768,55,0.8494352487521073,0.8735875099253212,0.8918579139271408,0.7569114589350854,0.8593845272100437,0.9244208968425753,True,physical_512_byte_pages
identity_paired_int4,1024,55,0.9146708203198349,0.9282842807135148,0.937980660859123,0.8568201803638413,0.9300476471802938,0.9637551009295019,True,physical_512_byte_pages
native_row_diagonal,64,55,0.167577475835923,0.19831062575750436,0.37086499394452327,0.44154513413840935,0.6870122306726649,0.8398384405410909,True,physical_512_byte_pages
native_row_diagonal,128,55,0.2937239505191841,0.32247083664853615,0.5740805406327171,0.6568466324479394,0.7689886293283317,0.9242850664974267,True,physical_512_byte_pages
native_row_diagonal,256,55,0.4617219546001092,0.5050156079829886,0.8360150100172234,0.8302297454834945,0.9008090396932517,0.987203228998271,True,physical_512_byte_pages
native_row_diagonal,384,55,0.5832851474034554,0.6530569042337326,0.9720026135417584,0.9013550862628413,0.9535876027231659,0.9969573809820581,True,physical_512_byte_pages
native_row_diagonal,512,55,0.6893719180479443,0.758505500610261,0.9999999991568915,0.9538144832145953,0.9780039714561422,1.0,True,physical_512_byte_pages
native_row_diagonal,688,55,0.813758449761278,0.8623630473533078,0.9999999995490692,0.9841844702809245,0.9914778459290426,1.0,True,physical_512_byte_pages
native_row_diagonal,728,55,0.8416488076103363,0.8857211557741584,0.9999999996362019,0.9867352423609317,0.9933697184491476,1.0,True,physical_512_byte_pages
native_row_diagonal,750,55,0.8578008003233552,0.8966152948318025,0.9999999996632409,0.989868658198936,0.9942562202767988,1.0,True,physical_512_byte_pages
native_row_diagonal,752,55,0.8621845076351987,0.8971399003543342,0.9999999996656991,0.9899600549335639,0.9945920093987382,1.0,True,physical_512_byte_pages
native_row_diagonal,758,55,0.8636191038563648,0.9016438358723717,0.9999999996730734,0.9904992521070913,0.9949378545714275,1.0,True,physical_512_byte_pages
native_row_diagonal,760,55,0.8638626896065809,0.901688004508411,0.9999999996755314,0.9908376666055211,0.994968926902252,1.0,True,physical_512_byte_pages
native_row_diagonal,764,55,0.8671161731006667,0.9040882951500953,0.9999999996804477,0.9907787741536997,0.994809310993875,1.0,True,physical_512_byte_pages
native_row_diagonal,768,55,0.8689219846630133,0.90646683022044,0.9999999996853638,0.9912830026285593,0.9952627044571666,1.0,True,physical_512_byte_pages
native_row_diagonal,1024,55,1.0,1.0,1.0,1.0,1.0,1.0,True,physical_512_byte_pages
native_row_exact_greedy,64,55,0.14573856062003313,0.1732005141764128,0.29950175939273305,0.6981682676714954,0.839443124987434,0.9210241796870465,True,physical_512_byte_pages
native_row_exact_greedy,128,55,0.24610184249952677,0.2691418833492272,0.4481196656569374,0.7963425878162944,0.890526212815143,0.9511111637931281,True,physical_512_byte_pages
native_row_exact_greedy,256,55,0.37055286661756376,0.40097418698305176,0.5410797460203797,0.8504334844164594,0.9295355191151471,0.962810933242308,True,physical_512_byte_pages
native_row_exact_greedy,384,55,0.4521981570172612,0.4917922926760907,0.549070720918779,0.8674927666493463,0.9391658079216245,0.9701202118531371,True,physical_512_byte_pages
native_row_exact_greedy,512,55,0.5030547840707897,0.5545465864571589,0.5978526385342441,0.8748838122808515,0.9436727087468401,0.971760857703097,True,physical_512_byte_pages
native_row_exact_greedy,688,55,0.5709171363312671,0.6275104194042261,0.6768981850888289,0.8750383436700372,0.9438720909812076,0.972067107026643,True,physical_512_byte_pages
native_row_exact_greedy,728,55,0.6005099223596744,0.6533231462103969,0.7027244095459243,0.8748137486346745,0.9442445890551008,0.9718879777951773,True,physical_512_byte_pages
native_row_exact_greedy,750,55,0.615007415624751,0.665754596746565,0.7171673693879158,0.8750244705533184,0.9442848493349704,0.9721636452831206,True,physical_512_byte_pages
native_row_exact_greedy,752,55,0.6168155405714691,0.6673855435479009,0.7174335614938481,0.8755351081703601,0.9444159190523919,0.9721556969497007,True,physical_512_byte_pages
