method,tuple,layer,invocations,p10,median,p90
rrq_raw_heterogeneous_bf16_scales,"(2,2,1)",0,41,0.805917501449585,0.9020934104919434,0.957841157913208
rrq_raw_heterogeneous_bf16_scales,"(2,2,1)",4,34,0.8793976306915283,0.9373219013214111,0.9577804684638977
rrq_raw_heterogeneous_bf16_scales,"(2,2,1)",20,24,0.9141993761062622,0.947659969329834,0.9697761356830596
rrq_raw_heterogeneous_bf16_scales,"(2,2,1)",39,34,0.8737608432769776,0.912921667098999,0.9514644861221313
rrq_raw_heterogeneous_bf16_scales,"(2,2,2)",0,41,0.9439234137535095,0.9769896864891052,0.9908124804496765
rrq_raw_heterogeneous_bf16_scales,"(2,2,2)",4,34,0.9559613704681397,0.9806208312511444,0.9892098605632782
rrq_raw_heterogeneous_bf16_scales,"(2,2,2)",20,24,0.9706721901893616,0.981345921754837,0.9872647762298584
rrq_raw_heterogeneous_bf16_scales,"(2,2,2)",39,34,0.962169736623764,0.9763523638248444,0.9823056578636169
rrq_raw_heterogeneous_fp32_scales_upper,"(0,0,1)",0,41,0.3228740096092224,0.40667814016342163,0.6799709796905518
rrq_raw_heterogeneous_fp32_scales_upper,"(0,0,1)",4,34,0.15150565505027772,0.33074596524238586,0.4545801818370819
rrq_raw_heterogeneous_fp32_scales_upper,"(0,0,1)",20,24,-0.08538351058959959,0.2894608676433563,0.3998338580131531
rrq_raw_heterogeneous_fp32_scales_upper,"(0,0,1)",39,34,0.16995719075202942,0.4121879041194916,0.5443402647972106
rrq_raw_heterogeneous_fp32_scales_upper,"(1,1,0)",0,41,0.14744305610656738,0.4166756272315979,0.5179722309112549
rrq_raw_heterogeneous_fp32_scales_upper,"(1,1,0)",4,34,0.24420724511146547,0.49402064085006714,0.6831252217292786
rrq_raw_heterogeneous_fp32_scales_upper,"(1,1,0)",20,24,0.26654837727546693,0.572167694568634,0.7785549879074096
rrq_raw_heterogeneous_fp32_scales_upper,"(1,1,0)",39,34,0.18780398964881898,0.43964913487434387,0.6382151424884795
rrq_raw_heterogeneous_fp32_scales_upper,"(1,1,1)",0,41,0.7198106050491333,0.8418383598327637,0.9069969654083252
rrq_raw_heterogeneous_fp32_scales_upper,"(1,1,1)",4,34,0.8050327241420746,0.8735823929309845,0.9251937508583069
rrq_raw_heterogeneous_fp32_scales_upper,"(1,1,1)",20,24,0.8038882434368133,0.9032863974571228,0.949587368965149
rrq_raw_heterogeneous_fp32_scales_upper,"(1,1,1)",39,34,0.747750437259674,0.8385679721832275,0.9030432105064392
rrq_raw_heterogeneous_fp32_scales_upper,"(1,1,2)",0,41,0.8611941337585449,0.9340262413024902,0.9627631306648254
rrq_raw_heterogeneous_fp32_scales_upper,"(1,1,2)",4,34,0.8687335312366485,0.9197200238704681,0.9514828979969024
rrq_raw_heterogeneous_fp32_scales_upper,"(1,1,2)",20,24,0.8770282030105591,0.9236944317817688,0.9552565753459931
rrq_raw_heterogeneous_fp32_scales_upper,"(1,1,2)",39,34,0.8420320689678192,0.9040652215480804,0.9452370047569275
rrq_raw_heterogeneous_fp32_scales_upper,"(2,2,1)",0,41,0.8019515872001648,0.9022940397262573,0.9579700231552124
rrq_raw_heterogeneous_fp32_scales_upper,"(2,2,1)",4,34,0.8781343579292298,0.9376943707466125,0.9582319378852844
rrq_raw_heterogeneous_fp32_scales_upper,"(2,2,1)",20,24,0.9158378064632415,0.9466186761856079,0.9699420690536499
rrq_raw_heterogeneous_fp32_scales_upper,"(2,2,1)",39,34,0.8723464071750641,0.9135017693042755,0.9518030762672425
rrq_raw_heterogeneous_fp32_scales_upper,"(2,2,2)",0,41,0.9391425251960754,0.9736111164093018,0.9910863041877747
rrq_raw_heterogeneous_fp32_scales_upper,"(2,2,2)",4,34,0.955453771352768,0.9813854694366455,0.9888621628284454
rrq_raw_heterogeneous_fp32_scales_upper,"(2,2,2)",20,24,0.9709952414035797,0.9820846021175385,0.9876497626304627
rrq_raw_heterogeneous_fp32_scales_upper,"(2,2,2)",39,34,0.9624613761901856,0.9756249785423279,0.9825643420219421
rrq_raw_heterogeneous_weight_only_down,"(0,0,1)",0,41,0.3440110683441162,0.42187100648880005,0.6801797747612
rrq_raw_heterogeneous_weight_only_down,"(0,0,1)",4,34,0.17584375143051148,0.3411984443664551,0.43285565376281737
rrq_raw_heterogeneous_weight_only_down,"(0,0,1)",20,24,0.008479601144790658,0.28035733103752136,0.3954539835453033
rrq_raw_heterogeneous_weight_only_down,"(0,0,1)",39,34,0.12594408988952638,0.3501061499118805,0.5166849136352539
rrq_raw_heterogeneous_weight_only_down,"(1,1,0)",0,41,0.14741730690002441,0.41667115688323975,0.5179620981216431
rrq_raw_heterogeneous_weight_only_down,"(1,1,0)",4,34,0.24426740407943728,0.4939892888069153,0.6831406712532043
rrq_raw_heterogeneous_weight_only_down,"(1,1,0)",20,24,0.2665884017944336,0.5721955299377441,0.7785506844520569
rrq_raw_heterogeneous_weight_only_down,"(1,1,0)",39,34,0.18788339495658873,0.43967896699905396,0.6382335424423218
rrq_raw_heterogeneous_weight_only_down,"(1,1,1)",0,41,0.7400152683258057,0.8367121815681458,0.9018847346305847
rrq_raw_heterogeneous_weight_only_down,"(1,1,1)",4,34,0.8107953667640686,0.8874834179878235,0.9382712483406067
rrq_raw_heterogeneous_weight_only_down,"(1,1,1)",20,24,0.8066696941852569,0.9081199169158936,0.9493550002574921
rrq_raw_heterogeneous_weight_only_down,"(1,1,1)",39,34,0.768300586938858,0.8478430509567261,0.909266608953476
rrq_raw_heterogeneous_weight_only_down,"(1,1,2)",0,41,0.8736529350280762,0.9317207336425781,0.9554760456085205
rrq_raw_heterogeneous_weight_only_down,"(1,1,2)",4,34,0.882321572303772,0.9225239753723145,0.9554238796234131
rrq_raw_heterogeneous_weight_only_down,"(1,1,2)",20,24,0.8659791052341461,0.9251991510391235,0.9567092716693878
rrq_raw_heterogeneous_weight_only_down,"(1,1,2)",39,34,0.8599596381187439,0.9109587669372559,0.9485563695430755
rrq_raw_heterogeneous_weight_only_down,"(2,2,1)",0,41,0.8081750869750977,0.8935990333557129,0.9464808106422424
rrq_raw_heterogeneous_weight_only_down,"(2,2,1)",4,34,0.8942400455474854,0.9453372657299042,0.962145185470581
rrq_raw_heterogeneous_weight_only_down,"(2,2,1)",20,24,0.8823028326034545,0.9457135498523712,0.966762226819992
rrq_raw_heterogeneous_weight_only_down,"(2,2,1)",39,34,0.8886571943759918,0.9168289303779602,0.9396049499511718
rrq_raw_heterogeneous_weight_only_down,"(2,2,2)",0,41,0.9624375104904175,0.9776498675346375,0.9890822768211365
rrq_raw_heterogeneous_weight_only_down,"(2,2,2)",4,34,0.9629002511501312,0.9824455380439758,0.9905499458312989
rrq_raw_heterogeneous_weight_only_down,"(2,2,2)",20,24,0.9690902590751648,0.9830546677112579,0.9894378960132599
rrq_raw_heterogeneous_weight_only_down,"(2,2,2)",39,34,0.9634344339370727,0.9774995446205139,0.9852084755897522
rrq_raw_homogeneous,"(0,0,1)",0,41,0.2625918388366699,0.5148464441299438,0.6482987999916077
rrq_raw_homogeneous,"(0,0,1)",4,34,0.1001319706439972,0.30998072028160095,0.4591606855392456
rrq_raw_homogeneous,"(0,0,1)",20,24,-0.04708073139190673,0.20494899153709412,0.37628636956214906
rrq_raw_homogeneous,"(0,0,1)",39,34,0.060338073968887365,0.3699287474155426,0.5398799419403076
rrq_raw_homogeneous,"(1,1,0)",0,41,0.17530035972595215,0.3584308624267578,0.5651863813400269
rrq_raw_homogeneous,"(1,1,0)",4,34,0.29640170335769656,0.47217848896980286,0.6037475943565369
rrq_raw_homogeneous,"(1,1,0)",20,24,0.11193153262138372,0.5285961031913757,0.7111013531684875
rrq_raw_homogeneous,"(1,1,0)",39,34,-0.09589685201644897,0.30919885635375977,0.5618213772773742
rrq_raw_homogeneous,"(1,1,1)",0,41,0.7013972401618958,0.8176561594009399,0.9008852243423462
rrq_raw_homogeneous,"(1,1,1)",4,34,0.6194676995277405,0.7689718008041382,0.8587481677532196
rrq_raw_homogeneous,"(1,1,1)",20,24,0.6122731745243073,0.774198591709137,0.8548906743526459
rrq_raw_homogeneous,"(1,1,1)",39,34,0.5468005537986755,0.7150887846946716,0.8269137442111969
rrq_raw_homogeneous,"(1,1,2)",0,41,0.7969409823417664,0.9155324697494507,0.9614428281784058
rrq_raw_homogeneous,"(1,1,2)",4,34,0.7619728207588196,0.8566845059394836,0.9151175916194916
rrq_raw_homogeneous,"(1,1,2)",20,24,0.7667386054992675,0.8393567204475403,0.9072030663490296
rrq_raw_homogeneous,"(1,1,2)",39,34,0.6727108836174012,0.8571285307407379,0.9267203032970428
rrq_raw_homogeneous,"(2,2,1)",0,41,0.7989402413368225,0.8933500051498413,0.9585492014884949
rrq_raw_homogeneous,"(2,2,1)",4,34,0.7990066528320312,0.8713181018829346,0.9358515501022339
rrq_raw_homogeneous,"(2,2,1)",20,24,0.8342012763023376,0.8816184401512146,0.9511548101902008
rrq_raw_homogeneous,"(2,2,1)",39,34,0.7441599488258361,0.8566303849220276,0.9282980799674988
rrq_raw_homogeneous,"(2,2,2)",0,41,0.9554676413536072,0.9785194396972656,0.9915244579315186
rrq_raw_homogeneous,"(2,2,2)",4,34,0.9557294845581055,0.9708828330039978,0.9847323954105377
rrq_raw_homogeneous,"(2,2,2)",20,24,0.9579076826572418,0.9742900729179382,0.9845391929149627
rrq_raw_homogeneous,"(2,2,2)",39,34,0.9460179269313812,0.9696145355701447,0.9847871899604798
