method,budget_bpw,layer,expert_id,expert_stratum,invocations,mean,median
independent_direct_generalized_native,1.5,39,189,hot,4,0.6157041490077972,0.6011048257350922
independent_direct_generalized_native,1.5,39,193,median,4,0.6363774240016937,0.6421642005443573
independent_direct_generalized_native,1.5,39,235,hot,4,0.5907132923603058,0.5864385962486267
independent_direct_generalized_native,2.0,0,1,median,4,0.5976240932941437,0.5765191912651062
independent_direct_generalized_native,2.0,0,8,cold,1,0.718070387840271,0.718070387840271
independent_direct_generalized_native,2.0,0,17,cold,4,0.6388493329286575,0.6280762851238251
independent_direct_generalized_native,2.0,0,22,median,4,0.6470730155706406,0.5969449877738953
independent_direct_generalized_native,2.0,0,114,median,1,0.8155653476715088,0.8155653476715088
independent_direct_generalized_native,2.0,0,158,median,4,0.7028915882110596,0.7013883590698242
independent_direct_generalized_native,2.0,0,164,cold,3,0.7149767478307089,0.7520168423652649
independent_direct_generalized_native,2.0,0,181,hot,4,0.7181872129440308,0.704075813293457
independent_direct_generalized_native,2.0,0,206,hot,4,0.7343829274177551,0.7302559614181519
independent_direct_generalized_native,2.0,0,238,hot,4,0.7271065562963486,0.7246826887130737
independent_direct_generalized_native,2.0,0,248,cold,4,0.6154141575098038,0.6185922026634216
independent_direct_generalized_native,2.0,0,252,hot,4,0.9132772535085678,0.9230596423149109
independent_direct_generalized_native,2.0,4,28,hot,4,0.6392188966274261,0.6742625534534454
independent_direct_generalized_native,2.0,4,36,median,4,0.5971013754606247,0.6134465038776398
independent_direct_generalized_native,2.0,4,82,median,4,0.7192934900522232,0.7302245795726776
independent_direct_generalized_native,2.0,4,111,cold,1,0.560623049736023,0.560623049736023
independent_direct_generalized_native,2.0,4,129,hot,4,0.6385162770748138,0.6411556601524353
independent_direct_generalized_native,2.0,4,134,hot,4,0.6394778937101364,0.6518593728542328
independent_direct_generalized_native,2.0,4,143,cold,1,0.5864835977554321,0.5864835977554321
independent_direct_generalized_native,2.0,4,154,hot,4,0.6579817086458206,0.6537964344024658
independent_direct_generalized_native,2.0,4,190,median,4,0.7618347853422165,0.7512940466403961
independent_direct_generalized_native,2.0,4,193,median,4,0.6304616630077362,0.6263708472251892
independent_direct_generalized_native,2.0,20,30,cold,1,0.4766795039176941,0.4766795039176941
independent_direct_generalized_native,2.0,20,44,median,3,0.6412067413330078,0.6822469234466553
independent_direct_generalized_native,2.0,20,45,median,1,0.590140163898468,0.590140163898468
independent_direct_generalized_native,2.0,20,72,hot,4,0.6751775443553925,0.6728927791118622
independent_direct_generalized_native,2.0,20,142,median,3,0.7100389202435812,0.7117497324943542
independent_direct_generalized_native,2.0,20,148,hot,4,0.7030245512723923,0.7107972502708435
independent_direct_generalized_native,2.0,20,232,hot,4,0.7278306633234024,0.7183370590209961
independent_direct_generalized_native,2.0,20,240,hot,4,0.6608693599700928,0.6560141146183014
independent_direct_generalized_native,2.0,39,22,hot,4,0.6306539475917816,0.6352483034133911
independent_direct_generalized_native,2.0,39,37,median,4,0.7205583155155182,0.7500315308570862
independent_direct_generalized_native,2.0,39,43,cold,2,0.5171168446540833,0.5171168446540833
independent_direct_generalized_native,2.0,39,55,median,4,0.5948075950145721,0.5858848094940186
independent_direct_generalized_native,2.0,39,70,hot,4,0.6507026553153992,0.6658503413200378
independent_direct_generalized_native,2.0,39,147,median,4,0.6937831044197083,0.6934787034988403
independent_direct_generalized_native,2.0,39,189,hot,4,0.6157041490077972,0.6011048257350922
independent_direct_generalized_native,2.0,39,193,median,4,0.6363774240016937,0.6421642005443573
independent_direct_generalized_native,2.0,39,235,hot,4,0.5907132923603058,0.5864385962486267
independent_direct_generalized_native,2.25,0,1,median,4,0.7344526946544647,0.743880569934845
independent_direct_generalized_native,2.25,0,8,cold,1,0.7608460187911987,0.7608460187911987
independent_direct_generalized_native,2.25,0,17,cold,4,0.7605702131986618,0.7722482681274414
independent_direct_generalized_native,2.25,0,22,median,4,0.7999134659767151,0.775102436542511
independent_direct_generalized_native,2.25,0,114,median,1,0.852523922920227,0.852523922920227
independent_direct_generalized_native,2.25,0,158,median,4,0.8649140447378159,0.8563828766345978
independent_direct_generalized_native,2.25,0,164,cold,3,0.8373334010442098,0.8607351779937744
independent_direct_generalized_native,2.25,0,181,hot,4,0.8388018012046814,0.8342720866203308
independent_direct_generalized_native,2.25,0,206,hot,4,0.8934312909841537,0.9046264290809631
independent_direct_generalized_native,2.25,0,238,hot,4,0.8701053410768509,0.8692981004714966
independent_direct_generalized_native,2.25,0,248,cold,4,0.7744223475456238,0.7926492094993591
independent_direct_generalized_native,2.25,0,252,hot,4,0.956757515668869,0.9640235900878906
independent_direct_generalized_native,2.25,4,28,hot,4,0.831584021449089,0.8529272079467773
independent_direct_generalized_native,2.25,4,36,median,4,0.8105860352516174,0.830080509185791
independent_direct_generalized_native,2.25,4,82,median,4,0.8354116529226303,0.8530549108982086
independent_direct_generalized_native,2.25,4,111,cold,1,0.7747927308082581,0.7747927308082581
independent_direct_generalized_native,2.25,4,129,hot,4,0.8254185020923615,0.8268891274929047
independent_direct_generalized_native,2.25,4,134,hot,4,0.8091487288475037,0.792150616645813
independent_direct_generalized_native,2.25,4,143,cold,1,0.8692847490310669,0.8692847490310669
independent_direct_generalized_native,2.25,4,154,hot,4,0.8288299143314362,0.8371237516403198
independent_direct_generalized_native,2.25,4,190,median,4,0.8875725269317627,0.8959324359893799
independent_direct_generalized_native,2.25,4,193,median,4,0.8437035083770752,0.843424379825592
independent_direct_generalized_native,2.25,20,30,cold,1,0.8340502977371216,0.8340502977371216
independent_direct_generalized_native,2.25,20,44,median,3,0.8553709387779236,0.8673769235610962
independent_direct_generalized_native,2.25,20,45,median,1,0.864094078540802,0.864094078540802
independent_direct_generalized_native,2.25,20,72,hot,4,0.8004219979047775,0.7724699676036835
independent_direct_generalized_native,2.25,20,142,median,3,0.8630671501159668,0.9008917212486267
independent_direct_generalized_native,2.25,20,148,hot,4,0.8573282063007355,0.8416651487350464
independent_direct_generalized_native,2.25,20,232,hot,4,0.8567580729722977,0.8694839775562286
independent_direct_generalized_native,2.25,20,240,hot,4,0.8368623554706573,0.8473220765590668
independent_direct_generalized_native,2.25,39,22,hot,4,0.846601814031601,0.8613332509994507
independent_direct_generalized_native,2.25,39,37,median,4,0.891019657254219,0.8972906172275543
independent_direct_generalized_native,2.25,39,43,cold,2,0.7150934934616089,0.7150934934616089
independent_direct_generalized_native,2.25,39,55,median,4,0.8145925104618073,0.8276722729206085
independent_direct_generalized_native,2.25,39,70,hot,4,0.8154198080301285,0.801848977804184
independent_direct_generalized_native,2.25,39,147,median,4,0.834164023399353,0.8192505836486816
independent_direct_generalized_native,2.25,39,189,hot,4,0.7765042930841446,0.7896864116191864
independent_direct_generalized_native,2.25,39,193,median,4,0.8107161372900009,0.8083098530769348
independent_direct_generalized_native,2.25,39,235,hot,4,0.7580687254667282,0.7448033094406128
independent_direct_generalized_native,3.0,0,1,median,4,0.8393942564725876,0.8496302366256714
independent_direct_generalized_native,3.0,0,8,cold,1,0.8390408754348755,0.8390408754348755
independent_direct_generalized_native,3.0,0,17,cold,4,0.8862904161214828,0.9040942788124084
