method,threshold,layer,count,mean,median,<lambda_0>,<lambda_1>,<lambda_2>,<lambda_3>
rrq_raw_heterogeneous,0.99,20,24,5.730902777777778,5.5,6.291666666666667,6.291666666666667,6.291666666666667,6.901249999999999
rrq_raw_heterogeneous,0.99,39,32,6.365885416666667,6.291666666666667,6.489583333333334,7.083333333333333,7.083333333333333,7.083333333333333
rrq_raw_heterogeneous_bf16_scales,0.8,0,41,2.3373983739837403,2.3333333333333335,2.3333333333333335,3.125,3.125,3.125
rrq_raw_heterogeneous_bf16_scales,0.8,4,34,2.3566176470588234,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.610416666666665,3.125
rrq_raw_heterogeneous_bf16_scales,0.8,20,24,2.3663194444444446,2.3333333333333335,2.3333333333333335,2.3333333333333335,3.0062499999999983,3.125
rrq_raw_heterogeneous_bf16_scales,0.8,39,34,2.4754901960784315,2.3333333333333335,2.3333333333333335,3.125,3.125,3.125
rrq_raw_heterogeneous_bf16_scales,0.9,0,41,3.1077235772357725,3.125,3.125,3.9166666666666665,3.9166666666666665,4.3916666666666675
rrq_raw_heterogeneous_bf16_scales,0.9,4,34,3.008578431372549,3.125,3.125,3.9166666666666665,3.9166666666666665,3.9166666666666665
rrq_raw_heterogeneous_bf16_scales,0.9,20,24,2.828125,2.3333333333333335,3.125,3.9166666666666665,3.9166666666666665,3.9166666666666665
rrq_raw_heterogeneous_bf16_scales,0.9,39,34,3.218137254901961,3.125,3.125,3.9166666666666665,3.9166666666666665,3.9166666666666665
rrq_raw_heterogeneous_bf16_scales,0.95,0,41,3.916666666666666,3.9166666666666665,4.708333333333333,4.708333333333333,4.708333333333333,5.1833333333333345
rrq_raw_heterogeneous_bf16_scales,0.95,4,34,3.986519607843137,3.9166666666666665,4.708333333333333,4.708333333333333,4.708333333333333,4.708333333333333
rrq_raw_heterogeneous_bf16_scales,0.95,20,24,3.685763888888889,3.9166666666666665,3.9166666666666665,4.708333333333333,4.708333333333333,4.708333333333333
rrq_raw_heterogeneous_bf16_scales,0.95,39,34,4.056372549019607,3.9166666666666665,4.708333333333333,4.708333333333333,4.708333333333333,4.708333333333333
rrq_raw_heterogeneous_bf16_scales,0.975,0,41,4.882113821138211,4.708333333333333,5.5,5.5,6.291666666666667,6.291666666666667
rrq_raw_heterogeneous_bf16_scales,0.975,4,34,4.824754901960784,4.708333333333333,5.5,5.5,5.5,5.5
rrq_raw_heterogeneous_bf16_scales,0.975,20,24,4.774305555555555,4.708333333333333,4.708333333333333,5.5,5.5,5.5
rrq_raw_heterogeneous_bf16_scales,0.975,39,34,4.917892156862744,4.708333333333333,5.5,5.5,5.5,5.5
rrq_raw_heterogeneous_bf16_scales,0.99,0,34,5.686274509803922,5.5,6.291666666666667,6.845833333333332,7.083333333333333,7.083333333333333
rrq_raw_heterogeneous_bf16_scales,0.99,4,33,5.97979797979798,6.291666666666667,6.291666666666667,6.925000000000001,7.083333333333333,7.083333333333333
rrq_raw_heterogeneous_bf16_scales,0.99,20,24,5.796875,5.5,6.291666666666667,6.291666666666667,6.291666666666667,6.901249999999999
rrq_raw_heterogeneous_bf16_scales,0.99,39,33,6.363636363636363,6.291666666666667,6.291666666666667,7.083333333333333,7.083333333333333,7.083333333333333
rrq_raw_heterogeneous_fp32_scales_upper,0.8,0,41,2.5873983739837403,2.5833333333333335,2.5833333333333335,3.4583333333333335,3.4583333333333335,3.4583333333333335
rrq_raw_heterogeneous_fp32_scales_upper,0.8,4,34,2.6090686274509807,2.5833333333333335,2.5833333333333335,2.5833333333333335,2.8895833333333316,3.4583333333333335
rrq_raw_heterogeneous_fp32_scales_upper,0.8,20,24,2.5833333333333335,2.5833333333333335,2.5833333333333335,2.5833333333333335,2.5833333333333335,3.257083333333333
rrq_raw_heterogeneous_fp32_scales_upper,0.8,39,34,2.7401960784313726,2.5833333333333335,2.5833333333333335,3.4583333333333335,3.4583333333333335,3.4583333333333335
rrq_raw_heterogeneous_fp32_scales_upper,0.9,0,41,3.417682926829268,3.4583333333333335,3.4583333333333335,4.333333333333333,4.333333333333333,4.858333333333334
rrq_raw_heterogeneous_fp32_scales_upper,0.9,4,34,3.329656862745098,3.4583333333333335,3.4583333333333335,4.333333333333333,4.333333333333333,4.333333333333333
rrq_raw_heterogeneous_fp32_scales_upper,0.9,20,24,3.1666666666666665,3.0208333333333335,3.4583333333333335,4.333333333333333,4.333333333333333,4.333333333333333
rrq_raw_heterogeneous_fp32_scales_upper,0.9,39,34,3.5355392156862746,3.4583333333333335,3.4583333333333335,4.333333333333333,4.333333333333333,4.333333333333333
rrq_raw_heterogeneous_fp32_scales_upper,0.95,0,41,4.354674796747967,4.333333333333333,5.208333333333333,5.208333333333333,5.208333333333333,6.083333333333333
