layer,expert_id,method,reference_fallback_bytes,correction_capacity_bytes,external_storage_multiplier
4,143,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
4,143,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
4,143,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
4,143,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
4,154,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
4,154,rrq_raw_homogeneous,1835008,2802240,2.527099609375
4,154,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
4,154,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
4,154,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
4,154,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
4,190,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
4,190,rrq_raw_homogeneous,1835008,2802240,2.527099609375
4,190,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
4,190,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
4,190,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
4,190,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
4,193,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
4,193,rrq_raw_homogeneous,1835008,2802240,2.527099609375
4,193,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
4,193,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
4,193,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
4,193,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
4,220,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
4,220,rrq_raw_homogeneous,1835008,2802240,2.527099609375
4,220,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
4,220,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
4,220,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
4,220,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
4,252,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
4,252,rrq_raw_homogeneous,1835008,2802240,2.527099609375
4,252,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
4,252,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
4,252,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
4,252,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
20,5,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
20,5,rrq_raw_homogeneous,1835008,2802240,2.527099609375
20,5,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
20,5,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
20,5,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
20,5,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
20,30,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
20,30,rrq_raw_homogeneous,1835008,2802240,2.527099609375
20,30,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
20,30,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
20,30,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
20,30,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
20,44,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
20,44,rrq_raw_homogeneous,1835008,2802240,2.527099609375
20,44,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
20,44,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
20,44,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
20,44,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
20,45,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
20,45,rrq_raw_homogeneous,1835008,2802240,2.527099609375
20,45,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
20,45,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
20,45,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
20,45,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
20,46,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
20,46,rrq_raw_homogeneous,1835008,2802240,2.527099609375
20,46,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
20,46,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
20,46,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
20,46,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
20,54,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
20,54,rrq_raw_homogeneous,1835008,2802240,2.527099609375
20,54,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
20,54,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
20,54,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
20,54,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
20,72,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
20,72,rrq_raw_homogeneous,1835008,2802240,2.527099609375
20,72,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
20,72,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
20,72,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
20,72,rrq_raw_heterogeneous_weight_only_down,1835008,2785856,2.5181710379464284
20,142,rrq_raw_heterogeneous,1835008,2785856,2.5181710379464284
20,142,rrq_raw_homogeneous,1835008,2802240,2.527099609375
20,142,rrq_raw_heterogeneous_bf16_scales,1835008,2785856,2.5181710379464284
20,142,rrq_raw_heterogeneous_fp32_scales_upper,1835008,3080768,2.6788853236607144
20,142,rrq_generalized_heterogeneous,1835008,2785856,2.5181710379464284
