method,budget_bpw,layer,invocations,mean,p10,median,p90
nested_int16_prefix_generalized_native,0.75,0,41,0.3079451308017824,0.0,0.29540419578552246,0.555914044380188
nested_int16_prefix_generalized_native,0.75,4,34,0.1480083132491392,0.0,0.08306276798248291,0.375999116897583
nested_int16_prefix_generalized_native,0.75,20,24,0.16233238329490027,0.0,0.0778820812702179,0.4542579889297485
nested_int16_prefix_generalized_native,0.75,39,34,0.1883346000138451,0.0,0.1710791289806366,0.44079208970069883
nested_int16_prefix_generalized_native,1.0,0,41,0.3079451308017824,0.0,0.29540419578552246,0.555914044380188
nested_int16_prefix_generalized_native,1.0,4,34,0.1480083132491392,0.0,0.08306276798248291,0.375999116897583
nested_int16_prefix_generalized_native,1.0,20,24,0.16233238329490027,0.0,0.0778820812702179,0.4542579889297485
nested_int16_prefix_generalized_native,1.0,39,34,0.1883346000138451,0.0,0.1710791289806366,0.44079208970069883
nested_int16_prefix_generalized_native,1.25,0,41,0.3079451308017824,0.0,0.29540419578552246,0.555914044380188
nested_int16_prefix_generalized_native,1.25,4,34,0.1480083132491392,0.0,0.08306276798248291,0.375999116897583
nested_int16_prefix_generalized_native,1.25,20,24,0.16233238329490027,0.0,0.0778820812702179,0.4542579889297485
nested_int16_prefix_generalized_native,1.25,39,34,0.1883346000138451,0.0,0.1710791289806366,0.44079208970069883
nested_int16_prefix_generalized_native,1.5,0,41,0.5595130716882101,0.3689314126968384,0.550584077835083,0.7925183773040771
nested_int16_prefix_generalized_native,1.5,4,34,0.4447862015051,0.35313811898231506,0.4394644796848297,0.56011483669281
nested_int16_prefix_generalized_native,1.5,20,24,0.43209443738063175,0.26990090012550355,0.4180045425891876,0.619824880361557
nested_int16_prefix_generalized_native,1.5,39,34,0.4348796728779288,0.2951635837554932,0.4438154399394989,0.5938354194164276
nested_int16_prefix_generalized_native,2.0,0,41,0.5595130716882101,0.3689314126968384,0.550584077835083,0.7925183773040771
nested_int16_prefix_generalized_native,2.0,4,34,0.4447862015051,0.35313811898231506,0.4394644796848297,0.56011483669281
nested_int16_prefix_generalized_native,2.0,20,24,0.43209443738063175,0.26990090012550355,0.4180045425891876,0.619824880361557
nested_int16_prefix_generalized_native,2.0,39,34,0.4348796728779288,0.2951635837554932,0.4438154399394989,0.5938354194164276
nested_int16_prefix_generalized_native,2.25,0,41,0.6659381462306511,0.4410158395767212,0.6663663387298584,0.8923957347869873
nested_int16_prefix_generalized_native,2.25,4,34,0.4740971554728115,0.35313811898231506,0.4775019586086273,0.6232918322086334
nested_int16_prefix_generalized_native,2.25,20,24,0.4522067705790202,0.26990090012550355,0.43363523483276367,0.6914572119712828
nested_int16_prefix_generalized_native,2.25,39,34,0.5253416527720058,0.3353600025177002,0.5499223470687866,0.6690516650676728
nested_int16_prefix_generalized_native,3.0,0,41,0.7908785546698222,0.6658051609992981,0.8028737902641296,0.9327306747436523
nested_int16_prefix_generalized_native,3.0,4,34,0.6638574968366062,0.5409743547439575,0.6487302780151367,0.815992146730423
nested_int16_prefix_generalized_native,3.0,20,24,0.6606381610035896,0.5560656428337097,0.6495317816734314,0.7918296456336975
nested_int16_prefix_generalized_native,3.0,39,34,0.6634805886184468,0.540668535232544,0.6674692630767822,0.8105920851230621
nested_int16_prefix_generalized_native,4.0,0,41,0.8134844710187215,0.6711667776107788,0.8406143188476562,0.9410573244094849
nested_int16_prefix_generalized_native,4.0,4,34,0.6773125318919911,0.561113715171814,0.6506072878837585,0.8432966947555542
