method,budget_bpw,aggregate,invocations,requests,mean_recovery,p10_recovery,p25_recovery,median_recovery,p75_recovery,p90_recovery,p95_remaining_damage,mean_relative_output_error,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99,median_actual_bpw,median_page_amplification,median_bootstrap_ci_low,median_bootstrap_ci_high
rrq_generalized_heterogeneous,0.75,all_0_4_20_39,133,16,0.24101361251415165,0.02550557851791383,0.14644122123718262,0.24806290864944458,0.32552027702331543,0.4150211691856384,1.0,0.4712100575741072,0.0,0.0,0.0,0.0,0.75,1.0,0.21641358733177185,0.2787984013557434
rrq_generalized_heterogeneous,1.0,layer0,41,12,0.4559486508369446,0.3445615768432617,0.37648898363113403,0.41428083181381226,0.4689382314682007,0.6799662113189697,0.7013973593711853,0.3839482265274699,0.04878048780487805,0.0,0.0,0.0,0.7916666666666666,1.0,0.3962218761444092,0.45626258850097656
rrq_generalized_heterogeneous,1.0,difficult_4_20_39,92,15,0.41712354901044263,0.30529438257217406,0.3496554046869278,0.404123455286026,0.4801492542028427,0.5481236994266511,0.7183423042297364,0.4474361947049265,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.38825684785842896,0.4489220976829529
rrq_generalized_heterogeneous,1.0,all_0_4_20_39,133,16,0.4290921894231237,0.30925562381744387,0.3602161407470703,0.40668952465057373,0.4775547385215759,0.5674361944198608,0.7077305316925048,0.427864715793079,0.015037593984962405,0.0,0.0,0.0,0.7916666666666666,1.0,0.38978716656565665,0.4400891065597534
rrq_generalized_heterogeneous,1.25,layer0,41,12,0.4559486508369446,0.3445615768432617,0.37648898363113403,0.41428083181381226,0.4689382314682007,0.6799662113189697,0.7013973593711853,0.3839482265274699,0.04878048780487805,0.0,0.0,0.0,0.7916666666666666,1.0,0.3962218761444092,0.45600980520248413
rrq_generalized_heterogeneous,1.25,difficult_4_20_39,92,15,0.41712354901044263,0.30529438257217406,0.3496554046869278,0.404123455286026,0.4801492542028427,0.5481236994266511,0.7183423042297364,0.4474361947049265,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.3882324755191803,0.4489220976829529
rrq_generalized_heterogeneous,1.25,all_0_4_20_39,133,16,0.4290921894231237,0.30925562381744387,0.3602161407470703,0.40668952465057373,0.4775547385215759,0.5674361944198608,0.7077305316925048,0.427864715793079,0.015037593984962405,0.0,0.0,0.0,0.7916666666666666,1.0,0.38978716656565665,0.44755494594573975
rrq_generalized_heterogeneous,1.5,layer0,41,12,0.4559486508369446,0.3445615768432617,0.37648898363113403,0.41428083181381226,0.4689382314682007,0.6799662113189697,0.7013973593711853,0.3839482265274699,0.04878048780487805,0.0,0.0,0.0,0.7916666666666666,1.0,0.3962218761444092,0.45600980520248413
rrq_generalized_heterogeneous,1.5,difficult_4_20_39,92,15,0.41712354901044263,0.30529438257217406,0.3496554046869278,0.404123455286026,0.4801492542028427,0.5481236994266511,0.7183423042297364,0.4474361947049265,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.38825684785842896,0.4497135877609253
rrq_generalized_heterogeneous,1.5,all_0_4_20_39,133,16,0.4290921894231237,0.30925562381744387,0.3602161407470703,0.40668952465057373,0.4775547385215759,0.5674361944198608,0.7077305316925048,0.427864715793079,0.015037593984962405,0.0,0.0,0.0,0.7916666666666666,1.0,0.389792799949646,0.4482385218143463
rrq_generalized_heterogeneous,2.0,layer0,41,12,0.7032601484438268,0.5776155591011047,0.643071174621582,0.6917154788970947,0.7409836053848267,0.8678809404373169,0.44766557216644287,0.2913483930070226,0.1951219512195122,0.04878048780487805,0.0,0.0,1.5833333333333333,1.0,0.6457119584083557,0.713722825050354
rrq_generalized_heterogeneous,2.0,difficult_4_20_39,92,15,0.6620184209035791,0.5537195563316345,0.5936437845230103,0.669018566608429,0.7298206984996796,0.7572501122951507,0.4599427908658982,0.3424099912138089,0.03260869565217391,0.0,0.0,0.0,1.5416666666666667,1.0,0.6413975954055786,0.6962752863764763
rrq_generalized_heterogeneous,2.0,all_0_4_20_39,133,16,0.6747320361603472,0.5585747480392456,0.6128513813018799,0.6771008968353271,0.7332989573478699,0.7790590286254883,0.45918056964874254,0.32666919778164166,0.08270676691729323,0.015037593984962405,0.0,0.0,1.5416666666666667,1.0,0.6547401547431946,0.692590057849884
