method,budget_bpw,aggregate,invocations,requests,mean_recovery,p10_recovery,p25_recovery,median_recovery,p75_recovery,p90_recovery,p95_remaining_damage,mean_relative_output_error,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99,median_actual_bpw,median_page_amplification,median_bootstrap_ci_low,median_bootstrap_ci_high
nested_int16_prefix_generalized_native,3.0,difficult_4_20_39,92,15,0.6628783779299777,0.5432977557182312,0.5947946608066559,0.6527743339538574,0.744326263666153,0.8062333822250366,0.5047069251537324,0.3482344027446664,0.11956521739130435,0.0,0.0,0.0,2.6796875,1.0,0.6128976345062256,0.682959258556366
nested_int16_prefix_generalized_native,4.0,difficult_4_20_39,92,15,0.6927795649870582,0.5566337823867797,0.606200784444809,0.687516450881958,0.7977979481220245,0.8364469707012177,0.5047069251537324,0.33964089077451953,0.25,0.021739130434782608,0.0,0.0,2.6875,1.0,0.625691294670105,0.7450893521308899
rrq_generalized_heterogeneous,0.75,difficult_4_20_39,92,15,0.24839305748110233,0.003804123401641841,0.13211914896965027,0.2545611560344696,0.3622811436653137,0.4456972837448121,1.0,0.47665719364000403,0.0,0.0,0.0,0.0,0.75,1.0,0.1930142045021057,0.2940235733985901
rrq_generalized_heterogeneous,1.0,difficult_4_20_39,92,15,0.41712354901044263,0.30529438257217406,0.3496554046869278,0.404123455286026,0.4801492542028427,0.5481236994266511,0.7183423042297364,0.4474361947049265,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.38825684785842896,0.4489220976829529
rrq_generalized_heterogeneous,1.25,difficult_4_20_39,92,15,0.41712354901044263,0.30529438257217406,0.3496554046869278,0.404123455286026,0.4801492542028427,0.5481236994266511,0.7183423042297364,0.4474361947049265,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.3882324755191803,0.4489220976829529
rrq_generalized_heterogeneous,1.5,difficult_4_20_39,92,15,0.41712354901044263,0.30529438257217406,0.3496554046869278,0.404123455286026,0.4801492542028427,0.5481236994266511,0.7183423042297364,0.4474361947049265,0.0,0.0,0.0,0.0,0.7916666666666666,1.0,0.38825684785842896,0.4497135877609253
rrq_generalized_heterogeneous,2.0,difficult_4_20_39,92,15,0.6620184209035791,0.5537195563316345,0.5936437845230103,0.669018566608429,0.7298206984996796,0.7572501122951507,0.4599427908658982,0.3424099912138089,0.03260869565217391,0.0,0.0,0.0,1.5416666666666667,1.0,0.6413975954055786,0.6962752863764763
rrq_generalized_heterogeneous,2.25,difficult_4_20_39,92,15,0.6620184209035791,0.5537195563316345,0.5936437845230103,0.669018566608429,0.7298206984996796,0.7572501122951507,0.4599427908658982,0.3424099912138089,0.03260869565217391,0.0,0.0,0.0,1.5416666666666667,1.0,0.6413975954055786,0.6939780198037624
rrq_generalized_heterogeneous,3.0,difficult_4_20_39,92,15,0.8374976535206256,0.7489237904548645,0.804350271821022,0.854081779718399,0.8836608231067657,0.9115051746368409,0.2978888005018235,0.22364057438529056,0.7717391304347826,0.15217391304347827,0.0,0.0,2.3333333333333335,1.0,0.8322381973266602,0.8711443543434143
rrq_generalized_heterogeneous,4.0,difficult_4_20_39,92,15,0.9462289246528045,0.9170414686203003,0.9344832748174667,0.9516696929931641,0.9609087705612183,0.967153400182724,0.09996360540390015,0.13884811362494592,1.0,0.9456521739130435,0.5217391304347826,0.0,3.9166666666666665,1.0,0.9435004413127899,0.9562370777130127
