method,budget_bpw,layer,gate_physical_bpw,up_physical_bpw,down_physical_bpw,physical_bpw,recovery
rrq_raw_heterogeneous_bf16_scales,1.25,0,0.0,0.0,2.375,0.7916666666666666,0.40672314167022705
rrq_raw_heterogeneous_bf16_scales,1.25,4,0.0,0.0,0.0,0.7916666666666666,0.40946266055107117
rrq_raw_heterogeneous_bf16_scales,1.25,20,0.0,1.125,0.0,0.7708333333333333,0.39830419421195984
rrq_raw_heterogeneous_bf16_scales,1.25,39,0.0,0.0,2.375,0.7916666666666666,0.45594093203544617
rrq_raw_heterogeneous_bf16_scales,1.5,0,0.0,0.0,2.375,0.7916666666666666,0.40672314167022705
rrq_raw_heterogeneous_bf16_scales,1.5,4,0.0,0.0,0.0,0.7916666666666666,0.40946266055107117
rrq_raw_heterogeneous_bf16_scales,1.5,20,0.0,1.125,0.0,0.7708333333333333,0.39830419421195984
rrq_raw_heterogeneous_bf16_scales,1.5,39,0.0,0.0,2.375,0.7916666666666666,0.45594093203544617
rrq_raw_heterogeneous_bf16_scales,2.0,0,0.0,0.0,2.375,1.5833333333333333,0.681679368019104
rrq_raw_heterogeneous_bf16_scales,2.0,4,0.0,2.25,2.375,1.5416666666666667,0.671892523765564
rrq_raw_heterogeneous_bf16_scales,2.0,20,2.375,2.25,2.375,1.5416666666666667,0.6925066411495209
rrq_raw_heterogeneous_bf16_scales,2.0,39,2.375,0.0,2.375,1.5833333333333333,0.6788545250892639
rrq_raw_heterogeneous_bf16_scales,2.25,0,0.0,0.0,2.375,1.5833333333333333,0.681679368019104
rrq_raw_heterogeneous_bf16_scales,2.25,4,0.0,2.25,2.375,1.5416666666666667,0.671892523765564
rrq_raw_heterogeneous_bf16_scales,2.25,20,2.375,2.25,2.375,1.5416666666666667,0.6925066411495209
rrq_raw_heterogeneous_bf16_scales,2.25,39,2.375,0.0,2.375,1.5833333333333333,0.6788545250892639
rrq_raw_heterogeneous_bf16_scales,3.0,0,2.375,2.25,2.375,2.3333333333333335,0.8537660241127014
rrq_raw_heterogeneous_bf16_scales,3.0,4,2.375,2.25,2.375,2.3333333333333335,0.8734900057315826
rrq_raw_heterogeneous_bf16_scales,3.0,20,2.375,2.25,2.375,2.3333333333333335,0.9035039246082306
rrq_raw_heterogeneous_bf16_scales,3.0,39,2.375,2.25,2.375,2.3333333333333335,0.8452933728694916
rrq_raw_heterogeneous_bf16_scales,4.0,0,2.375,4.625,4.75,3.9166666666666665,0.9659482836723328
rrq_raw_heterogeneous_bf16_scales,4.0,4,2.375,4.625,4.75,3.9166666666666665,0.9570842683315277
rrq_raw_heterogeneous_bf16_scales,4.0,20,2.375,4.625,4.75,3.9166666666666665,0.9619293212890625
