method,layer,expert_id,budget_bpw,invocations,median_recovery
A0_current_Q2_whole_projection,4,111,4.0,1,0.8794860744414722
A0_current_Q2_whole_projection,4,129,0.0,4,0.0
A0_current_Q2_whole_projection,4,129,0.5,4,0.4641766677529711
A0_current_Q2_whole_projection,4,129,0.75,4,0.50870126100872
A0_current_Q2_whole_projection,4,129,1.0,4,0.5569380091760243
A0_current_Q2_whole_projection,4,129,1.5,4,0.6253005453648468
A0_current_Q2_whole_projection,4,129,2.0,4,0.7059128670761403
A0_current_Q2_whole_projection,4,129,2.5,4,0.7717179760177144
A0_current_Q2_whole_projection,4,129,3.0,4,0.8073754851958244
A0_current_Q2_whole_projection,4,129,4.0,4,0.8682803945112727
A0_current_Q2_whole_projection,4,134,0.0,4,0.0
A0_current_Q2_whole_projection,4,134,0.5,4,0.5020998978160571
A0_current_Q2_whole_projection,4,134,0.75,4,0.5491087482800815
A0_current_Q2_whole_projection,4,134,1.0,4,0.5917549378884492
A0_current_Q2_whole_projection,4,134,1.5,4,0.6711100890235714
A0_current_Q2_whole_projection,4,134,2.0,4,0.7427316613407644
A0_current_Q2_whole_projection,4,134,2.5,4,0.7867255470391314
A0_current_Q2_whole_projection,4,134,3.0,4,0.8131391633939624
A0_current_Q2_whole_projection,4,134,4.0,4,0.8563812543325658
A0_current_Q2_whole_projection,4,143,0.0,1,0.0
A0_current_Q2_whole_projection,4,143,0.5,1,0.30239815093329603
A0_current_Q2_whole_projection,4,143,0.75,1,0.44060702692913434
A0_current_Q2_whole_projection,4,143,1.0,1,0.48557475715550336
A0_current_Q2_whole_projection,4,143,1.5,1,0.5620130950540605
A0_current_Q2_whole_projection,4,143,2.0,1,0.6562126259059212
A0_current_Q2_whole_projection,4,143,2.5,1,0.7100082207167911
A0_current_Q2_whole_projection,4,143,3.0,1,0.7778927585368645
A0_current_Q2_whole_projection,4,143,4.0,1,0.8123244179071658
A0_current_Q2_whole_projection,4,154,0.0,4,0.0
A0_current_Q2_whole_projection,4,154,0.5,4,0.6831289386789765
A0_current_Q2_whole_projection,4,154,0.75,4,0.7493494031127031
A0_current_Q2_whole_projection,4,154,1.0,4,0.7935809909545126
A0_current_Q2_whole_projection,4,154,1.5,4,0.8439278308632515
A0_current_Q2_whole_projection,4,154,2.0,4,0.8594955328007351
A0_current_Q2_whole_projection,4,154,2.5,4,0.8717024913776188
A0_current_Q2_whole_projection,4,154,3.0,4,0.8864982781215449
A0_current_Q2_whole_projection,4,154,4.0,4,0.8883354694396179
A0_current_Q2_whole_projection,4,190,0.0,4,0.0
A0_current_Q2_whole_projection,4,190,0.5,4,0.5981462887540805
A0_current_Q2_whole_projection,4,190,0.75,4,0.6351466310301587
A0_current_Q2_whole_projection,4,190,1.0,4,0.6976779134995703
A0_current_Q2_whole_projection,4,190,1.5,4,0.7571153012436918
A0_current_Q2_whole_projection,4,190,2.0,4,0.8070902074937517
A0_current_Q2_whole_projection,4,190,2.5,4,0.8272746892618252
