group,method,budget_bpw,invocations,requests,mean_recovery,median_recovery,p10_recovery,p25_recovery,p75_recovery,p90_recovery,p95_remaining_damage,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99,median_relative_output_error,median_logical_bpw,median_physical_bpw,median_page_amplification,median_external_storage_multiplier,median_extra_flops,median_ci_low,median_ci_high
difficult,A4_fixed_sequence_naive,0.5,27,9,0.6708069466230102,0.7169483975615858,0.5325479584835711,0.5862639677863242,0.7501405376558259,0.7848259222982216,0.47953987442658547,0.07407407407407407,0.0,0.0,0.0,,0.06252034505208333,0.5,7.89083319955049,,,0.5650647040101893,0.7250447109409774
difficult,A4_fixed_sequence_naive,0.75,27,9,0.7018773691685015,0.7434552082420993,0.5731994533754985,0.6177809460265846,0.7721120509164501,0.8080771587557389,0.444571291435889,0.18518518518518517,0.0,0.0,0.0,,0.1016387939453125,0.75,7.379072211379673,,,0.615332676133303,0.7567842952947
difficult,A4_fixed_sequence_naive,1.0,27,9,0.7275790451816171,0.7629725688595382,0.6108475038653098,0.6534530902534772,0.7919660670394608,0.836335486439363,0.4065080995241514,0.2222222222222222,0.0,0.0,0.0,,0.14756266276041666,0.9895833333333334,6.707423580786026,,,0.6421645025038571,0.777265673825492
difficult,A4_fixed_sequence_naive,1.5,27,9,0.7686092898344441,0.7834034606576709,0.6777883960850707,0.7098492647800598,0.8279279021067194,0.8619086579798093,0.3274291156182375,0.4074074074074074,0.0,0.0,0.0,,0.2914174397786458,1.5,5.147255432411205,,,0.6875390636219287,0.8103183376532106
difficult,A4_fixed_sequence_naive,2.0,27,9,0.7977295817917275,0.7931666726088888,0.7123250762709536,0.7597166117479875,0.8490786737117738,0.8824663459742136,0.2984104791504516,0.48148148148148145,0.0,0.0,0.0,,0.5923868815104166,2.0,3.3410035374523472,,,0.7319534267589619,0.8331413038249256
difficult,A4_fixed_sequence_naive,2.5,27,9,0.8106595522293069,0.8192845707858324,0.7339175212375015,0.7829461929431374,0.8589140677436391,0.8884326887463929,0.2927305815679431,0.5185185185185185,0.037037037037037035,0.0,0.0,,0.8996531168619791,2.5,2.7788488175532424,,,0.7646231711810011,0.8380337333018542
difficult,A4_fixed_sequence_naive,3.0,27,9,0.8144631680053794,0.8195219094176746,0.7373127928703337,0.7852803539099845,0.859287111774562,0.8890132363572302,0.2918110418828399,0.5555555555555556,0.037037037037037035,0.0,0.0,,1.1332295735677083,3.0,2.635813972195037,,,0.7827454834491021,0.8385829486591592
difficult,A4_fixed_sequence_naive,4.0,27,9,0.815056562200276,0.8251085433801814,0.7373183998903023,0.7853090959393284,0.8593162912005119,0.8896261064708616,0.2917888519674924,0.5925925925925926,0.037037037037037035,0.0,0.0,,1.3088887532552083,3.375,2.5967008963318183,,,0.7827652997940819,0.8390107732784027
difficult,A4_fixed_sequence_pairwise,0.0,27,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
difficult,A4_fixed_sequence_pairwise,0.5,27,9,0.6758894688116999,0.7191472991799406,0.5337419460010033,0.5963012762684328,0.7696396892205105,0.7894240048263893,0.4819241338171624,0.1111111111111111,0.0,0.0,0.0,,0.06428019205729167,0.5,7.651510333863275,,,0.5558588471239916,0.7368531659111989
difficult,A4_fixed_sequence_pairwise,0.75,27,9,0.7096382988974385,0.747352322975742,0.586554978203728,0.6376216946069526,0.7946090601614293,0.8144383470151605,0.43533664052745474,0.25925925925925924,0.0,0.0,0.0,,0.10740152994791667,0.75,6.9831407463534765,,,0.6068688481401743,0.7699783112224269
difficult,A4_fixed_sequence_pairwise,1.0,27,9,0.7355678888498268,0.7655009431338057,0.6292137441231234,0.6690299130908728,0.807938586096387,0.8411599327624775,0.39458569660725873,0.2962962962962963,0.0,0.0,0.0,,0.16116841634114584,1.0,6.204689620349039,,,0.6411433813430607,0.788933713370549
difficult,A4_fixed_sequence_pairwise,1.5,27,9,0.7764341837032631,0.7843475490026305,0.6874671769291789,0.7300200833389761,0.8367909308999931,0.864429030135347,0.3192870368670038,0.4074074074074074,0.0,0.0,0.0,,0.3220723470052083,1.5,4.657338681658823,,,0.6945786435725425,0.8172683436712553
difficult,A4_fixed_sequence_pairwise,2.0,27,9,0.8004723839928898,0.7931666726088888,0.7180521903005546,0.7676371175312631,0.8536833669530881,0.8813921992377126,0.29653755973441737,0.48148148148148145,0.0,0.0,0.0,,0.6109720865885416,2.0,3.273471970163667,,,0.7383835704693524,0.833597726659971
difficult,A4_fixed_sequence_pairwise,2.5,27,9,0.8121618498984245,0.819273083396505,0.7370129430453529,0.783666191907392,0.8589536889411781,0.8883952160777416,0.2926381332326212,0.5185185185185185,0.037037037037037035,0.0,0.0,,0.922882080078125,2.5,2.708905128798651,,,0.7827089306489046,0.8364143251135765
difficult,A4_fixed_sequence_pairwise,3.0,27,9,0.8148885727041082,0.8241769953578952,0.7373135195205415,0.7853067065839012,0.8592890338983965,0.889423485767405,0.29179830973766907,0.5555555555555556,0.037037037037037035,0.0,0.0,,1.1486460367838542,3.0,2.6100139389782506,,,0.7854105961527761,0.8387115033499248
difficult,A4_fixed_sequence_pairwise,4.0,27,9,0.815056597248963,0.8251090395263858,0.7373183998903023,0.7853090959393284,0.8593162912005119,0.8896261064708616,0.2917888519674924,0.5925925925925926,0.037037037037037035,0.0,0.0,,1.3088887532552083,3.3229166666666665,2.588130926376928,,,0.7827652997940819,0.8390109983625751
difficult,A4_gate_up_bundled,0.0,27,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0
difficult,A4_gate_up_bundled,0.5,27,9,0.6893154554572787,0.7324406894763433,0.5501758030247237,0.6156772077782626,0.7736242516761603,0.7977229355439722,0.48446089525233016,0.1111111111111111,0.0,0.0,0.0,,0.08720906575520833,0.5,5.73334888603756,,,0.5852676402095174,0.7492584614221491
difficult,A4_gate_up_bundled,0.75,27,9,0.7233048170757789,0.7601663125890138,0.5930271583958323,0.6500955025905271,0.8044300015482697,0.8328528881149733,0.43155908362063183,0.25925925925925924,0.0,0.0,0.0,,0.14108784993489584,0.75,5.310476464868369,,,0.631691734206852,0.7807132583525289
difficult,A4_gate_up_bundled,1.0,27,9,0.7508525487060077,0.7767462629345618,0.6417527594120885,0.6987254880933347,0.822832772214543,0.8473461931010325,0.37177580851982833,0.3333333333333333,0.0,0.0,0.0,,0.20667521158854166,1.0,4.838509622483635,,,0.6649731968154315,0.7990574540923483
difficult,A4_gate_up_bundled,1.5,27,9,0.786861736345927,0.7882092066405703,0.701507392072263,0.7427338644803612,0.8455612209261569,0.8703149363399422,0.3123404593348471,0.48148148148148145,0.0,0.0,0.0,,0.4269307454427083,1.5,3.4903404960253614,,,0.7161795970324774,0.826334192388204
difficult,A4_gate_up_bundled,2.0,27,9,0.8056196783170875,0.8053386394376041,0.7337035308611427,0.7749911074241855,0.8573321628038773,0.8861505068674393,0.29500681925293026,0.5185185185185185,0.037037037037037035,0.0,0.0,,0.7444864908854166,2.0,2.6829511261522505,,,0.7510508998173642,0.8289730505489694
