method,requested_rank,fit,coefficient_bits,down_physical_bpw,invocations,mean_recovery,median_recovery,p10_recovery,p90_recovery
B2_proxy_shared,512,projection,16,3.0625,41,0.6124471891217116,0.7012919187545776,0.08908975124359131,0.9948996901512146
B2_proxy_shared,512,projection,16,3.8125,34,0.5162851302062764,0.5966989696025848,0.1260458290576935,0.7711289405822754
B2_proxy_shared,512,projection,16,4.03125,58,0.5588763818658632,0.606920063495636,0.23651736974716187,0.8365447521209718
B3_action_cluster_4,32,activation_ls,4,0.03125,6,0.08719358841578166,0.029004693031311035,-0.019259870052337646,0.2518359422683716
B3_action_cluster_4,32,activation_ls,4,0.0625,17,0.22679956169689403,0.11503595113754272,-0.009823381900787347,0.6083912372589112
B3_action_cluster_4,32,activation_ls,4,0.09375,110,0.3840768727389249,0.3586016595363617,0.021402865648269653,0.8515728652477265
B3_action_cluster_4,32,activation_ls,8,0.03125,6,0.08893190821011861,0.021284401416778564,-0.007020115852355957,0.2525314390659332
B3_action_cluster_4,32,activation_ls,8,0.09375,13,0.20231928733678964,0.10286450386047363,-0.04342215061187743,0.6866538286209108
B3_action_cluster_4,32,activation_ls,8,0.125,4,0.3226717412471771,0.31601253151893616,0.12292268872261047,0.5277481615543366
B3_action_cluster_4,32,activation_ls,8,0.15625,110,0.38479884591969576,0.3594397306442261,0.024809509515762333,0.8516363918781281
B3_action_cluster_4,32,activation_ls,16,0.03125,2,0.25264275074005127,0.25264275074005127,0.19073288440704345,0.3145526170730591
B3_action_cluster_4,32,activation_ls,16,0.0625,4,0.007070466876029968,0.012591451406478882,-0.013613551855087279,0.023337697982788088
B3_action_cluster_4,32,activation_ls,16,0.15625,5,0.07657389640808106,0.10269761085510254,0.01618492603302002,0.11835982799530029
B3_action_cluster_4,32,activation_ls,16,0.1875,8,0.2802990674972534,0.15978282690048218,-0.097573983669281,0.7671315729618072
B3_action_cluster_4,32,activation_ls,16,0.21875,4,0.3226226717233658,0.31592223048210144,0.12374011874198913,0.5268655776977539
