source_run_mode,capture_source,evaluation_split,objective,selection_category,selection_regime,action_family,representation,selector,physical_budget_bpw,n,p10_recovery,median_recovery,p90_recovery,median_physical_pages,median_logical_actions,median_page_amplification,median_runtime_ms,median_selector_bytes
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,1.5,85,0.8729199313183778,0.949011913273029,0.9811137633687363,1152.0,384.0,1.0,97.13897481560707,5242880.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,2.0,85,0.9999999999980653,0.9999999999991355,0.9999999999995122,1536.0,512.0,1.0,97.13897481560707,5242880.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.0625,85,0.21406045362441892,0.5179886664459437,0.841688387115399,48.0,16.0,1.0,6.384975276887417,8388608.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.125,85,0.40291197739536705,0.6447853071710223,0.8756833710825238,96.0,32.0,1.0,6.384975276887417,8388608.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.25,85,0.5298232181651034,0.7618902208361948,0.9386936442367695,192.0,64.0,1.0,6.384975276887417,8388608.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.375,85,0.6706801431943316,0.8413516200186151,0.9730983123795985,288.0,96.0,1.0,6.384975276887417,8388608.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.5,85,0.7473680701169504,0.8722247960635996,0.9842032111879353,384.0,128.0,1.0,6.384975276887417,8388608.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.75,85,0.8600563935496516,0.9297993858385318,0.9993167374832088,576.0,192.0,1.0,6.384975276887417,8388608.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,1.0,85,0.9268078425601898,0.9660733416543427,1.0,768.0,256.0,1.0,6.384975276887417,8388608.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,1.25,85,0.969698388705871,0.9864405332488132,1.0,960.0,320.0,1.0,6.384975276887417,8388608.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,1.5,85,0.988747063488839,0.9956584654692703,1.0,1152.0,384.0,1.0,6.384975276887417,8388608.0
