budget_regime,factor_config_id,solver,physical_budget_pages,layer,rows,recovery_p10,recovery_median,recovery_gain_p10,recovery_gain_median
strict_all_in_one_bpw,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_two_seed_coordinate_plus_local,729,39,19,0.991830245926812,0.9965164060050212,0.0014217689397670432,0.004883832378429154
strict_all_in_one_bpw,joint_eigh_tail8_exact0_fp32,eight_state_two_seed_coordinate_plus_local,697,0,11,0.9972351302807387,1.0,0.0,0.0
strict_all_in_one_bpw,joint_eigh_tail8_exact0_fp32,eight_state_two_seed_coordinate_plus_local,697,4,19,0.9852064338937455,0.9900384908633295,0.004831502856119685,0.011999473353278334
strict_all_in_one_bpw,joint_eigh_tail8_exact0_fp32,eight_state_two_seed_coordinate_plus_local,697,20,20,0.9849267118459969,0.9891948395634087,0.012856530172316716,0.019018639433969697
strict_all_in_one_bpw,joint_eigh_tail8_exact0_fp32,eight_state_two_seed_coordinate_plus_local,697,39,19,0.9881317307692967,0.995837215799341,0.0016573244046805382,0.005369260156956268
strict_all_in_one_bpw,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,749,0,11,0.9983237957733099,1.0,0.0,0.0
strict_all_in_one_bpw,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,749,4,19,0.9883028809047316,0.9927279904361658,0.004511324498426017,0.010260819557513345
strict_all_in_one_bpw,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,749,20,20,0.9889253400660379,0.9916066298108444,0.01116641260424973,0.016081353745240667
strict_all_in_one_bpw,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,749,39,19,0.9927549478454715,0.9968146781284976,0.001157290723755411,0.004210012450500122
strict_all_in_one_bpw,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,741,0,11,0.998208220229505,1.0,0.0,0.0
strict_all_in_one_bpw,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,741,4,19,0.9885673184358768,0.9921901778192116,0.004435747675095558,0.010336739042441367
strict_all_in_one_bpw,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,741,20,20,0.9884188267032868,0.9915269612969347,0.011363332886364064,0.016150092733553723
strict_all_in_one_bpw,joint_eigh_tail8_exact0_int8_per_row,eight_state_two_seed_coordinate_plus_local,741,39,19,0.9915374526126228,0.9965817121012196,0.001261097833419922,0.0044124124104975015
