budget_regime,factor_config_id,factor_family,solver,physical_budget_pages,physical_budget_bpw,budget_total_bpw,rows,recovery_p10,recovery_median,recovery_p90,set_gain_retention_p10,set_gain_retention_median,recovery_gain_p10,recovery_gain_median,gain_vs_pr11_p10,gain_vs_pr11_median,seed_optimizer_gain_p10,seed_optimizer_gain_median,metadata_bytes,metadata_bpw,selector_compute_macs_max,selector_runtime_ms_p10,selector_runtime_ms_median,selector_runtime_ms_p90,field_build_runtime_ms_median,field_build_runtime_ms_p90,coordinate_sweeps_median,coordinate_sweeps_p90,local_evaluated_passes_median,local_evaluated_passes_p90,coordinate_accepted_moves_median,local_accepted_bundles_median,split_only_units_median
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,exact_proxy_plus_eigh_tail,eight_state_two_seed_coordinate_plus_local,576,0.75,0.7995096842447916,69,0.9710829488173526,0.9846122981324363,0.9997322637520086,1.0004941947471206,1.0236836207044573,0.00041354058243872095,0.016254803563073295,0.0006635162976977421,0.023940727980973797,0.0001755599356644045,0.007484408431509548,19468.0,0.049509684244791664,736256.0,3416.692206263542,3782.1596823632717,3869.126535579562,0.5978159606456757,1.6435477882623675,13.0,16.0,12.0,12.0,988.0,12.0,214.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,exact_proxy_plus_eigh_tail,eight_state_two_seed_coordinate_plus_local,768,1.0,1.0495096842447917,69,0.9908409106004343,0.9947691071153021,0.9999784209977582,1.0000960360230022,1.0158828919143845,4.520548199273837e-05,0.008173193815648405,0.00015034363320980416,0.014599901327922327,0.0,0.005490360980780262,19468.0,0.049509684244791664,736256.0,3341.9918473809958,4250.880524516106,4352.5058180093765,0.5978159606456757,1.6435477882623675,12.0,15.0,12.0,12.0,1288.0,12.0,241.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,exact_proxy_plus_eigh_tail,four_state_dp_two_seed_coordinate_plus_local,384,0.5,0.5495096842447916,69,0.8826043587620694,0.9348070476686873,0.9955435691277408,0.9984642061459492,1.0047882459429147,0.0,0.0,0.0010420525757194547,0.010957322159537486,0.0010420525757194547,0.010957322159537486,19468.0,0.049509684244791664,417792.0,1733.1824719905853,1837.1354397386312,1913.9000002294779,0.5978159606456757,1.6435477882623675,11.0,13.0,12.0,12.0,451.0,12.0,0.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,exact_proxy_plus_eigh_tail,four_state_dp_two_seed_coordinate_plus_local,576,0.75,0.7995096842447916,69,0.9392377576794927,0.9669815647043395,0.9992773420973226,1.0000282699379952,1.0062009506244245,0.0,0.0,0.0001755599356644045,0.007484408431509548,0.0001755599356644045,0.007484408431509548,19468.0,0.049509684244791664,434176.0,1855.2403945475817,2157.554004341364,2219.313905760646,0.5978159606456757,1.6435477882623675,11.0,13.0,12.0,12.0,675.0,12.0,0.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,exact_proxy_plus_eigh_tail,four_state_dp_two_seed_coordinate_plus_local,768,1.0,1.0495096842447917,69,0.9730326733963585,0.9854881422820163,0.9999332155157654,1.0,1.0063222068875253,0.0,0.0,0.0,0.005490360980780262,0.0,0.005490360980780262,19468.0,0.049509684244791664,425984.0,1977.4466551840308,2408.5497241467237,2480.941105261445,0.5978159606456757,1.6435477882623675,11.0,13.0,12.0,12.0,876.0,12.0,0.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,exact_proxy_plus_eigh_tail,four_state_pr11_reference,384,0.5,0.5495096842447916,69,0.8601148113876811,0.9246374450207877,0.994396793086981,0.9824242122966802,0.9956556397097367,0.0,0.0,0.0,0.0,0.0,0.0,19468.0,0.049509684244791664,454656.0,980.168117582798,1039.8521050810814,1161.949111893773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,exact_proxy_plus_eigh_tail,four_state_pr11_reference,576,0.75,0.7995096842447916,69,0.9221611627593241,0.9600533911612658,0.9990596020054147,0.9944332047289597,0.9990358309122201,0.0,0.0,0.0,0.0,0.0,0.0,19468.0,0.049509684244791664,454656.0,1010.3859789669514,1053.8721289485693,1084.4328340142965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,exact_proxy_plus_eigh_tail,four_state_pr11_reference,768,1.0,1.0495096842447917,69,0.9605006704619882,0.9795154402573275,0.9998280773645484,0.9985347463117915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19468.0,0.049509684244791664,454656.0,843.2496704161173,1074.1751790046692,1110.3184010833502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,joint_eigh,eight_state_inherited_four_state_warm_start,384,0.5,0.5911763509114584,69,0.9268767108505638,0.9593663471505266,0.9980120728450312,1.00380867177389,1.0306523266560452,0.0023713016335444427,0.024157629796403124,0.003885602360819207,0.034854084056725854,0.0008948922157639539,0.012697301349466672,35852.0,0.09117635091145833,2282496.0,3199.609349668026,3294.0658666193485,3402.1120373159647,0.5478747189044952,1.0800011456012728,21.0,24.0,12.0,12.0,808.0,12.0,162.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,joint_eigh,eight_state_inherited_four_state_warm_start,576,0.75,0.8411763509114584,69,0.9711277258186752,0.9851824086192843,0.999740423834258,1.0004859552121548,1.0235829418257518,0.00044237985498321065,0.016481792322112332,0.0005967897967638973,0.02244830130759945,0.00015440994178068663,0.007305671443748274,35852.0,0.09117635091145833,2294784.0,3580.644890666008,3841.1034364253283,3939.2662324011326,0.5478747189044952,1.0800011456012728,21.0,24.0,12.0,12.0,1228.0,12.0,215.0
