capture_source,request_id,position,layer,expert_id,projection,backward_elimination,diagonal,exact_marginal_fixed_greedy,diagonal_over_exact
cross_reference,tfprod-req000106-bd8b34bc,304,4,134,up,2794.0,1452.0,503.0,2.886679920477137
cross_reference,tfprod-req000106-bd8b34bc,304,39,235,gate,3523.0,1539.0,574.0,2.681184668989547
cross_reference,tfprod-req000106-bd8b34bc,304,39,235,up,3398.0,1552.0,448.0,3.4642857142857144
cross_reference,tfprod-req000106-bd8b34bc,320,39,235,gate,3521.0,1615.0,602.0,2.6827242524916945
cross_reference,tfprod-req000106-bd8b34bc,320,39,235,up,3506.0,1637.0,467.0,3.5053533190578157
cross_reference,tfprod-req000110-5e571aa8,128,4,134,gate,3185.0,1638.0,603.0,2.716417910447761
cross_reference,tfprod-req000110-5e571aa8,128,4,134,up,3152.0,1602.0,513.0,3.1228070175438596
cross_reference,tfprod-req000110-5e571aa8,128,20,72,gate,3329.0,1577.0,582.0,2.709621993127148
cross_reference,tfprod-req000110-5e571aa8,128,20,72,up,3373.0,1756.0,474.0,3.7046413502109705
cross_reference,tfprod-req000110-5e571aa8,144,4,134,gate,3166.0,1557.0,581.0,2.6798623063683307
cross_reference,tfprod-req000110-5e571aa8,144,4,134,up,3311.0,1590.0,478.0,3.3263598326359833
cross_reference,tfprod-req000110-5e571aa8,144,20,72,gate,3309.0,1620.0,609.0,2.6600985221674875
cross_reference,tfprod-req000110-5e571aa8,144,20,72,up,3321.0,1533.0,511.0,3.0
cross_reference,tfprod-req000110-5e571aa8,144,39,180,gate,3531.0,1616.0,453.0,3.567328918322296
cross_reference,tfprod-req000110-5e571aa8,144,39,180,up,3517.0,1627.0,466.0,3.4914163090128754
cross_reference,tfprod-req000110-5e571aa8,160,0,71,gate,2990.0,1510.0,381.0,3.963254593175853
cross_reference,tfprod-req000110-5e571aa8,160,0,71,up,2990.0,1497.0,342.0,4.37719298245614
cross_reference,tfprod-req000110-5e571aa8,160,0,207,gate,3199.0,1594.0,472.0,3.3771186440677967
cross_reference,tfprod-req000110-5e571aa8,160,0,207,up,3337.0,1443.0,358.0,4.0307262569832405
cross_reference,tfprod-req000110-5e571aa8,160,4,134,gate,3186.0,1662.0,649.0,2.5608628659476116
cross_reference,tfprod-req000110-5e571aa8,160,4,134,up,3143.0,1658.0,483.0,3.432712215320911
cross_reference,tfprod-req000110-5e571aa8,160,20,72,gate,3433.0,1751.0,584.0,2.9982876712328768
cross_reference,tfprod-req000110-5e571aa8,160,20,72,up,3369.0,1728.0,496.0,3.4838709677419355
cross_reference,tfprod-req000110-5e571aa8,176,4,134,gate,2956.0,1608.0,615.0,2.6146341463414635
cross_reference,tfprod-req000110-5e571aa8,176,4,134,up,3047.0,1528.0,518.0,2.9498069498069497
cross_reference,tfprod-req000110-5e571aa8,192,39,235,gate,3525.0,1587.0,561.0,2.828877005347594
cross_reference,tfprod-req000110-5e571aa8,192,39,235,up,3445.0,1627.0,425.0,3.828235294117647
cross_reference,tfprod-req000110-5e571aa8,208,4,134,gate,2903.0,1598.0,617.0,2.5899513776337115
cross_reference,tfprod-req000110-5e571aa8,208,4,134,up,2817.0,1589.0,480.0,3.310416666666667
cross_reference,tfprod-req000110-5e571aa8,208,39,235,gate,3446.0,1703.0,530.0,3.2132075471698114
cross_reference,tfprod-req000110-5e571aa8,208,39,235,up,3534.0,1639.0,532.0,3.080827067669173
cross_reference,tfprod-req000110-5e571aa8,224,20,129,gate,3390.0,1739.0,536.0,3.2444029850746268
cross_reference,tfprod-req000110-5e571aa8,224,20,129,up,3389.0,1757.0,479.0,3.6680584551148225
cross_reference,tfprod-req000110-5e571aa8,240,4,176,gate,2834.0,1471.0,491.0,2.9959266802443993
cross_reference,tfprod-req000110-5e571aa8,240,4,176,up,2458.0,1558.0,454.0,3.4317180616740086
cross_reference,tfprod-req000110-5e571aa8,240,39,235,gate,3435.0,1682.0,533.0,3.155722326454034
cross_reference,tfprod-req000110-5e571aa8,240,39,235,up,3427.0,1577.0,489.0,3.224948875255624
cross_reference,tfprod-req000110-5e571aa8,256,4,176,gate,2399.0,1548.0,602.0,2.5714285714285716
cross_reference,tfprod-req000110-5e571aa8,256,4,176,up,2264.0,1396.0,424.0,3.292452830188679
