method,aggregate,budget_bpw,count,mean,p10,p25,median,p75,p90,fraction_ge_80,fraction_ge_90,fraction_ge_95,fraction_ge_99,median_ci_low,median_ci_high
dense,difficult_4_20_39,1.0,214,0.6929233110396662,0.5740932166576386,0.6351254880428314,0.7024210095405579,0.7539102733135223,0.8030804693698884,0.102803738317757,0.0,0.0,0.0,0.6851613521575928,0.7142789363861084
dense,difficult_4_20_39,1.3333333333333333,214,0.8116107424285924,0.7349478244781494,0.7706481218338013,0.8176997601985931,0.859389528632164,0.8860314190387726,0.5981308411214953,0.04205607476635514,0.0,0.0,0.807963490486145,0.8275026977062225
dense,difficult_4_20_39,1.6666666666666667,214,0.9141657213184321,0.8600963652133942,0.8927692323923111,0.9200507402420044,0.9428974688053131,0.9576624512672425,0.9813084112149533,0.6915887850467289,0.16355140186915887,0.0,0.913048267364502,0.9263328313827515
dense,difficult_4_20_39,2.0,214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dense,layer0,0.0,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,layer0,0.3333333333333333,71,0.40806333363895686,0.2571958899497986,0.32305723428726196,0.40176790952682495,0.48394110798835754,0.5514358282089233,0.0,0.0,0.0,0.0,0.36734408140182495,0.43347639665007587
dense,layer0,0.6666666666666666,71,0.6115682872248368,0.4150698184967041,0.4913867712020874,0.6319315433502197,0.7227687835693359,0.8050059676170349,0.11267605633802817,0.0,0.0,0.0,0.5606987476348877,0.6700032651424408
dense,layer0,1.0,71,0.7369214271155882,0.582426905632019,0.6516330540180206,0.7539151906967163,0.8374189138412476,0.8771277070045471,0.352112676056338,0.08450704225352113,0.014084507042253521,0.0,0.7000455856323242,0.7858015298843384
dense,layer0,1.3333333333333333,71,0.8415687184938243,0.7502801418304443,0.8003840446472168,0.8533042073249817,0.8914870917797089,0.9172700047492981,0.7464788732394366,0.18309859154929578,0.056338028169014086,0.0,0.831224799156189,0.8647506013512611
dense,layer0,1.6666666666666667,71,0.9493945064678998,0.899287223815918,0.9326436519622803,0.9581385254859924,0.9755397737026215,0.9827231764793396,1.0,0.8873239436619719,0.5352112676056338,0.07042253521126761,0.94820237159729,0.9679214954376221
dense,layer0,2.0,71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selective,all_four,0.25,142,0.5915823836599058,0.39092567549815743,0.48139578819882034,0.5687892297201994,0.6855371614338097,0.8542945271664963,0.1619718309859155,0.06338028169014084,0.0,0.0,0.5348020817325311,0.6470277549776762
selective,all_four,0.5,142,0.7444805857548773,0.5766267962105766,0.6707430078791627,0.7308468866630662,0.8315168161555201,0.939914994453807,0.31690140845070425,0.14788732394366197,0.04929577464788732,0.0,0.7158167837348696,0.786160831325726
selective,all_four,0.75,142,0.8349458659178488,0.7081428841441745,0.7829983200617714,0.8360583063652415,0.9013445156118265,0.9706141944986354,0.6830985915492958,0.2676056338028169,0.14084507042253522,0.007042253521126761,0.82013332309322,0.8691641679332265
selective,all_four,1.0,142,0.8972133235163977,0.8143755089162962,0.86129957303061,0.9008626449608881,0.9490536299288761,0.9817731036010984,0.9436619718309859,0.5140845070422535,0.24647887323943662,0.035211267605633804,0.8864438928104995,0.9214321999918083
selective,all_four,1.25,142,0.9421367333752686,0.8884542558170389,0.9216942379203262,0.9475146065497662,0.9719207791957588,0.9919827144366271,1.0,0.852112676056338,0.44366197183098594,0.14084507042253522,0.9392947738036466,0.9583378759825496
selective,all_four,1.5,142,0.9726809684667732,0.945137714789906,0.9614720585345877,0.9751840461535967,0.9882741503687043,0.9970907645670788,1.0,1.0,0.8591549295774648,0.21830985915492956,0.9705613260397781,0.9846305798064209
selective,all_four,2.0,142,0.9999999999992762,0.9999999999987719,0.9999999999990612,0.9999999999994056,0.9999999999995914,0.9999999999996659,1.0,1.0,1.0,1.0,0.9999999999993459,0.9999999999994394
selective,difficult_4_20_39,0.25,103,0.5219194144729169,0.3666974893518953,0.44126215098299026,0.5257653968210676,0.6018717339350536,0.6721450841399761,0.009708737864077669,0.0,0.0,0.0,0.5039342201727667,0.5584050396068685
selective,difficult_4_20_39,0.5,103,0.6924836426566254,0.5433329657029266,0.6374055911768295,0.699924699101867,0.758885297622998,0.8084043898426926,0.13592233009708737,0.0,0.0,0.0,0.6885718052269212,0.7216437524177757
