layout_method,page_size,paired_planes,budget_bpw,recovery_count,recovery_mean,recovery_p10,recovery_p25,recovery_median,recovery_p75,recovery_p90,median_physical_bpw,median_logical_bpw,median_amplification
importance_1rep,512,False,0.25,12,0.5815499356922108,0.47697517345850593,0.48933014286150645,0.5745726428039981,0.6398530554634537,0.7400851659918316,0.25,0.25,1.0
importance_1rep,512,False,0.5,12,0.7405058586459868,0.6353633169695692,0.677175526277715,0.7248179034993198,0.8048395575443623,0.8900604983585463,0.5,0.5,1.0
importance_1rep,512,False,0.75,12,0.8319031220061032,0.7454327887657208,0.7841932526843503,0.8301166234500055,0.8701192868583448,0.9223178776777282,0.75,0.75,1.0
importance_1rep,512,False,1.0,12,0.8919303700064524,0.8343564640269862,0.8403764243329713,0.9031990521438416,0.9183158684710516,0.952997256156145,1.0,1.0,1.0
importance_1rep,512,False,1.25,12,0.9358926147056441,0.8895842135259304,0.9079239246628539,0.9452881578658361,0.9601885265584482,0.9671304211443374,1.25,1.25,1.0
importance_1rep,512,False,1.5,12,0.9711210146969925,0.9388838510223115,0.9624826638433978,0.9771220953913221,0.9838178370781028,0.9868056317649643,1.5,1.5,1.0
importance_1rep,512,False,2.0,12,0.9999999999993504,0.9999999999989738,0.9999999999991402,0.9999999999994487,0.999999999999569,0.9999999999996453,2.0,2.0,1.0
importance_1rep,1024,False,0.25,12,0.5221738104373714,0.39740137924204566,0.4308991646934912,0.47802751057917625,0.56715412405835,0.7371423821691179,0.25,0.25,1.0
importance_1rep,1024,False,0.5,12,0.7036152518401656,0.5934322684906843,0.6533340291652031,0.6803304261718776,0.7440697826061068,0.8842590901350599,0.5,0.5,1.0
importance_1rep,1024,False,0.75,12,0.8028277415072759,0.7090613388177357,0.7582995070805064,0.7896838036694255,0.8332943647559925,0.9243401716128555,0.75,0.75,1.0
importance_1rep,1024,False,1.0,12,0.8663212837112947,0.7835712564111896,0.8090590090912682,0.8683530023031507,0.9086045637431109,0.9504545087246233,1.0,1.0,1.0
importance_1rep,1024,False,1.25,12,0.9213360352681178,0.8726020672519604,0.8921736700028577,0.9225763619317194,0.9462658740860572,0.967501538606121,1.25,1.25,1.0
importance_1rep,1024,False,1.5,12,0.9580256726850287,0.9300144315524893,0.9392755020082642,0.959646737755335,0.9696065370479325,0.9849080175395969,1.5,1.5,1.0
importance_1rep,1024,False,2.0,12,0.9999999999993504,0.9999999999989738,0.9999999999991402,0.9999999999994487,0.999999999999569,0.9999999999996453,2.0,2.0,1.0
importance_1rep,4096,False,0.25,12,0.4630062263445178,0.34095986739955053,0.3521604430439246,0.41894985098940113,0.47889028505199127,0.7010544508786898,0.25,0.25,1.0
importance_1rep,4096,False,0.5,12,0.6320590874230861,0.5078299031921957,0.5694587955126936,0.6051011965334268,0.6448395507624619,0.852426014411126,0.5,0.5,1.0
importance_1rep,4096,False,0.75,12,0.7494615798452857,0.661652519008278,0.6904863287359608,0.741668180626901,0.7491613974743299,0.9109952197524953,0.75,0.75,1.0
importance_1rep,4096,False,1.0,12,0.8215624168409458,0.7388555953904593,0.7816641498683217,0.8112451419472154,0.8416297338917851,0.9323322829732635,1.0,1.0,1.0
importance_1rep,4096,False,1.25,12,0.8862012673030675,0.8342367869344078,0.8562333455784717,0.8810303235077892,0.9024072251934688,0.9553171963005531,1.25,1.25,1.0
importance_1rep,4096,False,1.5,12,0.9362290819639068,0.9040799249618711,0.9068320394129247,0.94743977261658,0.9521383599850193,0.9786353946375214,1.5,1.5,1.0
importance_1rep,4096,False,2.0,12,0.9999999999993504,0.9999999999989738,0.9999999999991402,0.9999999999994487,0.999999999999569,0.9999999999996453,2.0,2.0,1.0
naive_1rep,512,False,0.25,12,0.5544699419085216,0.4558936377550634,0.4821827286901111,0.5426955507698459,0.621163638752263,0.6429618479393553,0.25,0.25,1.0
naive_1rep,512,False,0.5,12,0.7145680180256028,0.6258576428352443,0.642423543493598,0.7359376713709187,0.7717921849313771,0.777231338077939,0.5,0.5,1.0
naive_1rep,512,False,0.75,12,0.8106888687870623,0.7331396301478719,0.7613004259054218,0.8263534924704191,0.8510287788968818,0.8786595378946098,0.75,0.75,1.0
naive_1rep,512,False,1.0,12,0.8740723950179575,0.8062531568558426,0.8366783348715663,0.8865134885267656,0.9066625847971369,0.9343388181706437,1.0,1.0,1.0
naive_1rep,512,False,1.25,12,0.9296051472236956,0.8893347184339306,0.9074458929730191,0.9354999391229856,0.9544376386835878,0.9653872404745533,1.25,1.25,1.0
naive_1rep,512,False,1.5,12,0.9675103933870931,0.9409779701105748,0.9522302744991379,0.9731233721775947,0.9818073630940128,0.9863444032050008,1.5,1.5,1.0
naive_1rep,512,False,2.0,12,0.9999999999993504,0.9999999999989738,0.9999999999991402,0.9999999999994487,0.999999999999569,0.9999999999996453,2.0,2.0,1.0
naive_1rep,1024,False,0.25,12,0.5015594976211474,0.3926001370266605,0.42991995595938204,0.5189880767266069,0.5428099406229039,0.6097086321221025,0.25,0.25,1.0
naive_1rep,1024,False,0.5,12,0.6610473165961722,0.5917691087018625,0.5990258206778721,0.6509353933471005,0.7199449100276842,0.7363274996697332,0.5,0.5,1.0
naive_1rep,1024,False,0.75,12,0.7708475189706262,0.7106201733262639,0.7298527102681567,0.7526889607878782,0.7992446653676967,0.8376492265503115,0.75,0.75,1.0
naive_1rep,1024,False,1.0,12,0.8540374621430544,0.7971457575866517,0.8323357807908236,0.8483637296925668,0.8819951392364859,0.9011394872662988,1.0,1.0,1.0
