factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,groups,overall_average_bpw,selector_compute_macs,selector_dp_state_evaluations,selector_coordinate_sweeps_median,selector_local_passes_median,continuation_eligible,qenergy_recovery_p10,qenergy_recovery_median,qenergy_recovery_p90,qenergy_recovery_mean,additive_recovery_p10,additive_recovery_median,additive_recovery_p90,additive_recovery_mean,actual_total_bpw_p10,actual_total_bpw_median,actual_total_bpw_p90,actual_total_bpw_mean,paired_gain_vs_uniform_p10,paired_gain_vs_uniform_median,paired_gain_vs_uniform_p90,paired_gain_vs_uniform_mean,selector_runtime_ms_p10,selector_runtime_ms_median,selector_runtime_ms_p90,selector_runtime_ms_mean,actual_correction_pages_p10,actual_correction_pages_median,actual_correction_pages_p90,actual_correction_pages_mean
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1536,128,0.7734781901041666,51343360,50315264,2447.0,304.0,True,0.9882988039018868,0.996582716385286,0.9998734822317376,0.9949714202186857,0.9882097663621024,0.99614096942927,0.9998382397849113,0.9948538343387765,0.7720133463541666,0.7729899088541666,0.7734781901041666,0.7728258768717448,0.0003119130953663785,0.0027266677462865485,0.009523528469078313,0.0039514962642061635,52496.05721272528,68115.88535737246,69290.93740601093,64633.379454986425,574.875,575.625,576.0,575.4990234375
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,576,576,128,0.7734781901041666,51343360,50315264,2447.0,304.0,True,0.9812299128458676,0.9921470161775253,0.9994279177961048,0.9910199239544795,0.9809846465170796,0.9911718084420147,0.999303885644908,0.9907763213878316,0.7714762369791667,0.7734781901041666,0.7734781901041666,0.7729199727376301,0.0,0.0,0.0,0.0,52477.57719065994,68099.63012300432,69274.7537272051,64616.33400118444,574.4625,576.0,576.0,575.5712890625
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,749,1536,128,0.9987386067708334,51343360,50315264,2447.0,304.0,False,0.9928168827662406,0.9973567773876761,0.9999896670250893,0.996920128055366,0.9934172353629462,0.9970935656624728,0.9999889256196222,0.9968587901533085,0.9977620442708334,0.9985758463541666,0.9987386067708334,0.9983571370442708,-8.311989191023239e-06,0.00019373887023499403,0.0012647312115456665,0.00017909399523366714,52495.50111107528,68119.39425952733,69294.53364294022,64637.321323447395,748.25,748.875,749.0,748.70703125
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,749,1536,128,0.9987386067708334,51343360,50315264,2447.0,304.0,False,0.9958792478011488,0.9988464444203027,0.999994826161856,0.9982259615845829,0.9957468509066606,0.9985986865199141,0.9999934298027967,0.998126134815563,0.9967366536458333,0.9982503255208334,0.9987386067708334,0.9979591369628906,6.733774972138562e-05,0.0010873422843407643,0.0038862681121599294,0.0014849275244505373,52653.50925903767,68266.15084800869,69432.78648462147,64777.262296600384,747.4625,748.625,749.0,748.4013671875
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,768,128,0.9987386067708334,51343360,50315264,2447.0,304.0,True,0.9937034068829177,0.9972856616311474,0.9999289768971822,0.9970140268174889,0.9934229862177665,0.9969409624449431,0.9999217344322731,0.9969037229502573,0.9922281901041666,0.9975992838541666,0.9987386067708334,0.9963162740071614,1.5692858569404945e-05,0.00017742495347017329,0.000745976766688372,0.0002729927573565244,52491.902820020914,68110.27829628438,69286.2402593717,64628.25872638496,744.0,748.125,749.0,747.1396484375
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1152,128,0.9987386067708334,51343360,50315264,2447.0,304.0,True,0.995761261455678,0.9987669833411892,0.9999947448919361,0.9981923823868485,0.9957401694395239,0.9986242994432096,0.9999934088874675,0.9981362148546853,0.9974365234375,0.9984130859375,0.9987386067708334,0.9981956481933594,6.397239323748804e-05,0.0010402388025957943,0.0038480892359309066,0.0014513483267161393,52498.963312618434,68115.62834214419,69290.31414780766,64632.650450163055,748.0,748.75,749.0,748.5830078125
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1536,128,0.9987386067708334,51343360,50315264,2447.0,304.0,True,0.995761261455678,0.9988117627770534,0.9999947448919361,0.9981974309227922,0.9957401694395239,0.9986252024044726,0.9999934088874675,0.9981397500983055,0.9974365234375,0.9984130859375,0.9987386067708334,0.9982007344563801,6.397239323748804e-05,0.0010402388025957943,0.0038480892359309066,0.0014563968626598025,52494.98352408409,68119.70546189696,69294.55898534507,64636.46339409752,748.0,748.75,749.0,748.5869140625
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,749,749,128,0.9987386067708334,51343360,50315264,2447.0,304.0,True,0.9933669150115741,0.9971029362035091,0.9999123131129796,0.9967410340601324,0.9929192731919534,0.9967619022995248,0.9999040322431932,0.9966221046038295,0.9915771484375,0.9985758463541666,0.9987386067708334,0.9959793090820314,0.0,0.0,0.0,0.0,52477.602522820234,68099.64500926435,69274.80284962803,64616.34439803311,743.5,748.875,749.0,746.880859375
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,768,1536,128,1.0234781901041667,51343360,50315264,2447.0,304.0,False,0.9939883979141976,0.9975581403085032,0.9999929801577063,0.9972649015466761,0.9940731338835374,0.9973050592130974,0.9999917400285693,0.9972175403928374,1.0223388671875,1.0233154296875,1.0234781901041667,1.0230433146158853,-3.650518148843316e-05,0.00017951188781739624,0.0012384303806093231,0.00015252880008056243,52496.49360664189,68120.187449269,69298.01878221333,64637.467036693124,767.125,767.875,768.0,767.666015625
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,768,1536,128,1.0234781901041667,51343360,50315264,2447.0,304.0,False,0.9963666009570311,0.9989845037988301,0.9999967282190014,0.9984197643287801,0.9962110348598173,0.9987504994350258,0.9999959263431115,0.9983354336961057,1.0218505859375,1.0229899088541667,1.0234781901041667,1.0227584838867188,5.1487095004276734e-05,0.0009563426824796273,0.003190885596605197,0.001307391582184684,52619.16304733604,68271.41388412565,69414.49614427984,64770.53201699164,766.75,767.625,768.0,767.447265625
