factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,router_rank,expert_invocations,selected_pages_mean,selected_pages_median,selected_pages_p10,selected_pages_p90,expert_recovery_median,expert_recovery_p10
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,20,1,32,1006.15625,1026.0,842.3,1180.8000000000002,0.9990653348237508,0.9965285443538299
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,20,2,32,823.65625,870.5,706.4,934.5,0.9974011592744683,0.9917105611465566
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,20,3,32,810.8125,802.0,749.0,926.5,0.9965452546823501,0.9905932856348703
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,20,4,32,752.125,750.5,674.8,851.0,0.9933950908528562,0.986479105612906
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,20,5,32,670.125,696.5,560.3,767.2,0.9898465858852694,0.9774313270307674
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,20,6,32,623.90625,636.0,470.5,747.0,0.986957185660949,0.9646412635015085
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,20,7,32,596.75,576.0,519.1,706.2,0.9845594746121151,0.9671696667854476
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,20,8,32,544.5625,576.0,384.0,662.9000000000001,0.9772179854104441,0.9406975622356413
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,39,1,32,922.46875,907.0,750.9,1098.0,0.9994289594767609,0.994813666604074
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,39,2,32,846.625,815.5,740.9,1003.4,0.9981647414925043,0.9954029360433959
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,39,3,32,810.0625,784.0,703.8,927.4,0.9973863197256422,0.993234136451048
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,39,4,32,752.625,753.5,598.5,878.6000000000001,0.9947581070148794,0.9899099434275295
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,39,5,32,692.53125,721.5,576.0,756.2,0.994129090498296,0.9852678440048054
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,39,6,32,667.9375,664.0,576.0,774.7,0.9889190684433817,0.9700863523101413
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,39,7,32,609.5,594.0,439.6,749.0,0.9866122881264967,0.9731129313191448
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,39,8,32,525.15625,547.5,400.6,600.3000000000001,0.9753071771440103,0.9565331713924207
exact_proxy_rank4_fp32,uniform_per_expert,729,729,0,1,32,718.59375,729.0,724.2,729.0,0.999993348808335,0.9994842531733193
exact_proxy_rank4_fp32,uniform_per_expert,729,729,0,2,32,723.0625,729.0,724.3,729.0,0.9999650300601699,0.9979568018143502
exact_proxy_rank4_fp32,uniform_per_expert,729,729,0,3,32,728.53125,729.0,727.0,729.0,0.999898952338499,0.9991130801151514
exact_proxy_rank4_fp32,uniform_per_expert,729,729,0,4,32,728.8125,729.0,729.0,729.0,0.9999706683920289,0.9994452941830324
exact_proxy_rank4_fp32,uniform_per_expert,729,729,0,5,32,728.28125,729.0,727.0,729.0,0.9999711680271495,0.9986811613127412
exact_proxy_rank4_fp32,uniform_per_expert,729,729,0,6,32,727.28125,729.0,727.0,729.0,0.9999371549669671,0.9980708818850319
exact_proxy_rank4_fp32,uniform_per_expert,729,729,0,7,32,728.375,729.0,727.0,729.0,0.9999629404049952,0.9985238767151186
exact_proxy_rank4_fp32,uniform_per_expert,729,729,0,8,32,723.84375,729.0,727.0,729.0,0.9999686858769186,0.9980883561946519
exact_proxy_rank4_fp32,uniform_per_expert,729,729,4,1,32,728.90625,729.0,729.0,729.0,0.9947937747224417,0.9895529045026109
exact_proxy_rank4_fp32,uniform_per_expert,729,729,4,2,32,728.4375,729.0,729.0,729.0,0.9942417402370747,0.9874181989233053
exact_proxy_rank4_fp32,uniform_per_expert,729,729,4,3,32,728.875,729.0,729.0,729.0,0.9935520377591994,0.9894233270526528
exact_proxy_rank4_fp32,uniform_per_expert,729,729,4,4,32,728.5625,729.0,729.0,729.0,0.9944312853190065,0.9892483849496325
exact_proxy_rank4_fp32,uniform_per_expert,729,729,4,5,32,727.9375,729.0,724.0,729.0,0.9933497796437987,0.9887009886623442
exact_proxy_rank4_fp32,uniform_per_expert,729,729,4,6,32,729.0,729.0,729.0,729.0,0.993396509257934,0.9888163954367283
exact_proxy_rank4_fp32,uniform_per_expert,729,729,4,7,32,728.96875,729.0,729.0,729.0,0.9915466242309586,0.9875142358275532
exact_proxy_rank4_fp32,uniform_per_expert,729,729,4,8,32,728.25,729.0,729.0,729.0,0.9915997663387167,0.9870363315485147
exact_proxy_rank4_fp32,uniform_per_expert,729,729,20,1,32,728.59375,729.0,729.0,729.0,0.9921843098916342,0.9876614846693578
exact_proxy_rank4_fp32,uniform_per_expert,729,729,20,2,32,728.5,729.0,729.0,729.0,0.9951893089464783,0.986375412056789
exact_proxy_rank4_fp32,uniform_per_expert,729,729,20,3,32,728.46875,729.0,729.0,729.0,0.9934209024252199,0.9886193309442759
exact_proxy_rank4_fp32,uniform_per_expert,729,729,20,4,32,729.0,729.0,729.0,729.0,0.9920368215737845,0.9854553268012174
exact_proxy_rank4_fp32,uniform_per_expert,729,729,20,5,32,728.71875,729.0,729.0,729.0,0.9919438638692237,0.9876140876547166
exact_proxy_rank4_fp32,uniform_per_expert,729,729,20,6,32,728.96875,729.0,729.0,729.0,0.9901993065916141,0.9872879393539872
