factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,groups,overall_average_bpw,qenergy_recovery_p10,qenergy_recovery_median,qenergy_recovery_p90,qenergy_recovery_mean,paired_gain_vs_uniform_p10,paired_gain_vs_uniform_median,paired_gain_vs_uniform_p90,paired_gain_vs_uniform_mean
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1152,4,32,0.7734781901041666,0.9906233733260573,0.9951511265194675,0.9981560823484457,0.99462317333697,0.0024312172969095493,0.005714529484797615,0.01263208221983362,0.007034055765943067
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1152,20,32,0.7734781901041666,0.9838005800179915,0.9910948239626376,0.9981472542397669,0.9909649511337723,0.0020003050045973247,0.005059939800530322,0.010483684318300202,0.005604099117993474
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1152,39,32,0.7734781901041666,0.9898510556677921,0.9962606641444347,0.9989734411947742,0.9946575942614754,0.00040888115173516316,0.001493421320073629,0.005786872788879949,0.0023103274266494597
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1536,0,32,0.7734781901041666,0.9993150529896327,0.9998509239840438,0.9999496371784642,0.9996369825104684,7.115573210044745e-05,0.00045689595213244116,0.0021948468107803047,0.0008545231141819619
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1536,4,32,0.7734781901041666,0.9906233733260573,0.9951511265194675,0.9981560823484457,0.9946247676391647,0.0024312172969095493,0.005714529484797615,0.01263208221983362,0.007035650068137774
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1536,20,32,0.7734781901041666,0.9838005800179915,0.9910948239626376,0.9981472542397669,0.9909663364636343,0.0020003050045973247,0.005059939800530322,0.010483684318300202,0.0056054844478554584
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1536,39,32,0.7734781901041666,0.9898510556677921,0.9962606641444347,0.9989734411947742,0.9946575942614754,0.00040888115173516316,0.001493421320073629,0.005786872788879949,0.0023103274266494597
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,768,0,32,0.9987386067708334,0.9993858863164857,0.999906606181395,0.9999854028273865,0.9997677640084935,3.816431795400366e-06,1.9540982287458153e-05,0.00012854845609766577,4.780970297949341e-05
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,768,4,32,0.9987386067708334,0.9925498214036333,0.9958824126967545,0.9980514181564027,0.9957949976830887,0.00016227220869677872,0.00035729096842263,0.0008591816237713435,0.00045620931733393946
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,768,20,32,0.9987386067708334,0.9921216027256108,0.9953318224742793,0.9984137594092292,0.9950509202953137,0.00013746239332708133,0.00035069752870908744,0.0008461307020190657,0.00042531971756244735
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,768,39,32,0.9987386067708334,0.9944528326589407,0.9981489713143737,0.9996037658183907,0.9974424252830595,3.2398061573069015e-05,0.00012579718793492844,0.00030845771920235966,0.00016263229155021736
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1152,0,32,0.9987386067708334,0.9999062757130892,0.9999941043952709,0.9999981944214557,0.9999635462583127,1.624800919926006e-05,0.00010949216342404089,0.0006531045355623213,0.0002435919527987336
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1152,4,32,0.9987386067708334,0.9963204597983847,0.9982277228438896,0.9993499518203075,0.9980109405040429,0.001051902745996014,0.0023890516307325527,0.004749267496144217,0.002672152138288239
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1152,20,32,0.9987386067708334,0.9941035136305051,0.996703590925079,0.9992728032552434,0.996692870956593,0.0007890858769948772,0.0018555014820699767,0.004015647794289268,0.002067270378841638
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1152,39,32,0.9987386067708334,0.9964350756754684,0.9986522612678782,0.9996435766193881,0.9981021718284452,0.00012288600237971847,0.0005449121642305821,0.0022261193476117566,0.0008223788369359462
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1536,0,32,0.9987386067708334,0.9999069533270001,0.9999941043952709,0.9999981944214557,0.99996480140497,1.624800919926006e-05,0.00010949216342404089,0.0006592030607595615,0.00024484709945594985
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1536,4,32,0.9987386067708334,0.9963204597983847,0.998238300534504,0.9993499518203075,0.9980204073080763,0.001051902745996014,0.0023890516307325527,0.004804469482898599,0.0026816189423215925
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1536,20,32,0.9987386067708334,0.9941035136305051,0.996703590925079,0.9992872189940228,0.9967027358374176,0.0007890858769948772,0.0018555014820699767,0.004015647794289268,0.002077135259666338
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1536,39,32,0.9987386067708334,0.9964350756754684,0.9986522612678782,0.9996435766193881,0.9981017791407045,0.00012288600237971847,0.0005449121642305821,0.0022148099406820074,0.00082198614919533
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,768,768,0,32,1.0234781901041667,0.9993905423167465,0.9999066120978346,0.9999854028273865,0.9997681272114929,0.0,0.0,0.0,0.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,768,768,4,32,1.0234781901041667,0.9927089486569691,0.9959920723136566,0.9980499812052697,0.9958670458357022,0.0,0.0,0.0,0.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,768,768,20,32,1.0234781901041667,0.9923940095341394,0.9954133687183552,0.9984537727792905,0.995268766715907,0.0,0.0,0.0,0.0
