policy,projection,budget_bpw,transition,actions,fraction
parity_abq,gate,0.25,q3_to_exact_via_b,10442,0.3420802620802621
parity_abq,gate,0.5,base_to_a,43544,0.611959806057199
parity_abq,gate,0.5,base_to_a+b,503,0.007069074555547748
parity_abq,gate,0.5,q3_to_exact_via_b,27108,0.3809711193872532
parity_abq,gate,0.75,base_to_a,63445,0.5794804815227518
parity_abq,gate,0.75,base_to_a+b,1061,0.009690736715196463
parity_abq,gate,0.75,q3_to_exact_via_b,44980,0.4108287817620518
parity_abq,gate,1.0,base_to_a,85050,0.5659247429883222
parity_abq,gate,1.0,base_to_a+b,1701,0.011318494859766444
parity_abq,gate,1.0,q3_to_exact_via_b,63534,0.4227567621519114
parity_abq,gate,1.25,base_to_a,111997,0.5351487466671764
parity_abq,gate,1.25,base_to_a+b,2555,0.01220840779426802
parity_abq,gate,1.25,q3_to_exact_via_b,94730,0.45264284553855566
parity_abq,gate,1.5,base_to_a,126782,0.5124161345081238
parity_abq,gate,1.5,base_to_a+b,3305,0.013357853043407971
parity_abq,gate,1.5,q3_to_exact_via_b,117333,0.4742260124484682
parity_abq,gate,2.0,base_to_a,139585,0.4934790832181405
parity_abq,gate,2.0,base_to_a+b,3689,0.013041833563719026
parity_abq,gate,2.0,q3_to_exact_via_b,139585,0.4934790832181405
parity_abq,up,0.25,base_to_a,26001,0.8329649207111965
parity_abq,up,0.25,q3_to_exact_via_b,5214,0.16703507928880346
parity_abq,up,0.5,base_to_a,54231,0.785046323103648
parity_abq,up,0.5,q3_to_exact_via_b,14849,0.21495367689635206
parity_abq,up,0.75,base_to_a,82970,0.7541835964840519
parity_abq,up,0.75,q3_to_exact_via_b,27043,0.2458164035159481
parity_abq,up,1.0,base_to_a,103064,0.6781641717387729
parity_abq,up,1.0,q3_to_exact_via_b,48911,0.3218358282612272
parity_abq,up,1.25,base_to_a,120933,0.6422153303665311
parity_abq,up,1.25,q3_to_exact_via_b,67373,0.35778466963346894
parity_abq,up,1.5,base_to_a,134236,0.5816949563845784
parity_abq,up,1.5,q3_to_exact_via_b,96531,0.4183050436154216
parity_abq,up,2.0,base_to_a,143274,0.5
parity_abq,up,2.0,q3_to_exact_via_b,143274,0.5
