comparison,left,right,group,budget_bpw,invocations,p10_difference,median_difference,p90_difference,mean_difference,fraction_improved,fraction_worsened,median_ci_low,median_ci_high
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,all four layers,2.0,70,0.0,4.644938850817404e-05,0.0013523381251054456,0.0006779728725215452,0.8285714285714286,0.0,9.050270926569404e-06,8.00106696224323e-05
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layer 0,0.25,16,-0.01483976995283387,0.0,0.018812221925178563,0.001851890990583173,0.3125,0.3125,-0.006546119135539652,0.0
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layer 0,0.5,16,-0.0007000151537953636,0.0,0.014806461111914249,0.003834782044245255,0.375,0.125,0.0,0.0
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layer 0,0.75,16,-0.00707878991785027,0.0006689902595215513,0.014787500947964327,0.0033895307017969556,0.5,0.3125,-0.004230222629282077,0.0021745112973844405
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layer 0,1.0,16,-0.0017545077641655804,1.5229698070939879e-05,0.0072735784193226904,0.0027036462180690113,0.5,0.3125,-0.00046784029440760655,0.0011802612458486905
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layer 0,1.25,16,-0.0003631046678445049,0.00030553797453913845,0.003556437463658191,0.0022071127376201427,0.5,0.1875,0.0,0.001228921457164911
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layer 0,1.5,16,-0.00018292282679760463,0.0,0.001324619634549662,0.0017897850518379527,0.4375,0.25,-6.929665182536793e-05,0.0005480949959518755
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layer 0,2.0,16,0.0,1.4649473855266049e-05,0.0003419989233157672,0.0017627321757950135,0.8125,0.0,5.964742866293449e-08,3.228164880431095e-05
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layers 4/20/39,0.25,54,-0.004547081353366166,0.0,0.006563782037128267,-0.00019444267618435996,0.16666666666666666,0.16666666666666666,0.0,0.0
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layers 4/20/39,0.5,54,-0.004589277609066078,0.0,0.0037407435601166114,-0.0003272645856904447,0.3333333333333333,0.25925925925925924,0.0,0.0
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layers 4/20/39,0.75,54,-0.003946224457755221,0.0,0.003634356438333931,-8.539648817499521e-05,0.42592592592592593,0.2962962962962963,0.0,0.0005592636056916955
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layers 4/20/39,1.0,54,-0.004144399756351468,0.00021081900844349688,0.003924610030427668,0.000936910083328569,0.5555555555555556,0.2962962962962963,0.0,0.000898507615417099
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layers 4/20/39,1.25,54,-0.0024540128563907194,0.0,0.0032154336399685905,0.00036560031797885196,0.46296296296296297,0.46296296296296297,-7.089871792953506e-05,0.0008210051481728486
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layers 4/20/39,1.5,54,-0.0014030332585047156,0.0,0.0020898050969970113,0.0003518273863765152,0.48148148148148145,0.4444444444444444,-0.00010190051080827267,0.0003643314258234831
direct AB with bidirectional first bit,bidirectional,bidirectional_no_direct,layers 4/20/39,2.0,54,0.0,6.45406708196794e-05,0.001368890455911176,0.0003565627085886657,0.8333333333333334,0.0,1.0827851947836642e-05,8.448384789816465e-05
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,all four layers,0.25,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,all four layers,0.5,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,all four layers,0.75,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,all four layers,1.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,all four layers,1.25,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,all four layers,1.5,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,all four layers,2.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layer 0,0.25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layer 0,0.5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layer 0,0.75,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layer 0,1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layer 0,1.25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layer 0,1.5,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layer 0,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layers 4/20/39,0.25,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layers 4/20/39,0.5,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layers 4/20/39,0.75,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layers 4/20/39,1.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layers 4/20/39,1.25,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layers 4/20/39,1.5,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity q plane on shared A/B layout,parity_shared_layout,bidirectional,layers 4/20/39,2.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity-layout change only,parity_native_layout,parity_shared_layout,all four layers,0.25,70,-0.050040553887129274,-0.005759232624181931,0.08921282137438881,0.011840723782666523,0.4714285714285714,0.5285714285714286,-0.011222710479584008,0.019542714994073118
parity-layout change only,parity_native_layout,parity_shared_layout,all four layers,0.5,70,-0.05334054917617976,-0.0017705220434607316,0.05815771206451052,-0.0007914871384873361,0.4857142857142857,0.5142857142857142,-0.00983054713266851,0.003477739438235483
parity-layout change only,parity_native_layout,parity_shared_layout,all four layers,0.75,70,-0.027125699635796918,-0.000996397793471715,0.031224901601840552,-5.4477755025174525e-06,0.4857142857142857,0.5142857142857142,-0.002424539393694136,0.0016997195028151668
parity-layout change only,parity_native_layout,parity_shared_layout,all four layers,1.0,70,-0.021113282254594544,0.00035464307829458086,0.020332872010454358,0.0005285334585357705,0.5142857142857142,0.4857142857142857,-0.0025176425814095738,0.004171696550753223
parity-layout change only,parity_native_layout,parity_shared_layout,all four layers,1.25,70,-0.013796963461676314,-0.0001163805158626019,0.011214321148845545,-0.0011273999900732476,0.4857142857142857,0.5142857142857142,-0.0008333508019349178,0.00022841453467581374
parity-layout change only,parity_native_layout,parity_shared_layout,all four layers,1.5,70,-0.006788182511916952,0.00013939985403832456,0.007839412076860676,0.0008279716273189701,0.5428571428571428,0.45714285714285713,-0.00036608632387724604,0.0017507562880124117
parity-layout change only,parity_native_layout,parity_shared_layout,all four layers,2.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity-layout change only,parity_native_layout,parity_shared_layout,layer 0,0.25,16,-0.06409713583532672,0.023119156285629272,0.10613233354587798,0.015900177943463892,0.5625,0.4375,-0.03551164441825849,0.05239913076558933
parity-layout change only,parity_native_layout,parity_shared_layout,layer 0,0.5,16,-0.06381421722448988,0.009522206946786516,0.05766366764991587,0.0025871470800591517,0.5625,0.4375,-0.025896549064626462,0.022027189428668215
parity-layout change only,parity_native_layout,parity_shared_layout,layer 0,0.75,16,-0.031094935567246462,0.001077331724237629,0.03152233802959642,-0.002750053889343365,0.625,0.375,-0.007868522903626884,0.024455841360261243
parity-layout change only,parity_native_layout,parity_shared_layout,layer 0,1.0,16,-0.013261042678983148,0.002985264358933648,0.016835029824267767,0.0028355156547794566,0.625,0.375,-0.002758379409848355,0.007934496652050704
parity-layout change only,parity_native_layout,parity_shared_layout,layer 0,1.25,16,-0.008610579249265116,-0.001479984077752572,0.011337856102170418,-0.00011597129108106147,0.375,0.625,-0.0038235604598715334,0.007990446399337825
parity-layout change only,parity_native_layout,parity_shared_layout,layer 0,1.5,16,-0.004133416780748411,0.00020829261348387362,0.002646214455758855,-0.00020375171007652043,0.5625,0.4375,-0.0026961400362827126,0.0006584280622075056
parity-layout change only,parity_native_layout,parity_shared_layout,layer 0,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parity-layout change only,parity_native_layout,parity_shared_layout,layers 4/20/39,0.25,54,-0.048352474944404346,-0.006781472785311493,0.08340272067105534,0.010637922549837673,0.4444444444444444,0.5555555555555556,-0.015858533951809473,0.01758487769599376
parity-layout change only,parity_native_layout,parity_shared_layout,layers 4/20/39,0.5,54,-0.05076872207073045,-0.0037770831505204994,0.056618348506469074,-0.0017925639439825918,0.46296296296296297,0.5370370370370371,-0.010149427855593918,0.003477739438235483
parity-layout change only,parity_native_layout,parity_shared_layout,layers 4/20/39,0.75,54,-0.02495407183813337,-0.0014650898398546608,0.03100178790238627,0.0008077688508206967,0.4444444444444444,0.5555555555555556,-0.002946880697934917,0.0021709617528931635
parity-layout change only,parity_native_layout,parity_shared_layout,layers 4/20/39,1.0,54,-0.0219706930555245,-0.0005544354873691093,0.02287919142914362,-0.00015501682183272902,0.48148148148148145,0.5185185185185185,-0.0026359302464830092,0.0029597601115665118
parity-layout change only,parity_native_layout,parity_shared_layout,layers 4/20/39,1.25,54,-0.016202690482980307,0.00014503581473601646,0.010167011533784694,-0.0014270825675524138,0.5185185185185185,0.48148148148148145,-0.00011990016809493298,0.0005388344921170574
parity-layout change only,parity_native_layout,parity_shared_layout,layers 4/20/39,1.5,54,-0.007683697221493012,0.00011010602060024244,0.008267344931669142,0.0011336674309917081,0.5370370370370371,0.46296296296296297,-0.00034057169890783223,0.002806614669159102
parity-layout change only,parity_native_layout,parity_shared_layout,layers 4/20/39,2.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
