group,policy,budget_bpw,invocations,requests,p10_recovery,median_recovery,p90_recovery,mean_recovery,median_ci_low,median_ci_high,median_logical_bpw,median_physical_bpw,median_page_amplification
all four layers,ordered_a,1.25,70,6,0.9250292507445467,0.9544448838269093,0.9930893849211379,0.9549702233836141,0.9524742299130907,0.9597587502699645,1.2493489583333333,1.25,1.0005211047420532
all four layers,ordered_a,1.5,70,6,0.9606716922606593,0.981506897047443,0.9959820607284787,0.979043393047152,0.9789788832435513,0.9846006976583305,1.4986979166666667,1.5,1.000868809730669
all four layers,ordered_a,2.0,70,6,0.9986213902294173,0.9999215690805621,0.9999999999996767,0.9992398650130738,0.9997637460056674,0.9999850832727428,1.9967447916666667,2.0,1.001624190279022
all four layers,parity_abq,0.25,70,6,0.40862361908253564,0.6289881673544109,0.8281570287137019,0.630340171839573,0.589977184305554,0.6878932559593678,0.25,0.25,1.0
all four layers,parity_abq,0.5,70,6,0.6079007019513211,0.78516615652598,0.9517759297566056,0.7795375028199251,0.7616016858800635,0.8114155973984505,0.4998372395833333,0.5,1.000325626831651
all four layers,parity_abq,0.75,70,6,0.7639313673413494,0.864835976312924,0.9769648420501269,0.8634711440387843,0.852103379811514,0.8998573699533845,0.749755859375,0.75,1.0003256386169133
all four layers,parity_abq,1.0,70,6,0.8566534888818713,0.9200313686741979,0.9872162227133776,0.9179759818385047,0.9190829273259417,0.937085149512015,0.9995930989583333,1.0,1.000407073308351
all four layers,parity_abq,1.25,70,6,0.9210169881588456,0.9581336206285718,0.9928485374107515,0.95487165417342,0.9531205240107276,0.9614046148940071,1.2494303385416665,1.25,1.0004047398356226
all four layers,parity_abq,1.5,70,6,0.9641515276904038,0.9818816460771154,0.9974741637398697,0.9806139081303215,0.9787107624639444,0.9837591799265606,1.4993489583333333,1.5,1.0004342162396873
all four layers,parity_abq,2.0,70,6,0.9999999999993742,0.9999999999996961,0.9999999999998535,0.9999999999996276,0.9999999999995897,0.9999999999997219,1.9993489583333333,2.0,1.000325626831651
