capture_source,evaluation_split,request_id,sequence_id,position,layer,projection,expert_id,expert_stratum,router_rank,router_coefficient,selector,action_count,logical_bpw_projection,jaccard_with_exact
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_8,3072,1.5,0.8714590313737435
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_8,3584,1.75,0.9013262599469496
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_8,4096,2.0,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_4,512,0.25,0.7414965986394558
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_4,1024,0.5,0.6266878474980143
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_4,1536,0.75,0.6879120879120879
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_4,2048,1.0,0.7739281074058034
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_4,2560,1.25,0.8305327136217375
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_4,3072,1.5,0.8743136058572301
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_4,3584,1.75,0.9145299145299145
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,block_refresh_4,4096,2.0,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,exact_marginal_fixed_greedy,512,0.25,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,exact_marginal_fixed_greedy,1024,0.5,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,exact_marginal_fixed_greedy,1536,0.75,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,exact_marginal_fixed_greedy,2048,1.0,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,exact_marginal_fixed_greedy,2560,1.25,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,exact_marginal_fixed_greedy,3072,1.5,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,exact_marginal_fixed_greedy,3584,1.75,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,exact_marginal_fixed_greedy,4096,2.0,1.0
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,backward_elimination,512,0.25,0.1623155505107832
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,backward_elimination,1024,0.5,0.18587145338737696
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,backward_elimination,1536,0.75,0.1874758407421724
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,backward_elimination,2048,1.0,0.2832080200501253
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,backward_elimination,2560,1.25,0.4361851332398317
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,backward_elimination,3072,1.5,0.574173712528824
exact_checkpoint,test,mxfp4-confirm-009,mxfp4-confirm-009,5,0,gate,62,hot,1,0.22052405774593353,backward_elimination,3584,1.75,0.75
