factor_config_id,physical_budget_pages,layer,recovery_p10,recovery_median,recovery_p90,retention_p10,retention_median,retention_p90
exact_proxy_plus_eigh_tail_tail32_exact4_fp32,768,20,0.9591386129237273,0.9696563009335029,0.9801692279972377,1.0002629589687824,1.0022553676439494,1.0055728874577838
exact_proxy_plus_eigh_tail_tail32_exact4_fp32,768,39,0.9785581588806612,0.9902680725377796,0.9973682831882974,0.9997880532674213,1.0002272079511827,1.0039936536672052
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,384,0,0.9488550000186025,0.9948001718807008,0.9979204375019629,0.9989611249989605,0.9999272273632062,1.001590827322685
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,384,4,0.8563880952203436,0.8997162222890132,0.9506192286483237,0.9862195817130133,0.9938253895208409,0.999376043072928
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,384,20,0.8489306244221049,0.881564945864639,0.9236145147104876,0.9678546058388535,0.9919706220257314,1.0013930262070745
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,384,39,0.9147221949538883,0.9564892070944091,0.9842511261744916,0.9929850024692399,0.9975471196614633,1.000079734376662
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,576,0,0.9792855029776321,0.9998711404889024,0.9999777823562537,0.9999683534505417,1.0000049061496588,1.0000872227143063
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,576,4,0.9270484547201038,0.9496603416472594,0.9753933072972433,0.9959804754962797,1.0000651468068469,1.0053439621456801
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,576,20,0.9116611791354078,0.9386094322202738,0.9598164974910915,0.9932155825328807,0.9991850772823327,1.007895045548568
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,576,39,0.956092302340232,0.9778070750499013,0.993193490746855,0.9977270769929714,0.9999161927056814,1.0016773828141772
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,768,0,0.9929801719891552,1.0,1.0,0.9999236248097785,1.0,1.0000273789652054
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,768,4,0.962798393619221,0.9757493873082894,0.9883401955599653,0.9987350819685868,1.0005194825010564,1.0017180735191766
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,768,20,0.9575732704423139,0.9698776256454198,0.978811381853749,0.9993768179634945,1.0017117496562595,1.0041728966131613
exact_proxy_plus_eigh_tail_tail4_exact4_fp32,768,39,0.9782090118711398,0.9908907008618671,0.9974083613697866,0.9988780486335584,1.000220263412786,1.0032094334891208
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,384,0,0.9476217137646201,0.9942727699316707,0.9979558383419902,0.9984489620933725,0.9999436278117801,1.0012562397280906
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,384,4,0.8595807381361062,0.9016035144051501,0.9488855822750976,0.9872424530679662,0.9948847724889498,0.9995871062580564
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,384,20,0.8362401154840583,0.8813432394247219,0.9222036090620679,0.9648677849669929,0.9917253220359856,0.9982847369964655
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,384,39,0.9149445273871825,0.9545128355682369,0.984233469217003,0.9889089112078275,0.9976776327675944,1.0000644196097392
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,576,0,0.9782263267486776,0.9998824137100469,0.9999754984257122,0.9999073886996884,0.9999978402757815,1.000024993756755
exact_proxy_plus_eigh_tail_tail8_exact4_fp32,576,4,0.9243477014593624,0.9498999039011248,0.9760243102226057,0.9948962802166222,1.0000498966954128,1.004995328590802
