factor_config_id,physical_budget_pages,solver,factor_family,tail_rank,exact_rank,total_rank,encoding,hadamard_rotated,geometry_ceiling,factor_payload_bytes,combined_metadata_bpw,selector_compute_macs_max,recovery_p10,recovery_median,recovery_p90,retention_p10,retention_median,retention_p90,gap_p10,gap_median,gap_p90,geometry_gate_pass,compute_gate_pass,metadata_gate_pass
joint_eigh_tail16_exact0_int4_per_row_hadamard,384,four_seed_coordinate_plus_local_repair,joint_eigh,16,0,16,int4_per_row,True,False,10244,0.033894856770833336,28883232,0.8450200125351198,0.9248040888963628,0.9943760934891268,0.964605175934517,0.9921019928401684,1.0002842595416703,-0.03026915129934098,-0.007409247138747133,0.000280797463707283,False,False,True
joint_eigh_tail16_exact0_int4_per_row_hadamard,576,four_seed_coordinate_plus_local_repair,joint_eigh,16,0,16,int4_per_row,True,False,10244,0.033894856770833336,28783904,0.9187720187283858,0.9605897532589854,0.9990087878680125,0.9923715450788552,0.99922915216018,1.0037881700971452,-0.007155883144026464,-0.0007363886335661762,0.00358145541824737,True,False,True
joint_eigh_tail16_exact0_int4_per_row_hadamard,768,four_seed_coordinate_plus_local_repair,joint_eigh,16,0,16,int4_per_row,True,False,10244,0.033894856770833336,28257536,0.9607787419698672,0.9809538633870089,0.9998859768917663,0.9981703368924248,1.00000447290703,1.0029570844966083,-0.0017793958678445465,4.472249507614379e-06,0.002870601358444525,True,False,True
joint_eigh_tail16_exact0_int8_per_row,384,four_seed_coordinate_plus_local_repair,joint_eigh,16,0,16,int8_per_row,False,False,18436,0.054728190104166664,28720608,0.8527643228555861,0.9284937758488483,0.9945574352719931,0.9750983676321533,0.995749921296269,0.9999757297772073,-0.02198559558047435,-0.0038958061006127975,-2.415809011071496e-05,True,False,True
joint_eigh_tail16_exact0_int8_per_row,576,four_seed_coordinate_plus_local_repair,joint_eigh,16,0,16,int8_per_row,False,False,18436,0.054728190104166664,28695360,0.922409199731085,0.9610852925646045,0.9990353778136053,0.9958901344651905,0.999977159729483,1.0045898164137061,-0.0038662078233130167,-2.2839266380914047e-05,0.004443625450931888,True,False,True
joint_eigh_tail16_exact0_int8_per_row,768,four_seed_coordinate_plus_local_repair,joint_eigh,16,0,16,int8_per_row,False,False,18436,0.054728190104166664,28320608,0.9621485475732452,0.9806392171878738,0.9998361351918558,0.999515587754936,1.0003670006862342,1.003626361862721,-0.00047805332396786386,0.0003597632323030231,0.003520248201003762,True,False,True
joint_eigh_tail32_exact0_fp32,384,four_seed_coordinate_plus_local_repair,joint_eigh,32,0,32,fp32,False,True,131072,0.3411763509114583,57947392,0.857357828634572,0.9267934750747032,0.9945583033787022,0.974442728508646,0.9957544072271196,1.00102899328532,-0.022748329632808262,-0.004035676649222331,0.0010072296127849442,True,False,True
joint_eigh_tail32_exact0_fp32,576,four_seed_coordinate_plus_local_repair,joint_eigh,32,0,32,fp32,False,True,131072,0.3411763509114583,57910528,0.9241718209816073,0.9608718256112309,0.9989991709864853,0.9966566036527379,0.9999956035204134,1.0050747023412754,-0.0032604091705991096,-4.1180109365823725e-06,0.00470638850161216,True,False,True
joint_eigh_tail32_exact0_fp32,768,four_seed_coordinate_plus_local_repair,joint_eigh,32,0,32,fp32,False,True,131072,0.3411763509114583,58057984,0.9615965868256459,0.9809050671168215,0.9998355520571314,0.9996408806263335,1.0005158588841911,1.0037059300819122,-0.0003542757115657434,0.0005113782879186957,0.0036101666420830904,True,False,True
joint_eigh_tail32_exact0_int4_per_row_hadamard,384,four_seed_coordinate_plus_local_repair,joint_eigh,32,0,32,int4_per_row,True,False,18436,0.054728190104166664,57470336,0.8460609108811098,0.9239410250219569,0.9940390487267532,0.9660445986515598,0.9934527751467208,0.9999287207546039,-0.029931218459325667,-0.006169986587266307,-7.091718918872365e-05,False,False,True
joint_eigh_tail32_exact0_int4_per_row_hadamard,576,four_seed_coordinate_plus_local_repair,joint_eigh,32,0,32,int4_per_row,True,False,18436,0.054728190104166664,57396608,0.9209774095460093,0.9582289161505093,0.9989365493114676,0.9922008356981731,0.9994379834732866,1.0028841929799395,-0.0072534614255576274,-0.0005474624764609803,0.0027711392874168353,True,False,True
joint_eigh_tail32_exact0_int4_per_row_hadamard,768,four_seed_coordinate_plus_local_repair,joint_eigh,32,0,32,int4_per_row,True,False,18436,0.054728190104166664,57765248,0.9612837829826726,0.979686520354636,0.9998327113454573,0.998283145809661,1.0,1.0022346474783468,-0.0016747469389658096,0.0,0.0021837451775040158,True,False,True
joint_eigh_tail32_exact0_int8_per_row,384,four_seed_coordinate_plus_local_repair,joint_eigh,32,0,32,int8_per_row,False,False,34820,0.09639485677083333,57439296,0.8532183027260414,0.9270828117071286,0.9944480421070544,0.9698442014187034,0.9952370532986446,1.0001854807250299,-0.026058491624089665,-0.004294993885061826,0.00017766333191124905,False,False,True
joint_eigh_tail32_exact0_int8_per_row,576,four_seed_coordinate_plus_local_repair,joint_eigh,32,0,32,int8_per_row,False,False,34820,0.09639485677083333,57449984,0.9250650509053155,0.9611109313289911,0.998972283841941,0.9955522501822465,1.0000154462236295,1.0054175757514625,-0.004154897436108128,1.542635756790478e-05,0.0050511841501528895,True,False,True
joint_eigh_tail32_exact0_int8_per_row,768,four_seed_coordinate_plus_local_repair,joint_eigh,32,0,32,int8_per_row,False,False,34820,0.09639485677083333,57413120,0.9621045639168408,0.9806666606812862,0.9998283427856285,0.9991542188929994,1.0004142790729207,1.0033515484887863,-0.0008371751269251603,0.00040299843334390406,0.003254327359185516,True,False,True
joint_eigh_tail4_exact0_fp32,384,four_seed_coordinate_plus_local_repair,joint_eigh,4,0,4,fp32,False,True,16384,0.049509684244791664,7301040,0.8427888580978451,0.9229938868666504,0.9945951875624388,0.9700201723773134,0.9918958957660771,1.000286991563641,-0.026184228189112677,-0.007754543265269476,0.0002736814100584353,False,False,True
joint_eigh_tail4_exact0_fp32,576,four_seed_coordinate_plus_local_repair,joint_eigh,4,0,4,fp32,False,True,16384,0.049509684244791664,7277208,0.9211301439704855,0.9606696952177863,0.9990400430485492,0.9946003967509426,0.9995665097542833,1.005222788106575,-0.005076371096715526,-0.0004251779978479142,0.004886130435251701,True,False,True
joint_eigh_tail4_exact0_fp32,768,four_seed_coordinate_plus_local_repair,joint_eigh,4,0,4,fp32,False,True,16384,0.049509684244791664,7178336,0.9614355699883465,0.9796969569296496,0.9998027502045084,0.9989038559769507,1.0,1.0030093455597524,-0.0010716046365086608,0.0,0.002924915954629583,True,False,True
