injection_mode,route_mode,injection_layer,mean_budget_pages_per_expert,charged_bpw,alpha,requests,sequence_tokens,hidden_mse,rmsnorm_normalized_mse,cosine_distance,router_logit_kl,route_membership_change_fraction,router_mass_churn
pre_residual_routed_replacement,frozen_set_live_weights,0,749,0.9987386067708334,1.0,3,44,1.9957789605517075e-05,0.00020041408189977255,8.09899548942026e-05,0.00010079650403155903,0.045454545454545456,0.008170662535555462
pre_residual_routed_replacement,frozen_set_live_weights,0,749,0.9987386067708334,2.0,3,44,2.019736852141498e-05,0.00019681557068519857,8.214579498389754e-05,0.00010619952532135143,0.11363636363636363,0.013123975691611616
pre_residual_routed_replacement,frozen_set_live_weights,0,749,0.9987386067708334,4.0,3,44,1.833941797454744e-05,0.000163735371910915,7.41819839009243e-05,0.00010231321801184657,0.11363636363636363,0.012455321559627962
pre_residual_routed_replacement,frozen_set_live_weights,0,768,1.0234781901041665,0.125,3,44,2.1273996064895652e-05,0.00020992601734773014,8.594171850778457e-05,0.00010352586632344363,0.13636363636363635,0.014663294004190907
pre_residual_routed_replacement,frozen_set_live_weights,0,768,1.0234781901041665,0.25,3,44,1.880905258841184e-05,0.0001623516226196382,7.582610912578522e-05,0.00010122777593175462,0.11363636363636363,0.012163345396795392
pre_residual_routed_replacement,frozen_set_live_weights,0,768,1.0234781901041665,0.5,3,44,1.7206321564473953e-05,0.00015469392373959745,6.958737815330892e-05,9.422149696530524e-05,0.13636363636363635,0.01367049288738524
pre_residual_routed_replacement,frozen_set_live_weights,0,768,1.0234781901041665,1.0,3,44,2.1890497540058814e-05,0.00023668811730490495,8.884848158324294e-05,0.00011107285706425229,0.13636363636363635,0.016528102399306906
pre_residual_routed_replacement,frozen_set_live_weights,0,768,1.0234781901041665,2.0,3,44,2.2404674519355634e-05,0.0002262678834850658,9.111367170092593e-05,0.00010753687289750013,0.11363636363636363,0.013277791475595813
pre_residual_routed_replacement,frozen_set_live_weights,0,768,1.0234781901041665,4.0,3,44,2.056059199679277e-05,0.00018983502461849907,8.286430720063429e-05,0.00010671183882442324,0.11363636363636363,0.012811078348047606
pre_residual_routed_replacement,frozen_set_live_weights,1,384,0.5234781901041666,0.125,3,44,1.979522476554378e-05,0.00018729704110231475,7.998697111642372e-05,0.00010206776152498586,0.13636363636363635,0.01421440628410129
