injection_mode,route_mode,injection_layer,mean_budget_pages_per_expert,charged_bpw,alpha,requests,label_tokens,intended_delta_energy,realized_layer_error_energy,layer_output_unchanged_fraction,first_route_membership_crossing_fraction,first_route_membership_distance_median,final_router_mass_churn,delta_nll,ppl_ratio,logit_kl,top1_agreement
post_xplus_fp32_once,live,39,384,0.5234781901041666,1.0,3,41,0.03852142206872671,0.03913557242832441,0.3541798356028182,0.0,,0.0,0.004295542440518392,1.004304781507145,0.0005503148241503719,1.0
post_xplus_fp32_once,live,39,576,0.7734781901041666,1.0,3,41,0.013364118292475243,0.013722988412694398,0.4100086777563614,0.0,,0.0,0.0006885380248399703,1.0006887751215594,0.00025686922604565773,1.0
post_xplus_fp32_once,live,39,749,0.9987386067708334,1.0,3,41,0.004749501652699079,0.0049964316637123056,0.4855567307081574,0.0,,0.0,-0.0018171369494113568,0.9981845130443622,0.00012345418443334785,1.0
post_xplus_fp32_once,live,39,768,1.0234781901041665,1.0,3,41,0.004203365416893292,0.004422627636026251,0.49404201066218145,0.0,,0.0,-0.001612430864097859,0.9983888684041273,0.00014992267211401766,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,384,0.5234781901041666,0.125,3,41,4.466996231859737e-05,1.856233556593181e-06,0.8061303344497537,1.0,1.0,0.016517097087982553,0.00021476186324212646,1.000214784926222,0.000716641109889219,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,384,0.5234781901041666,0.25,3,41,4.466996231859737e-05,5.007180184625989e-06,0.6713199045301751,1.0,1.0,0.013153746569080535,-0.008530424721162935,0.9915058561148579,0.0007888540000608894,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,384,0.5234781901041666,0.5,3,41,4.466996231859737e-05,1.4576771173071145e-05,0.5338090411121209,1.0,1.0,0.01411926645358069,0.00013278298070348656,1.0001327917967537,0.0006865113178876641,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,384,0.5234781901041666,1.0,3,41,4.466996231859737e-05,4.8962428956430506e-05,0.4249101000625391,1.0,1.0,0.019372125644697924,-0.0018854865327586623,0.9981162898803309,0.0007171988332224994,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,384,0.5234781901041666,2.0,3,41,4.466996231859737e-05,0.00018306491995232312,0.35359888703022396,1.0,1.0,0.014415628047716402,0.003185261937058189,1.0031903402743754,0.0006594301468153752,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,384,0.5234781901041666,4.0,3,41,4.466996231859737e-05,0.0007204545974200342,0.3143649351156973,1.0,1.0,0.010159641393529284,-0.001847877462399772,0.9981538288120011,0.0006907555087757606,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,576,0.7734781901041666,0.125,3,41,6.220031691365662e-06,3.1699811149457944e-07,0.9416602501502404,1.0,2.0,0.01776793056477636,-0.00023310232444958366,0.9997669248417864,0.0008868513534993783,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,576,0.7734781901041666,0.25,3,41,6.220031691365662e-06,1.056131487931672e-06,0.8643512165196021,1.0,2.0,0.012292166749587961,0.00889512705356453,1.0089348062594787,0.0006802040958524142,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,576,0.7734781901041666,0.5,3,41,6.220031691365662e-06,3.1817506517857027e-06,0.7436129590881996,1.0,2.0,0.014919367127132299,0.0044133321398163875,1.0044230852327056,0.000844605692904616,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,576,0.7734781901041666,1.0,3,41,6.220031691365662e-06,9.607577178255141e-06,0.6040240184600238,1.0,2.0,0.009391846178208443,-0.0001260829357758622,0.9998739250123434,0.0006650156666473801,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,576,0.7734781901041666,2.0,3,41,6.220031691365662e-06,2.9088121631642692e-05,0.4794430005692034,1.0,1.0,0.012258169051813306,0.00540565433011673,1.0054202912416281,0.0008090987727729555,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,576,0.7734781901041666,4.0,3,41,6.220031691365662e-06,0.00010480637655657519,0.3879878537367104,1.0,2.0,0.015687709961343693,-0.006371987432068714,0.9936482706289735,0.0007930253100004447,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,749,0.9987386067708334,0.125,3,41,5.668071780622763e-07,3.1153138638207746e-08,0.9922409315270286,1.0,3.0,0.010942534229544136,0.0020166447344333012,1.0020186795300159,0.0007186672425510618,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,749,0.9987386067708334,0.25,3,41,5.668071780622763e-07,1.1964930483523455e-07,0.9762988235445005,1.0,3.0,0.01609467427141495,-0.0007128922561794044,0.999287361791132,0.0007964017801267086,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,749,0.9987386067708334,0.5,3,41,5.668071780622763e-07,4.4512526060514604e-07,0.9379454077743902,1.0,2.0,0.01593104619929402,-0.0021247797632777073,0.9978774759833058,0.0008095702810014504,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,749,0.9987386067708334,1.0,3,41,5.668071780622763e-07,1.2952572653761527e-06,0.8665509556143489,1.0,2.0,0.008187430343906569,-0.0012503988033966697,0.9987503826194565,0.000830883417644171,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,749,0.9987386067708334,2.0,3,41,5.668071780622763e-07,3.854141558618057e-06,0.7597019522394368,1.0,2.0,0.013112539077359224,-0.0008257975134699895,0.9991745433634585,0.0006400887191335864,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,749,0.9987386067708334,4.0,3,41,5.668071780622763e-07,1.1506311609639589e-05,0.6347090367453779,1.0,2.0,0.01246646692413398,0.0027556327149002974,1.002759432960622,0.0006483479240126599,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,768,1.0234781901041665,0.125,3,41,4.085047189241406e-07,2.359695985821599e-08,0.9941470033455969,1.0,2.0,0.014693086287908552,-0.0019865089296278605,0.9980154628733517,0.0009149103554031254,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,768,1.0234781901041665,0.25,3,41,4.085047189241406e-07,9.2671394548634e-08,0.9816455032320004,1.0,1.0,0.012135981742439244,-0.0029473964428536623,0.9970569428657742,0.0007945602504083845,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,768,1.0234781901041665,0.5,3,41,4.085047189241406e-07,3.373182007622034e-07,0.9512755240702196,1.0,2.0,0.013670382025455311,-0.0014389131637185723,0.9985621215754683,0.0006339186640317475,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,768,1.0234781901041665,1.0,3,41,4.085047189241406e-07,9.918252195382986e-07,0.8916257360862746,1.0,2.0,0.016545807395794546,-0.0003603528271037907,0.9996397120921781,0.000729829365981596,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,768,1.0234781901041665,2.0,3,41,4.085047189241406e-07,2.910075929545982e-06,0.796616060544432,1.0,2.0,0.01327873375399054,0.0007215660023101954,1.0007218263936841,0.00065042435170179,1.0
pre_residual_routed_replacement,frozen_set_live_weights,0,768,1.0234781901041665,4.0,3,41,4.085047189241406e-07,8.524787720678147e-06,0.679322953310663,1.0,2.0,0.012825986493601706,0.006790695416230182,1.0068138044675767,0.000677129614887715,1.0
pre_residual_routed_replacement,frozen_set_live_weights,1,384,0.5234781901041666,0.125,3,41,0.0004558713228720567,1.2243939807972167e-05,0.60253382164512,1.0,1.0,0.014217570587318536,0.0003755585387479711,1.0003756290696852,0.0007039679651492155,1.0
pre_residual_routed_replacement,frozen_set_live_weights,1,384,0.5234781901041666,0.25,3,41,0.0004558713228720567,3.532077279148439e-05,0.47654628884874334,1.0,2.0,0.01805784768334044,0.0007587106310262176,1.0007589985247418,0.0008169444375284307,1.0
pre_residual_routed_replacement,frozen_set_live_weights,1,384,0.5234781901041666,0.5,3,41,0.0004558713228720567,0.00012192819873577328,0.3870903392073659,1.0,1.0,0.014065266189095977,-0.003280379474019945,0.9967249950922483,0.000687241164042351,1.0
pre_residual_routed_replacement,frozen_set_live_weights,1,384,0.5234781901041666,1.0,3,41,0.0004558713228720567,0.0004651220272533855,0.3333071557785139,1.0,1.0,0.013986127392189799,-0.00504481658945548,0.9949678871261389,0.0007865520585800082,1.0
pre_residual_routed_replacement,frozen_set_live_weights,1,384,0.5234781901041666,2.0,3,41,0.0004558713228720567,0.001835285224156426,0.3035691176003557,1.0,1.0,0.011881095777762384,-0.0025983324139039993,0.9974050403299602,0.000713028170415599,1.0
pre_residual_routed_replacement,frozen_set_live_weights,1,384,0.5234781901041666,4.0,3,41,0.0004558713228720567,0.007304340849737315,0.28831760771502696,1.0,1.0,0.00801761744268283,-0.005640602275479605,0.9943752760530623,0.0009880197505131901,1.0
