factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,selector_runtime_ms_median,selector_runtime_ms_p90,selector_compute_macs,selector_dp_state_evaluations,selector_coordinate_sweeps_median,selector_local_passes_median
exact_proxy_rank4_int4_per_row_hadamard,uniform_per_expert,753,753,65530.30170314014,67141.80111214519,34462208,50315264,2437.0,304.0
exact_proxy_rank4_int8_per_row,pooled_exact_combined_moe_column_generated_local,749,1536,83899.10581428558,87252.02329903841,41192704,50315264,2820.5,389.0
exact_proxy_rank4_int8_per_row,pooled_exact_combined_moe_oracle,749,1536,65644.7844253853,67541.0932123661,34694144,50315264,2438.0,304.0
exact_proxy_rank4_int8_per_row,pooled_router_square_column_generated,749,1536,83641.01528935134,87020.04148289561,41192704,50315264,2820.5,389.0
exact_proxy_rank4_int8_per_row,pooled_router_square_compressed,749,1536,65547.75513149798,67482.53795616329,34694144,50315264,2438.0,304.0
exact_proxy_rank4_int8_per_row,uniform_per_expert,749,749,65528.02366018295,67462.74027619511,34694144,50315264,2438.0,304.0
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_exact_combined_moe_column_generated_local,741,1536,83871.20436877012,86397.75611367077,60638208,50315264,2825.0,392.5
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_exact_combined_moe_oracle,741,1536,65792.21126344055,66798.19860495627,52473344,50315264,2439.5,304.0
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_router_square_column_generated,741,1536,83684.75125636905,86110.8871564269,60638208,50315264,2825.0,392.5
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_router_square_compressed,741,1536,65641.17548801005,66659.1647643596,52473344,50315264,2439.5,304.0
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,uniform_per_expert,741,741,65621.09558004886,66639.69656713307,52473344,50315264,2439.5,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,65840.86897596717,66789.46522027254,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_column_generated_local,384,1536,83866.44456814975,86582.12281335145,62635008,50315264,2837.0,394.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,384,1536,65881.1208140105,66874.32568427175,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,384,768,83075.48981159925,85416.51072446257,62454784,50315264,2823.0,397.5
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,384,1152,83280.11116571724,85737.3314699158,62635008,50315264,2837.0,394.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,384,1536,83811.80169247091,86354.05737888068,62635008,50315264,2837.0,394.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,384,768,65835.93385852873,66784.4151141122,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,384,1152,65837.83213049173,66786.52457315475,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,384,1536,65840.96281416714,66789.47919905186,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,384,384,65827.5933964178,66775.58013908565,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,65844.58012413234,66797.93634135276,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_column_generated_local,576,1536,84759.03008040041,86872.43642229587,61645824,50315264,2839.0,398.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,576,1536,65901.38893947005,66920.77400200069,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,576,768,83783.3769004792,85837.01739702374,62144000,50315264,2803.5,400.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,576,1152,84070.51112223417,86094.86845768988,61645824,50315264,2837.5,398.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,576,1536,84616.97273235768,86689.0807820484,61645824,50315264,2839.0,398.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,768,65837.56645675749,66786.17162704468,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1152,65840.31640831381,66789.46560341865,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1536,65844.59802880883,66793.4061454609,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,576,576,65827.57210265845,66775.56258719414,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,749,1536,65847.63671923429,66796.0735142231,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_column_generated_local,749,1536,84051.14619620144,86988.54495566338,60414976,50315264,2833.0,389.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_global_bound,749,1536,87235.85854656994,90205.39937242866,60414976,50315264,2833.0,389.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,749,1536,65946.82797137648,67001.54537018389,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,749,768,82900.29423683882,85523.11110682786,57326592,50315264,2725.0,401.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,749,1152,83273.74482061714,86279.79554086924,60414976,50315264,2828.0,391.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,749,1536,83838.24461419135,86820.71504052728,60414976,50315264,2833.0,389.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,768,65838.33728730679,66787.33219299465,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1152,65842.27618388832,66791.08098838478,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1536,65847.06791862845,66795.4391349107,51343360,50315264,2447.0,304.0
