factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,groups,overall_average_bpw,qenergy_recovery_p10,qenergy_recovery_median,qenergy_recovery_p90,qenergy_recovery_mean,paired_gain_vs_uniform_p10,paired_gain_vs_uniform_median,paired_gain_vs_uniform_p90,paired_gain_vs_uniform_mean
exact_proxy_rank4_int8_per_row,pooled_exact_combined_moe_oracle,749,1536,0,32,0.9987386067708334,0.9999134667435721,0.9999944403433554,0.9999981029131612,0.9999655648650095,1.70726113016495e-05,0.00010401773300605655,0.0006969586364114829,0.0002460828494501889
exact_proxy_rank4_int8_per_row,pooled_exact_combined_moe_oracle,749,1536,4,32,0.9987386067708334,0.9962507496684696,0.9982666349008045,0.9993621222670845,0.9980608862807177,0.0010469926762123993,0.002564608260720469,0.004591103832582189,0.002690963296905366
exact_proxy_rank4_int8_per_row,pooled_exact_combined_moe_oracle,749,1536,20,32,0.9987386067708334,0.9942702746109542,0.9967747478605922,0.999319686353051,0.9967790570389461,0.0008604698933514787,0.0018344188550848406,0.004057157218881935,0.0020978822031149785
exact_proxy_rank4_int8_per_row,pooled_exact_combined_moe_oracle,749,1536,39,32,0.9987386067708334,0.9964189583012724,0.998656211889877,0.9996474904932948,0.9981225698930662,0.0001501264845007011,0.0005759812515102047,0.002111045525073997,0.0008305848737687541
exact_proxy_rank4_int8_per_row,pooled_router_square_column_generated,749,1536,0,32,0.9987386067708334,0.9999148275889211,0.9999946989990216,0.9999989580164141,0.9999667702248832,1.7205188067470623e-05,0.00010438410103807971,0.0006983427151108342,0.00024728820932399045
exact_proxy_rank4_int8_per_row,pooled_router_square_column_generated,749,1536,4,32,0.9987386067708334,0.9963781588936419,0.9982905934858518,0.9993773515152852,0.9981160464828005,0.001065852429516212,0.0026002095099921796,0.0046921067549988045,0.0027461234989881803
exact_proxy_rank4_int8_per_row,pooled_router_square_column_generated,749,1536,20,32,0.9987386067708334,0.9941198332133566,0.996820960107462,0.9993169282178128,0.996834860911411,0.0008533226696543883,0.001901489745017415,0.004064597139290904,0.0021536860755799435
exact_proxy_rank4_int8_per_row,pooled_router_square_column_generated,749,1536,39,32,0.9987386067708334,0.9964912356491581,0.9986885977394893,0.9996469460428687,0.998174399428408,0.00015384208826941804,0.0006070682226282931,0.0021124287932040697,0.0008824144091107086
exact_proxy_rank4_int8_per_row,pooled_router_square_compressed,749,1536,0,32,0.9987386067708334,0.9999134667435721,0.99999443124737,0.9999980242072775,0.9999647648856363,1.70726113016495e-05,0.00010401773300605655,0.0006969509755146104,0.0002452828700770064
exact_proxy_rank4_int8_per_row,pooled_router_square_compressed,749,1536,4,32,0.9987386067708334,0.9962500966679684,0.9982134062472361,0.9993531834842653,0.9980414628832053,0.0010469497697309094,0.0025485614184804772,0.004581222705807831,0.0026715398993929565
exact_proxy_rank4_int8_per_row,pooled_router_square_compressed,749,1536,20,32,0.9987386067708334,0.9938469123537351,0.996716004180016,0.999312673745941,0.9967197467400826,0.0008576781649404453,0.0017620180833688992,0.004057157218881935,0.002038571904251281
exact_proxy_rank4_int8_per_row,pooled_router_square_compressed,749,1536,39,32,0.9987386067708334,0.99629556998428,0.998645496444763,0.9996384518131517,0.998095072100289,0.00014770009305663525,0.0005435232351925223,0.002091582751440081,0.0008030870809915547
exact_proxy_rank4_int8_per_row,uniform_per_expert,749,749,0,32,0.9987386067708334,0.9992276759001307,0.9998908751433053,0.9999798620716428,0.9997194820155593,0.0,0.0,0.0,0.0
exact_proxy_rank4_int8_per_row,uniform_per_expert,749,749,4,32,0.9987386067708334,0.9919515030969006,0.9954425342370454,0.9977328493259909,0.9953699229838123,0.0,0.0,0.0,0.0
exact_proxy_rank4_int8_per_row,uniform_per_expert,749,749,20,32,0.9987386067708334,0.991325814307482,0.9948961337477108,0.9982864347955893,0.9946811748358312,0.0,0.0,0.0,0.0
exact_proxy_rank4_int8_per_row,uniform_per_expert,749,749,39,32,0.9987386067708334,0.9943235694772696,0.9979446010658317,0.9995719696940626,0.9972919850192974,0.0,0.0,0.0,0.0
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_exact_combined_moe_column_generated_local,741,1536,0,32,0.9987386067708334,0.9999079819387986,0.9999934342395438,0.9999986048006504,0.9999630782083548,2.1013877999531694e-05,0.00012235807082261463,0.0007594614870745203,0.00030112330958717223
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_exact_combined_moe_column_generated_local,741,1536,4,32,0.9987386067708334,0.9962955800874328,0.9982797866747619,0.9993471291038044,0.9980660949502635,0.0012534713382413632,0.0030064330647514015,0.005520564282286012,0.0031742335051184005
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_exact_combined_moe_column_generated_local,741,1536,20,32,0.9987386067708334,0.9940950387873739,0.9967031396789038,0.9993129301631879,0.996751843358735,0.0010215780929659468,0.0023729056685687366,0.00457050661660503,0.0026691283669834642
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_exact_combined_moe_column_generated_local,741,1536,39,32,0.9987386067708334,0.9965284872568898,0.9986846679272534,0.999656525142772,0.9981559547577893,0.00018671194262390723,0.0008170165762508286,0.0024509235151040877,0.0012003874290514895
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_exact_combined_moe_oracle,741,1536,0,32,0.9987386067708334,0.9999029324179749,0.9999931769116968,0.9999978788338413,0.9999607441941165,2.0583604726287508e-05,0.00012202760886187436,0.0007531940263119212,0.000298789295348708
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_exact_combined_moe_oracle,741,1536,4,32,0.9987386067708334,0.9961646778369356,0.998191905973637,0.9993392232540239,0.9979850503951413,0.0011416472509707455,0.0028777782746460256,0.00528342129127043,0.003093188949996162
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_exact_combined_moe_oracle,741,1536,20,32,0.9987386067708334,0.9940308821559198,0.9966752261652945,0.9992737547788478,0.9966450384076327,0.0009948934421875944,0.0022182858903981306,0.00442463181696986,0.002562323415881154
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_exact_combined_moe_oracle,741,1536,39,32,0.9987386067708334,0.9963956529544138,0.9986235946545389,0.9996510489980659,0.9980784765980065,0.00018206065304484653,0.0007616787438757266,0.0023990255206127976,0.0011229092692687064
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_router_square_column_generated,741,1536,0,32,0.9987386067708334,0.9999059248376527,0.9999933716481781,0.9999985925360686,0.9999622299344533,2.0991777743206706e-05,0.0001222685178207672,0.0007583595706563977,0.0003002750356855266
