factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,router_rank,expert_invocations,selected_pages_mean,selected_pages_median,selected_pages_p10,selected_pages_p90,expert_recovery_median,expert_recovery_p10
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,39,6,32,683.5,692.0,576.0,773.4,0.990473418530096,0.9755541147200721
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,39,7,32,627.34375,634.0,443.1,748.5,0.9907861411604463,0.9753330137966842
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,39,8,32,546.78125,576.0,424.8,639.8000000000001,0.980190947271629,0.9579538099368035
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,0,1,32,806.21875,758.5,605.1,1090.3000000000002,0.9999980078687225,0.9999431243334675
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,0,2,32,823.90625,774.0,577.7,1138.8000000000002,0.9999946741499498,0.999889893059056
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,0,3,32,789.09375,791.5,618.9,965.0000000000001,0.9999827815005,0.9997712364096741
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,0,4,32,748.40625,758.5,596.9,898.1,0.9999654250736288,0.9998610947952029
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,0,5,32,718.71875,708.0,563.4,898.9,0.9999123506224188,0.9995068343792742
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,0,6,32,724.21875,726.0,535.2,936.0000000000001,0.9998959880765703,0.9995551677235212
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,0,7,32,675.46875,671.5,479.0,882.8000000000001,0.9997864210652946,0.9983992596444962
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,0,8,32,671.9375,640.0,479.9,904.2,0.9997299026924263,0.9988400878808946
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,4,1,32,1085.0,1083.5,979.3,1182.1000000000001,0.9996668475834893,0.9987470300709024
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,4,2,32,1001.09375,1002.0,927.2,1093.8,0.999171696364878,0.9974191240020885
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,4,3,32,870.90625,889.0,756.0,1007.7,0.9975320181759877,0.9932507306233683
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,4,4,32,771.40625,768.0,663.6,893.4000000000001,0.9965577572461339,0.9872856072441147
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,4,5,32,715.59375,729.0,579.5,777.9,0.9930604296581731,0.9775027757690398
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,4,6,32,583.84375,576.0,451.3,747.0,0.9856265203753214,0.9734399685118128
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,4,7,32,509.40625,507.5,391.0,589.6,0.9710026164348224,0.9425193429389991
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,4,8,32,419.03125,401.0,298.9,572.7,0.9602215618284164,0.9223236676061988
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,20,1,32,1015.71875,1035.0,840.5,1182.6000000000001,0.99912026475818,0.9948884702029273
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,20,2,32,836.71875,877.5,696.5,934.5,0.997331736200157,0.9929042440771989
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,20,3,32,844.5625,845.0,749.0,952.2,0.9973459762690132,0.9905891890562147
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,20,4,32,750.625,739.0,660.6,864.8000000000001,0.9942762596400061,0.9853839354833336
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,20,5,32,696.46875,729.0,579.1,768.0,0.9908143384756876,0.9801793840243193
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,20,6,32,640.875,656.5,562.5,747.0,0.9879408245291355,0.9728121910602757
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,20,7,32,599.9375,576.0,512.4,706.2,0.9849018194025978,0.9681413702002833
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,20,8,32,570.59375,576.0,467.3,669.6,0.9795138289272867,0.9659711096568709
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,39,1,32,941.3125,938.5,769.9,1111.0,0.9995278622921087,0.9956091583319333
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,39,2,32,874.53125,878.0,750.9,1002.5,0.9987898285328032,0.9958074285720313
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,39,3,32,818.6875,802.0,729.8,927.7,0.9975078853947219,0.9937108465343709
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,39,4,32,767.0,759.0,678.4,879.8000000000001,0.9951009636219095,0.9922731204483147
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,39,5,32,707.40625,733.5,576.1,781.5,0.9937386680858116,0.9857928555412722
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,39,6,32,683.34375,709.5,576.0,773.4,0.9917534776490848,0.973058419958189
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,39,7,32,620.15625,616.0,443.1,749.0,0.9906311437555765,0.9743317639178404
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,39,8,32,544.78125,576.0,398.2,626.9000000000001,0.9809885420956077,0.9567081013861853
exact_proxy_rank4_fp16,uniform_per_expert,745,745,0,1,32,720.5625,729.0,726.1,737.8,0.999993348808335,0.9995364446874759
exact_proxy_rank4_fp16,uniform_per_expert,745,745,0,2,32,724.78125,729.0,724.3,736.0,0.9999650300601699,0.9978750783626666
exact_proxy_rank4_fp16,uniform_per_expert,745,745,0,3,32,730.3125,729.0,727.0,737.0,0.9999006965319541,0.9992191667932327
exact_proxy_rank4_fp16,uniform_per_expert,745,745,0,4,32,732.25,729.0,729.0,739.8,0.9999706683920289,0.9994452941830324
exact_proxy_rank4_fp16,uniform_per_expert,745,745,0,5,32,731.21875,729.0,727.0,741.0,0.9999799258783498,0.9986811613127412
exact_proxy_rank4_fp16,uniform_per_expert,745,745,0,6,32,729.59375,729.0,727.0,739.5,0.9999397348372401,0.9980412593599457
exact_proxy_rank4_fp16,uniform_per_expert,745,745,0,7,32,729.65625,729.0,727.0,734.7,0.9999629404049952,0.9985356060554433
exact_proxy_rank4_fp16,uniform_per_expert,745,745,0,8,32,726.15625,729.0,727.0,740.4,0.9999689086950383,0.9980883561946519
exact_proxy_rank4_fp16,uniform_per_expert,745,745,4,1,32,729.90625,729.0,729.0,729.0,0.9947937747224417,0.9896596375898966
exact_proxy_rank4_fp16,uniform_per_expert,745,745,4,2,32,729.78125,729.0,729.0,737.2,0.9942417402370747,0.9880232086337871
exact_proxy_rank4_fp16,uniform_per_expert,745,745,4,3,32,729.5,729.0,729.0,729.0,0.993722118398896,0.9893999040103749
exact_proxy_rank4_fp16,uniform_per_expert,745,745,4,4,32,729.3125,729.0,729.0,729.0,0.9944225867087175,0.9892483849496325
exact_proxy_rank4_fp16,uniform_per_expert,745,745,4,5,32,729.25,729.0,724.5,732.6,0.9933967593353779,0.9887009886623442
exact_proxy_rank4_fp16,uniform_per_expert,745,745,4,6,32,729.5625,729.0,729.0,729.0,0.9935144613192652,0.9888163954367283
exact_proxy_rank4_fp16,uniform_per_expert,745,745,4,7,32,728.71875,729.0,729.0,729.0,0.9915561400097194,0.9873325462710042
exact_proxy_rank4_fp16,uniform_per_expert,745,745,4,8,32,728.9375,729.0,729.0,729.0,0.9915563976065787,0.9870564423968737
exact_proxy_rank4_fp16,uniform_per_expert,745,745,20,1,32,728.96875,729.0,729.0,729.0,0.9921698379853513,0.9876614846693578
exact_proxy_rank4_fp16,uniform_per_expert,745,745,20,2,32,730.5,729.0,729.0,736.5,0.9951893089464783,0.986375412056789
exact_proxy_rank4_fp16,uniform_per_expert,745,745,20,3,32,729.65625,729.0,729.0,736.2,0.9936165821196583,0.9890166928888191
exact_proxy_rank4_fp16,uniform_per_expert,745,745,20,4,32,729.125,729.0,729.0,729.0,0.9921053449757887,0.9854549110430033
exact_proxy_rank4_fp16,uniform_per_expert,745,745,20,5,32,729.59375,729.0,729.0,729.0,0.9920553403636962,0.9877161649134029
exact_proxy_rank4_fp16,uniform_per_expert,745,745,20,6,32,730.25,729.0,729.0,734.7,0.9902906892352459,0.9873234285383952
exact_proxy_rank4_fp16,uniform_per_expert,745,745,20,7,32,729.15625,729.0,729.0,729.0,0.9923234492540651,0.9867716963619175
exact_proxy_rank4_fp16,uniform_per_expert,745,745,20,8,32,730.25,729.0,729.0,737.5,0.9917734612545612,0.9863357725211677
