layout_id,mean_budget_quanta_per_expert,layer,recovery_p10,recovery_median,recovery_p90,groups
q2q4_monolithic_same_solver_reference,1056,20,0.9380982754277986,0.9741297699355689,0.984919354793899,32
q2q4_monolithic_same_solver_reference,1056,39,0.9613084727710303,0.9827153341466917,0.9964309825109571,32
q2q4_monolithic_same_solver_reference,1088,0,0.9645890494331112,0.9819855277309173,0.9937232303908192,32
q2q4_monolithic_same_solver_reference,1088,4,0.9417198800226144,0.9749578846137887,0.987701350668145,32
q2q4_monolithic_same_solver_reference,1088,20,0.9407751150811566,0.9748913921049992,0.9852113688599914,32
q2q4_monolithic_same_solver_reference,1088,39,0.9635351960641813,0.9827267596660278,0.9966390072276132,32
q2q4_monolithic_same_solver_reference,1120,0,0.9645519228646352,0.9820186234303201,0.9937373219550721,32
q2q4_monolithic_same_solver_reference,1120,4,0.9420692760062689,0.9754698891253777,0.9880031756521476,32
q2q4_monolithic_same_solver_reference,1120,20,0.9417747821875663,0.9756112437219658,0.9853591678010762,32
q2q4_monolithic_same_solver_reference,1120,39,0.9644699021876026,0.9831078457191624,0.9967865200430862,32
q2q4_monolithic_same_solver_reference,1152,0,0.9645759115475843,0.9819932202915569,0.9938072050483975,32
q2q4_monolithic_same_solver_reference,1152,4,0.9426562489775866,0.9757647158543199,0.9879849424455878,32
q2q4_monolithic_same_solver_reference,1152,20,0.9432978537022063,0.9760536680614161,0.9853583580419781,32
q2q4_monolithic_same_solver_reference,1152,39,0.9664427935946587,0.983684131873649,0.9968429213791867,32
q2q4_monolithic_same_solver_reference,1184,0,0.9645928898418807,0.9819856387507753,0.9938021530040118,32
q2q4_monolithic_same_solver_reference,1184,4,0.9429019018515138,0.9761823689181988,0.9881941228750434,32
q2q4_monolithic_same_solver_reference,1184,20,0.9460135938540477,0.9763460728580331,0.9855246236161781,32
q2q4_monolithic_same_solver_reference,1184,39,0.9674558778933726,0.9839710536102946,0.9970839241007021,32
q2q4_monolithic_same_solver_reference,1216,0,0.964618281022845,0.9819940711203476,0.9938192985258889,32
q2q4_monolithic_same_solver_reference,1216,4,0.9432190316777113,0.9767029463521202,0.9883335858060756,32
q2q4_monolithic_same_solver_reference,1216,20,0.9471006354161613,0.9769361382742436,0.9855085576277297,32
q2q4_monolithic_same_solver_reference,1216,39,0.9683102398265532,0.984253956299328,0.9972245241484475,32
q2q4_monolithic_same_solver_reference,1248,0,0.9646465634339517,0.981992874900653,0.99390401490293,32
q2q4_monolithic_same_solver_reference,1248,4,0.9435036901567168,0.9769359018593327,0.9884318214006695,32
q2q4_monolithic_same_solver_reference,1248,20,0.9480306896029782,0.9776039569265116,0.9855192652302741,32
q2q4_monolithic_same_solver_reference,1248,39,0.9694485713895187,0.9845910763374279,0.9973028712190672,32
q2q4_monolithic_same_solver_reference,1280,0,0.9646566250376204,0.9819959379745171,0.9939516595304113,32
q2q4_monolithic_same_solver_reference,1280,4,0.9441566903947701,0.9774011537916769,0.9885444551990309,32
q2q4_monolithic_same_solver_reference,1280,20,0.9501067352123199,0.9781749909322465,0.9856143917783339,32
q2q4_monolithic_same_solver_reference,1280,39,0.9703557476405773,0.9848789713625645,0.9973504111236932,32
q2q4_monolithic_same_solver_reference,1312,0,0.9646501335217168,0.9819972767590576,0.9940033636364792,32
q2q4_monolithic_same_solver_reference,1312,4,0.9440690763704351,0.9776591152419558,0.9887520228565253,32
q2q4_monolithic_same_solver_reference,1312,20,0.9518162397108565,0.978906821942052,0.9856852250924474,32
q2q4_monolithic_same_solver_reference,1312,39,0.9712753128725328,0.9852586142360268,0.997426410055567,32
q2q4_monolithic_same_solver_reference,1344,0,0.9647068698141894,0.9819979720273804,0.994092471409783,32
q2q4_monolithic_same_solver_reference,1344,4,0.9439149641290934,0.978112796257478,0.9889657519167673,32
q2q4_monolithic_same_solver_reference,1344,20,0.9520835937949251,0.9793549607030101,0.9858628106145446,32
q2q4_monolithic_same_solver_reference,1344,39,0.9720452924642364,0.9853876035805436,0.9974511795710377,32
q2q4_monolithic_same_solver_reference,1376,0,0.9647028746169289,0.9820038731964067,0.9940899629994058,32
