layout_id,mean_budget_quanta_per_expert,gate_q3_or_above_mean,gate_q4_mean,up_q3_or_above_mean,up_q4_mean,down_q4_mean,selected_quanta_mean
q2q4_monolithic_same_solver_reference,1184,156.19140625,156.19140625,201.220703125,201.220703125,234.1884765625,1183.201171875
q2q4_monolithic_same_solver_reference,1216,160.908203125,160.908203125,206.7021484375,206.7021484375,239.7587890625,1214.73828125
q2q4_monolithic_same_solver_reference,1248,165.5732421875,165.5732421875,212.232421875,212.232421875,245.3232421875,1246.2578125
q2q4_monolithic_same_solver_reference,1280,170.3671875,170.3671875,217.701171875,217.701171875,250.6787109375,1277.494140625
q2q4_monolithic_same_solver_reference,1312,174.96875,174.96875,223.048828125,223.048828125,256.0048828125,1308.044921875
q2q4_monolithic_same_solver_reference,1344,179.4892578125,179.4892578125,228.3505859375,228.3505859375,261.1884765625,1338.056640625
q2q4_monolithic_same_solver_reference,1376,183.7431640625,183.7431640625,233.3505859375,233.3505859375,266.33203125,1366.8515625
q2q4_monolithic_same_solver_reference,1408,188.22265625,188.22265625,238.25,238.25,270.9658203125,1394.876953125
q2q4_monolithic_same_solver_reference,1440,192.2744140625,192.2744140625,242.8447265625,242.8447265625,275.634765625,1421.5078125
q2q4_monolithic_same_solver_reference,1472,196.4599609375,196.4599609375,247.41015625,247.41015625,279.96875,1447.677734375
q2q4_monolithic_same_solver_reference,1504,200.4072265625,200.4072265625,251.9873046875,251.9873046875,284.43359375,1473.65625
q2q4_monolithic_same_solver_reference,1506,200.6787109375,200.6787109375,252.2333984375,252.2333984375,284.7216796875,1475.267578125
q2q4_monolithic_same_solver_reference,1507,200.75,200.75,252.3837890625,252.3837890625,284.806640625,1475.880859375
q2q4_monolithic_same_solver_reference,1536,204.3828125,204.3828125,256.38671875,256.38671875,288.658203125,1498.85546875
q2q4_monolithic_same_solver_reference,1568,208.3828125,208.3828125,260.638671875,260.638671875,292.7412109375,1523.525390625
q2q4_monolithic_same_solver_reference,1600,212.275390625,212.275390625,264.94140625,264.94140625,296.751953125,1547.9375
q2q4_monolithic_same_solver_reference,1632,216.263671875,216.263671875,269.150390625,269.150390625,300.5205078125,1571.869140625
q2q4_monolithic_same_solver_reference,1664,220.171875,220.171875,273.2060546875,273.2060546875,304.68359375,1596.123046875
q3_ideal_logical_256_byte_plane_ceiling,384,69.12109375,30.8701171875,91.1123046875,26.93359375,82.59375,383.224609375
q3_ideal_logical_256_byte_plane_ceiling,416,73.9951171875,33.4814453125,97.8662109375,29.80078125,90.0322265625,415.2080078125
q3_ideal_logical_256_byte_plane_ceiling,448,78.662109375,36.1259765625,104.5908203125,32.7890625,97.5263671875,447.220703125
q3_ideal_logical_256_byte_plane_ceiling,480,83.43359375,38.8896484375,111.0556640625,35.7353515625,105.109375,479.3330078125
q3_ideal_logical_256_byte_plane_ceiling,512,88.2509765625,41.7783203125,117.65625,38.908203125,112.3564453125,511.306640625
q3_ideal_logical_256_byte_plane_ceiling,544,92.98046875,44.5302734375,123.9208984375,42.1240234375,119.8076171875,543.1708984375
q3_ideal_logical_256_byte_plane_ceiling,576,97.673828125,47.5419921875,130.3251953125,45.4658203125,127.1044921875,575.2158203125
q3_ideal_logical_256_byte_plane_ceiling,608,102.587890625,50.4775390625,136.822265625,48.986328125,134.203125,607.2802734375
q3_ideal_logical_256_byte_plane_ceiling,640,107.396484375,53.615234375,143.0302734375,52.6767578125,141.3203125,639.359375
q3_ideal_logical_256_byte_plane_ceiling,672,112.2919921875,56.7666015625,149.4013671875,56.44140625,148.2314453125,671.3642578125
q3_ideal_logical_256_byte_plane_ceiling,704,117.064453125,59.916015625,155.830078125,60.419921875,155.0537109375,703.337890625
q3_ideal_logical_256_byte_plane_ceiling,736,121.8330078125,62.9501953125,162.1875,64.220703125,162.1005859375,735.392578125
q3_ideal_logical_256_byte_plane_ceiling,768,126.5556640625,66.1640625,168.2294921875,68.2626953125,169.08203125,767.3759765625
q3_ideal_logical_256_byte_plane_ceiling,800,131.513671875,69.5849609375,174.146484375,72.4736328125,175.787109375,799.29296875
q3_ideal_logical_256_byte_plane_ceiling,832,136.04296875,72.8125,180.23828125,76.62109375,182.7548828125,831.224609375
q3_ideal_logical_256_byte_plane_ceiling,864,140.8544921875,76.2724609375,186.1044921875,80.8759765625,189.5458984375,863.19921875
q3_ideal_logical_256_byte_plane_ceiling,896,145.5673828125,79.8759765625,191.970703125,85.2705078125,196.21484375,895.1142578125
q3_ideal_logical_256_byte_plane_ceiling,928,150.4482421875,83.5517578125,197.693359375,89.779296875,202.84375,927.16015625
q3_ideal_logical_256_byte_plane_ceiling,960,155.064453125,87.173828125,203.2265625,94.3271484375,209.6396484375,959.0712890625
q3_ideal_logical_256_byte_plane_ceiling,992,159.78515625,91.0,209.0771484375,98.9560546875,216.1298828125,991.078125
q3_ideal_logical_256_byte_plane_ceiling,1024,164.8037109375,94.9052734375,214.7412109375,103.6533203125,222.53515625,1023.173828125
q3_ideal_logical_256_byte_plane_ceiling,1056,169.5810546875,98.8193359375,220.3369140625,108.7431640625,228.833984375,1055.1484375
q3_ideal_logical_256_byte_plane_ceiling,1088,174.486328125,102.857421875,226.0009765625,113.7861328125,234.9208984375,1086.97265625
q3_ideal_logical_256_byte_plane_ceiling,1120,179.61328125,107.060546875,231.486328125,118.8544921875,241.0791015625,1119.1728515625
q3_ideal_logical_256_byte_plane_ceiling,1152,184.5068359375,111.1533203125,237.2412109375,124.0048828125,247.169921875,1151.24609375
q3_ideal_logical_256_byte_plane_ceiling,1184,189.3583984375,115.443359375,242.55859375,129.4931640625,252.994140625,1182.841796875
q3_ideal_logical_256_byte_plane_ceiling,1216,194.443359375,119.822265625,248.037109375,134.87890625,258.6064453125,1214.39453125
q3_ideal_logical_256_byte_plane_ceiling,1248,199.3193359375,124.224609375,253.3369140625,140.3427734375,264.1806640625,1245.5849609375
q3_ideal_logical_256_byte_plane_ceiling,1280,204.095703125,128.55078125,258.583984375,145.6767578125,269.5654296875,1276.0380859375
q3_ideal_logical_256_byte_plane_ceiling,1312,208.7822265625,132.76171875,263.6845703125,150.6611328125,274.85546875,1305.6005859375
q3_ideal_logical_256_byte_plane_ceiling,1344,213.4521484375,136.953125,268.4287109375,155.8662109375,279.84765625,1334.3955078125
q3_ideal_logical_256_byte_plane_ceiling,1376,217.9384765625,141.12890625,273.11328125,160.8583984375,284.845703125,1362.73046875
q3_ideal_logical_256_byte_plane_ceiling,1408,222.349609375,145.1142578125,277.55859375,165.638671875,289.5751953125,1389.8115234375
q3_ideal_logical_256_byte_plane_ceiling,1440,226.66796875,148.9169921875,281.8916015625,170.2314453125,294.1357421875,1415.9794921875
