factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,selector_runtime_ms_median,selector_runtime_ms_p90,selector_compute_macs,selector_dp_state_evaluations,selector_coordinate_sweeps_median,selector_local_passes_median
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,576,1536,79911.27803176641,87311.76065513864,61645824,50315264,2854.0,400.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,768,61316.42843969166,67505.63249401748,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1152,61319.11248341203,67508.03465358913,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1536,61322.38477375358,67511.95404948667,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,576,576,61306.936249136925,67495.03938108683,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,749,1536,61327.907325699925,67517.3173875548,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_column_generated_local,749,1536,79051.73164699227,87191.3433585316,60414976,50315264,2850.0,396.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_global_bound,749,1536,81994.79881860316,90400.14279894531,60414976,50315264,2850.0,396.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,749,1536,61447.91602995247,67645.49801452085,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,749,768,77659.68147106469,85838.92739713192,57326592,50315264,2740.0,405.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,749,1152,78252.71479226649,86235.57521197945,60414976,50315264,2846.0,396.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,749,1536,78739.29027095437,86918.15409064293,60414976,50315264,2850.0,396.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,768,61316.71574246138,67506.09381245449,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1152,61322.281134314835,67509.706357494,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1536,61326.77439413965,67517.12775649503,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,749,749,61306.946413591504,67495.03403073177,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,768,1536,61327.08136085421,67515.91288205236,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_column_generated_local,768,1536,78900.38883406669,87016.8783842586,59196416,50315264,2850.0,395.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,768,1536,61453.55723425746,67618.10180284083,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,768,768,77270.73842473328,85467.89091313258,57244672,50315264,2705.0,406.5
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,768,1152,78127.72701773793,86187.38130126148,59196416,50315264,2844.0,395.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,768,1536,78624.21918287873,86741.22529253364,59196416,50315264,2850.0,395.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,768,768,61316.7539043352,67505.90414209291,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,768,1152,61322.50686362386,67510.03209426999,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,768,1536,61326.87269989401,67516.02323511615,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,768,768,61306.939989328384,67495.05381956697,51343360,50315264,2463.0,304.0
