layout_method,page_size,paired_planes,budget_bpw,recovery_count,recovery_mean,recovery_p10,recovery_p25,recovery_median,recovery_p75,recovery_p90,median_physical_bpw,median_logical_bpw,median_amplification
coselection_1rep,1024,True,2.0,12,0.999999999999612,0.9999999999994503,0.9999999999995265,0.9999999999995857,0.9999999999997313,0.9999999999998241,2.0,2.0,1.0
coselection_1rep,4096,False,0.25,12,0.48972378823800927,0.36461857438049616,0.4300651123112498,0.47755652150687145,0.5663759093708371,0.6328053097101958,0.25,0.25,1.0
coselection_1rep,4096,False,0.5,12,0.6746811858936462,0.5312303458144415,0.5667943548893646,0.7298475301058296,0.7648447281807673,0.7869240533270184,0.5,0.5,1.0
coselection_1rep,4096,False,0.75,12,0.7786704734764992,0.6447417610388618,0.6866608173085985,0.7967627390870895,0.8687217340318989,0.894722584927401,0.75,0.75,1.0
coselection_1rep,4096,False,1.0,12,0.847369331570533,0.7172466561078179,0.7607493596682311,0.8919353724639241,0.9196554163838284,0.9362445587993193,1.0,1.0,1.0
coselection_1rep,4096,False,1.25,12,0.8983645660329259,0.8154353090648606,0.8448310784079303,0.9321734368299683,0.9456930416738186,0.9662593213768159,1.25,1.25,1.0
coselection_1rep,4096,False,1.5,12,0.9418860677147296,0.897713035725007,0.9098001108445587,0.9617094917106712,0.9757607552067084,0.9863431514087335,1.5,1.5,1.0
coselection_1rep,4096,False,2.0,12,0.9999999999991728,0.9999999999986781,0.9999999999990637,0.999999999999271,0.9999999999995429,0.9999999999996675,2.0,2.0,1.0
coselection_1rep,4096,True,0.25,12,0.5108414319569944,0.36059382843350685,0.4064625868859081,0.5079857305100326,0.6325782060839817,0.6746157397031676,0.25,0.25,1.0
coselection_1rep,4096,True,0.5,12,0.6843279354245931,0.49027475819463123,0.5452119478846743,0.7534381760587854,0.7835619459653769,0.8328484385906875,0.5,0.5,1.0
coselection_1rep,4096,True,0.75,12,0.7700994101757607,0.5746489755334202,0.6551847897751132,0.8340827847797283,0.8628236365930859,0.903001485543911,0.75,0.75,1.0
coselection_1rep,4096,True,1.0,12,0.8495513407243195,0.6908367812338865,0.7642239444820793,0.8936855048154098,0.9168861433241423,0.9480611885379973,1.0,1.0,1.0
coselection_1rep,4096,True,1.25,12,0.9038657664076452,0.8051347593882253,0.8468335117393422,0.9316605165789789,0.9515384582754188,0.9682633195972127,1.25,1.25,1.0
coselection_1rep,4096,True,1.5,12,0.9486638531694616,0.8889883754132158,0.9295231829582443,0.9619640661666965,0.981198872831109,0.9874037920055007,1.5,1.5,1.0
coselection_1rep,4096,True,2.0,12,0.999999999999612,0.9999999999994503,0.9999999999995265,0.9999999999995857,0.9999999999997313,0.9999999999998241,2.0,2.0,1.0
coselection_h0_2rep,512,False,0.25,12,0.5859127009947985,0.4225636632605964,0.5110114931093579,0.5923669256344035,0.6941090030663374,0.739643602811072,0.25,0.25,1.0
coselection_h0_2rep,512,False,0.5,12,0.7502074517841861,0.6132571633921614,0.7047334324046898,0.7327343681215702,0.8330918055269636,0.8899281586014223,0.5,0.5,1.0
coselection_h0_2rep,512,False,0.75,12,0.8526976078677592,0.7342458486416239,0.8265260177003675,0.8588186863048457,0.8971187412292985,0.9398460774929661,0.75,0.75,1.0
coselection_h0_2rep,512,False,1.0,12,0.9065779456874187,0.8403585030136175,0.8818051083502176,0.9229579348489743,0.9445217517408769,0.9677366748409527,1.0,1.0,1.0
coselection_h0_2rep,512,False,1.25,12,0.9503894377235614,0.9097839835023613,0.9406794369991789,0.9579103067933484,0.9759317717788123,0.9827424604806658,1.25,1.25,1.0
