method,aggregate,budget_bpw,count,mean,p10,p25,median,p75,p90,fraction_ge_80,fraction_ge_90,fraction_ge_95,fraction_ge_99,median_ci_low,median_ci_high
dense,layer0,1.0,13,0.7101305493941674,0.6685704231262207,0.6891491413116455,0.6990786790847778,0.7385709285736084,0.7725786447525025,0.07692307692307693,0.0,0.0,0.0,0.6967467069625854,0.712604284286499
dense,layer0,1.3333333333333333,13,0.8189983551318829,0.7712869286537171,0.7942443490028381,0.8207181096076965,0.8474565148353577,0.8621113181114197,0.6923076923076923,0.0,0.0,0.0,0.8042501509189606,0.8402594923973083
dense,layer0,1.6666666666666667,13,0.9341281193953294,0.8978055000305176,0.9100231528282166,0.9398518800735474,0.9509491920471191,0.9629265427589416,1.0,0.8461538461538461,0.38461538461538464,0.0,0.902570903301239,0.9504814743995667
dense,layer0,2.0,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
selective,all_four,0.25,85,0.572387446047112,0.41450668734396867,0.4522470418944333,0.5551644269137275,0.6600584114126125,0.7438507150920248,0.047058823529411764,0.011764705882352941,0.011764705882352941,0.0,0.5402328017885135,0.5989586058925114
selective,all_four,0.5,85,0.7354393783901776,0.6113858589873253,0.6463832920623376,0.7345021409987296,0.8149887965154202,0.8633134502140795,0.29411764705882354,0.047058823529411764,0.011764705882352941,0.0,0.7294696724279397,0.7541194674610718
selective,all_four,0.75,85,0.8331293446654725,0.7282392435250443,0.786095757505612,0.8352701711325144,0.883117264398598,0.922865145823562,0.6588235294117647,0.2,0.03529411764705882,0.0,0.8248360719265779,0.8481683354492322
selective,all_four,1.0,85,0.9000432151121744,0.8347538873936728,0.8683781739818148,0.8961340890957872,0.9418258874977945,0.9600891604890577,0.9764705882352941,0.4823529411764706,0.17647058823529413,0.0,0.8955428879299532,0.9101285546148982
selective,all_four,1.25,85,0.9440688365125742,0.9045498865046443,0.9232235014497792,0.9451903410084735,0.9693159970846063,0.9805423856057601,1.0,0.9294117647058824,0.4470588235294118,0.023529411764705882,0.9447773479025383,0.9494618126065058
selective,all_four,1.5,85,0.9736067497617555,0.9533521660169545,0.9616525866899085,0.9731721689557277,0.9877496530677091,0.9944947571326926,1.0,1.0,0.9411764705882353,0.18823529411764706,0.968595648338062,0.9756091752594358
selective,all_four,2.0,85,0.999999999999195,0.9999999999985827,0.9999999999990336,0.9999999999993602,0.9999999999995932,0.9999999999997125,1.0,1.0,1.0,1.0,0.9999999999992819,0.9999999999993783
selective,difficult_4_20_39,0.25,72,0.5582696931342639,0.4101252228763959,0.4409335268429274,0.5402328017885135,0.6368065091623921,0.7411412278675833,0.05555555555555555,0.013888888888888888,0.013888888888888888,0.0,0.5309640604225184,0.5507063141669989
selective,difficult_4_20_39,0.5,72,0.7245963702071064,0.6061284922261176,0.6418486254751288,0.72539390888893,0.791008520419587,0.8604841606308393,0.2222222222222222,0.05555555555555555,0.013888888888888888,0.0,0.7240325233364344,0.7343984780776436
selective,difficult_4_20_39,0.75,72,0.8239998721752015,0.7266618324996704,0.77670745000631,0.8200748864976727,0.8757748615691254,0.9213542219840328,0.6111111111111112,0.1388888888888889,0.041666666666666664,0.0,0.8055177038787293,0.8450128612706668
selective,difficult_4_20_39,1.0,72,0.8932269927193575,0.8333648940212325,0.8620301391678533,0.8934993429800473,0.9278391668270385,0.9535276814689093,0.9722222222222222,0.4166666666666667,0.125,0.0,0.8907718612806741,0.8960449946594617
selective,difficult_4_20_39,1.25,72,0.9392237383324209,0.9041461699661582,0.9205694298667292,0.9428615387207763,0.956658746201404,0.9726630965962519,1.0,0.9166666666666666,0.375,0.027777777777777776,0.9419520337403482,0.9435759231386251
selective,difficult_4_20_39,1.5,72,0.9702735875885848,0.9527207140362426,0.9587554080270119,0.9698135931735583,0.9822033435374264,0.98850798498988,1.0,1.0,0.9305555555555556,0.06944444444444445,0.9676329890535343,0.9722373033627933
selective,difficult_4_20_39,2.0,72,0.9999999999991768,0.9999999999985513,0.9999999999989936,0.9999999999993335,0.9999999999995757,0.999999999999713,1.0,1.0,1.0,1.0,0.9999999999992364,0.9999999999993783
selective,layer0,0.25,13,0.6505780775644247,0.513994282034905,0.5914159114932773,0.6525074129111583,0.7302628301786446,0.7636993489511443,0.0,0.0,0.0,0.0,0.5914159114932773,0.7024688710132099
selective,layer0,0.5,13,0.7954929621733411,0.6781511629239239,0.779742566184131,0.8194494023461678,0.830629721987889,0.8653621401926708,0.6923076923076923,0.0,0.0,0.0,0.8151615509984833,0.8235917556533827
selective,layer0,0.75,13,0.8836925769192798,0.8211657043422397,0.8660494940615628,0.9004534721527795,0.9076423547307997,0.9238275172614452,0.9230769230769231,0.5384615384615384,0.0,0.0,0.8985005131088375,0.9004534721527795
selective,layer0,1.0,13,0.9377946006723918,0.892994103867345,0.9242028625251844,0.9479054102439478,0.9554539818702845,0.9661191155340076,1.0,0.8461538461538461,0.46153846153846156,0.0,0.9418258874977945,0.9542668490440228
selective,layer0,1.25,13,0.9709032264334229,0.9517226130160453,0.9674853733371347,0.9740521445799286,0.9808012483341201,0.9824041435428778,1.0,1.0,0.8461538461538461,0.0,0.9736406043502233,0.9774233278319837
selective,layer0,1.5,13,0.9920673402593156,0.9878701964239659,0.9929167837034452,0.9943207869217122,0.995444352222742,0.9961527712359399,1.0,1.0,1.0,0.8461538461538461,0.9931148936998712,0.9958642017085532
selective,layer0,2.0,13,0.9999999999992965,0.9999999999987746,0.9999999999992168,0.9999999999994776,0.9999999999996766,0.999999999999695,1.0,1.0,1.0,1.0,0.9999999999990847,0.9999999999996766
