source_run_mode,capture_source,evaluation_split,projection,selection_category,selection_regime,score_method,shortlist_size,refresh_block,physical_budget_bpw,n,p10_exact_gain_retained_matched_fetched_pages,median_exact_gain_retained_matched_fetched_pages,p90_exact_gain_retained_matched_fetched_pages,median_planned_prefix_exact_gain_retained,median_action_recall,median_importance_weighted_recall,median_candidate_pages,median_fetched_pages,p10_candidate_overfetch,median_candidate_overfetch,p90_candidate_overfetch,max_candidate_overfetch,median_runtime_ms,median_selector_bytes
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,1024,1,0.5,55,0.0,0.0,0.7970702384684863,0.8584968950346364,0.5983333333333334,0.9590120373553866,481.0,481.0,3.7140625,3.7578125,3.8015625,3.875,366.86103232204914,75505664.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,1024,1,0.75,55,0.0,0.0,0.7970702384684863,0.8496668547438473,0.5819148936170213,0.9522763234600661,481.0,481.0,2.4760416666666667,2.5052083333333335,2.5343750000000003,2.5833333333333335,366.86103232204914,75505664.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,1024,1,1.0,55,0.0,0.0,0.7970702384684863,0.8651812223054891,0.5535714285714286,0.9425308351203705,481.0,481.0,1.85703125,1.87890625,1.90078125,1.9375,366.86103232204914,75505664.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,64,1,0.25,55,0.1467989856817025,0.38403778609734407,0.5512216091255787,0.826785655903286,0.11960132890365449,0.4420643930360929,61.0,61.0,0.921875,0.953125,0.984375,1.0,81.01901691406965,77602816.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,64,1,0.5,55,0.1467989856817025,0.38403778609734407,0.5512216091255787,0.6028824699506913,0.07934131736526946,0.36947868105257187,61.0,61.0,0.4609375,0.4765625,0.4921875,0.5,81.01901691406965,77602816.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,64,1,0.75,55,0.1467989856817025,0.38403778609734407,0.5512216091255787,0.520197045130978,0.06111111111111111,0.32872141272898064,61.0,61.0,0.3072916666666667,0.3177083333333333,0.328125,0.3333333333333333,81.01901691406965,77602816.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,64,1,1.0,55,0.1467989856817025,0.38403778609734407,0.5512216091255787,0.4866214402982422,0.04739336492890995,0.31015662538334854,61.0,61.0,0.23046875,0.23828125,0.24609375,0.25,81.01901691406965,77602816.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,128,1,0.25,55,0.3455214291993224,0.5474787498977569,0.7090510650682673,0.9634743231884224,0.199438202247191,0.5696207406451561,116.0,116.0,1.765625,1.8125,1.884375,1.953125,162.67037531360984,77602816.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,128,1,0.5,55,0.3455214291993224,0.5474787498977569,0.7090510650682673,0.8674238657812713,0.14361702127659576,0.4731324509787085,116.0,116.0,0.8828125,0.90625,0.9421875,0.9765625,162.67037531360984,77602816.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,128,1,0.75,55,0.3455214291993224,0.5474787498977569,0.7090510650682673,0.7563299089145218,0.11068702290076336,0.43199982611053844,116.0,116.0,0.5885416666666666,0.6041666666666666,0.628125,0.6510416666666666,162.67037531360984,77602816.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,128,1,1.0,55,0.3455214291993224,0.5474787498977569,0.7090510650682673,0.7057658386103595,0.09065934065934066,0.4100697026491947,116.0,116.0,0.44140625,0.453125,0.47109375,0.48828125,162.67037531360984,77602816.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,256,1,0.25,55,0.5249884384614194,0.6715844567100117,0.7996309830818866,0.974431748678837,0.3076923076923077,0.743180701395353,212.0,212.0,3.21875,3.3125,3.390625,3.515625,222.90339274331927,77602816.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,256,1,0.5,55,0.5249884384614194,0.6715844567100117,0.7996309830818866,0.9688923382897671,0.24019607843137256,0.6605799348324685,212.0,212.0,1.609375,1.65625,1.6953125,1.7578125,222.90339274331927,77602816.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,256,1,0.75,55,0.5249884384614194,0.6715844567100117,0.7996309830818866,0.9581278873424319,0.2,0.5948406114870651,212.0,212.0,1.0729166666666667,1.1041666666666667,1.1302083333333333,1.171875,222.90339274331927,77602816.0
pilot,exact_checkpoint,validation,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,256,1,1.0,55,0.5249884384614194,0.6715844567100117,0.7996309830818866,0.911904127399342,0.17206132879045996,0.5685384715056557,212.0,212.0,0.8046875,0.828125,0.84765625,0.87890625,222.90339274331927,77602816.0
