source_run_mode,capture_source,evaluation_split,layer,projection,selection_category,selection_regime,score_method,shortlist_size,refresh_block,physical_budget_bpw,n,p10_exact_gain_retained_matched_fetched_pages,median_exact_gain_retained_matched_fetched_pages,p90_exact_gain_retained_matched_fetched_pages,median_fetched_pages,median_logical_actions,median_logical_bytes,p90_candidate_overfetch
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,768,1,0.5,1,0.9150702585055275,0.9150702585055275,0.9150702585055275,441.0,1459.0,93376.0,3.4453125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,768,1,0.75,1,0.9150702585055275,0.9150702585055275,0.9150702585055275,441.0,1459.0,93376.0,2.296875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,768,1,1.0,1,0.9150702585055275,0.9150702585055275,0.9150702585055275,441.0,1459.0,93376.0,1.72265625
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,1024,1,0.25,1,0.8919396658001029,0.8919396658001029,0.8919396658001029,480.0,1369.0,87616.0,7.5
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,1024,1,0.5,1,0.8919396658001029,0.8919396658001029,0.8919396658001029,480.0,1369.0,87616.0,3.75
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,1024,1,0.75,1,0.8919396658001029,0.8919396658001029,0.8919396658001029,480.0,1369.0,87616.0,2.5
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,1024,1,1.0,1,0.8919396658001029,0.8919396658001029,0.8919396658001029,480.0,1369.0,87616.0,1.875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,64,1,0.25,1,0.5614066139361814,0.5614066139361814,0.5614066139361814,61.0,260.0,16640.0,0.953125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,64,1,0.5,1,0.5614066139361814,0.5614066139361814,0.5614066139361814,61.0,260.0,16640.0,0.4765625
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,64,1,0.75,1,0.5614066139361814,0.5614066139361814,0.5614066139361814,61.0,260.0,16640.0,0.3177083333333333
