layout_id,allocation_policy,mean_budget_quanta_per_expert,average_allowed_total_bpw,average_actual_total_bpw_mean,groups,recovery_p10,recovery_median,recovery_p90,recovery_mean,remaining_damage_median,baseline_recovery_p10,baseline_recovery_median,p10_remaining_damage_ratio_vs_baseline_same_budget,median_remaining_damage_ratio_vs_baseline_same_budget
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,992,0.6641031901041666,0.6635729471842449,128,0.982592491577194,0.9949085629006087,0.9996376190543919,0.992462507082036,0.005091437099391305,0.982592491577194,0.9949085629006087,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1024,0.6849365234375,0.684412638346354,128,0.9840894431845925,0.9953291756854523,0.9997030346781122,0.9930753848801556,0.0046708243145476835,0.9840894431845925,0.9953291756854523,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1056,0.7057698567708334,0.7051226298014324,128,0.985520922325019,0.9956371651526087,0.9997580712242861,0.9936510958696021,0.004362834847391306,0.985520922325019,0.9956371651526087,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1088,0.7266031901041666,0.72601318359375,128,0.9866113934508386,0.9960236684863589,0.9998056504102558,0.9941839832937001,0.003976331513641074,0.9866113934508386,0.9960236684863589,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1120,0.7474365234375,0.7468605041503906,128,0.988025642949616,0.9963364664187244,0.9998495989760716,0.9946632957723309,0.00366353358127558,0.988025642949616,0.9963364664187244,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1152,0.7682698567708334,0.7677497863769531,128,0.9890790947378284,0.9967386429246257,0.999882571566124,0.9951314635764992,0.003261357075374338,0.9890790947378284,0.9967386429246257,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1184,0.7891031901041666,0.7885793050130208,128,0.9900536552747075,0.9970126286801291,0.9999044115639405,0.9955646041057687,0.002987371319870924,0.9900536552747075,0.9970126286801291,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1216,0.8099365234375,0.8094724019368489,128,0.9911037482657279,0.9973092360919202,0.9999213181393514,0.9959717917301827,0.002690763908079763,0.9911037482657279,0.9973092360919202,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1248,0.8307698567708334,0.83026123046875,128,0.991825000594535,0.9975063649344348,0.999937884711327,0.9963398895555085,0.002493635065565214,0.991825000594535,0.9975063649344348,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1280,0.8516031901041666,0.8510856628417969,128,0.9925241684692142,0.9977877550250037,0.999950983596387,0.9966729106468736,0.0022122449749962803,0.9925241684692142,0.9977877550250037,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1284,0.8542073567708334,0.8535957336425781,128,0.9926043528467,0.9978155095673121,0.9999518518067406,0.9967150410340395,0.002184490432687869,0.9926043528467,0.9978155095673121,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1288,0.8568115234375,0.8563270568847656,128,0.9927016072816502,0.9978325837981643,0.9999532591309068,0.9967538803337515,0.0021674162018356924,0.9927016072816502,0.9978325837981643,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1292,0.8594156901041666,0.8588587443033854,128,0.9928064301781467,0.9978764076024988,0.999954463491758,0.9967916726172594,0.0021235923975011506,0.9928064301781467,0.9978764076024988,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1296,0.8620198567708334,0.8614654541015625,128,0.9928337993215803,0.9979044947850816,0.9999567026834962,0.9968296567417025,0.002095505214918414,0.9928337993215803,0.9979044947850816,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1300,0.8646240234375,0.8641014099121095,128,0.992952772521741,0.997928417935019,0.9999576411495554,0.9968683277396408,0.002071582064981037,0.992952772521741,0.997928417935019,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1304,0.8672281901041666,0.8667221069335938,128,0.9929844363743449,0.9979399220512112,0.9999581653649671,0.9969020746433692,0.0020600779487888188,0.9929844363743449,0.9979399220512112,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1308,0.8698323567708334,0.8692614237467449,128,0.9931007579331302,0.9979669734359441,0.9999597928557881,0.9969401734254387,0.0020330265640559064,0.9931007579331302,0.9979669734359441,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1312,0.8724365234375,0.871911366780599,128,0.9931884721246713,0.9979854049207375,0.9999609960495683,0.9969771328121093,0.0020145950792624934,0.9931884721246713,0.9979854049207375,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1316,0.8750406901041666,0.8745574951171875,128,0.9932677852303445,0.997998603705147,0.9999619239988541,0.9970152903158385,0.002001396294852964,0.9932677852303445,0.997998603705147,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1320,0.8776448567708334,0.8770472208658854,128,0.9932883960957444,0.9980208828670466,0.9999633221568098,0.9970448772196578,0.0019791171329534007,0.9932883960957444,0.9980208828670466,1.0,1.0
q2q4_monolithic_same_solver_reference,pooled_exact_combined_moe_local_control,1324,0.8802490234375,0.8796768188476562,128,0.9933752558641852,0.9980641424049415,0.9999644132753379,0.9970831969547972,0.0019358575950585433,0.9933752558641852,0.9980641424049415,1.0,1.0
