layout_id,mean_budget_quanta_per_expert,layer,recovery_p10,recovery_median,recovery_p90,groups
q2q4_monolithic_same_solver_reference,1328,0,0.9997292761291522,0.9999555491575398,0.9999863275013618,32
q2q4_monolithic_same_solver_reference,1328,4,0.994122719068533,0.9970362868271537,0.9988966834321018,32
q2q4_monolithic_same_solver_reference,1328,20,0.9899085651305142,0.994536258727727,0.9988499832697131,32
q2q4_monolithic_same_solver_reference,1328,39,0.9937220546731247,0.9977461302078842,0.9993761524326922,32
q2q4_monolithic_same_solver_reference,1332,0,0.9997465020845121,0.9999580348592974,0.9999865829011968,32
q2q4_monolithic_same_solver_reference,1332,4,0.9941203275527934,0.9970783536270169,0.9989033731046553,32
q2q4_monolithic_same_solver_reference,1332,20,0.9899696124660158,0.99469254825188,0.99886298828192,32
q2q4_monolithic_same_solver_reference,1332,39,0.9937027357263684,0.9977596387138248,0.9993822392448856,32
q2q4_monolithic_same_solver_reference,1336,0,0.9997521397616638,0.9999571313409785,0.9999868836563022,32
q2q4_monolithic_same_solver_reference,1336,4,0.994234425805554,0.9971247452122978,0.9989541048097372,32
q2q4_monolithic_same_solver_reference,1336,20,0.9902207287993633,0.9947159867658228,0.9988736310604017,32
q2q4_monolithic_same_solver_reference,1336,39,0.9939341597235486,0.9977898308750788,0.9993956589780628,32
q2q4_monolithic_same_solver_reference,1340,0,0.9997546880882652,0.9999604695735553,0.9999863408177809,32
q2q4_monolithic_same_solver_reference,1340,4,0.994320340529257,0.9971265718498876,0.9989328089989499,32
q2q4_monolithic_same_solver_reference,1340,20,0.9904036532115955,0.9946186967655506,0.998887910903689,32
q2q4_monolithic_same_solver_reference,1340,39,0.9938684508129969,0.9978085429321968,0.9994044387187432,32
q2q4_monolithic_same_solver_reference,1344,0,0.9997578842596117,0.9999617014876033,0.9999877445405317,32
q2q4_monolithic_same_solver_reference,1344,4,0.9943594066047798,0.9972069036397591,0.9989467083456902,32
q2q4_monolithic_same_solver_reference,1344,20,0.9905230497346973,0.994784381746734,0.9989036758830843,32
q2q4_monolithic_same_solver_reference,1344,39,0.994046130637348,0.9978227151636294,0.9994095031010469,32
q2q4_monolithic_same_solver_reference,1348,0,0.9997642334811321,0.9999650978018573,0.9999898123399166,32
q2q4_monolithic_same_solver_reference,1348,4,0.9943366042501843,0.9972011128280115,0.9989779473227842,32
q2q4_monolithic_same_solver_reference,1348,20,0.9905489419851313,0.994863912476141,0.998912081362023,32
