layout_id,mean_budget_quanta_per_expert,gate_q3_or_above_mean,gate_q4_mean,up_q3_or_above_mean,up_q4_mean,down_q4_mean,selected_quanta_mean
q2q4_monolithic_same_solver_reference,1452,193.4140625,193.4140625,246.0654296875,246.0654296875,286.3154296875,1451.58984375
q2q4_monolithic_same_solver_reference,1456,194.095703125,194.095703125,246.6953125,246.6953125,286.9921875,1455.56640625
q2q4_monolithic_same_solver_reference,1460,194.6826171875,194.6826171875,247.392578125,247.392578125,287.7421875,1459.634765625
q2q4_monolithic_same_solver_reference,1464,195.34765625,195.34765625,248.1474609375,248.1474609375,288.2607421875,1463.51171875
q2q4_monolithic_same_solver_reference,1468,195.95703125,195.95703125,248.7822265625,248.7822265625,289.01953125,1467.517578125
q2q4_monolithic_same_solver_reference,1472,196.544921875,196.544921875,249.484375,249.484375,289.7119140625,1471.482421875
q2q4_monolithic_same_solver_reference,1476,197.1611328125,197.1611328125,250.13671875,250.13671875,290.4619140625,1475.51953125
q2q4_monolithic_same_solver_reference,1480,197.708984375,197.708984375,250.841796875,250.841796875,291.193359375,1479.48828125
q2q4_monolithic_same_solver_reference,1484,198.376953125,198.376953125,251.6181640625,251.6181640625,291.7744140625,1483.5390625
q2q4_monolithic_same_solver_reference,1488,198.9599609375,198.9599609375,252.3115234375,252.3115234375,292.5048828125,1487.552734375
q2q4_monolithic_same_solver_reference,1492,199.712890625,199.712890625,252.91796875,252.91796875,293.1591796875,1491.580078125
q2q4_monolithic_same_solver_reference,1496,200.21875,200.21875,253.7119140625,253.7119140625,293.8017578125,1495.46484375
q2q4_monolithic_same_solver_reference,1500,200.7607421875,200.7607421875,254.4013671875,254.4013671875,294.587890625,1499.5
q2q4_monolithic_same_solver_reference,1504,201.369140625,201.369140625,255.0712890625,255.0712890625,295.3017578125,1503.484375
q2q4_monolithic_same_solver_reference,1506,201.7646484375,201.7646484375,255.4462890625,255.4462890625,295.5244140625,1505.470703125
q2q4_monolithic_same_solver_reference,1507,201.9091796875,201.9091796875,255.62109375,255.62109375,295.708984375,1506.478515625
q2q4_monolithic_same_solver_reference,1508,202.1591796875,202.1591796875,255.7001953125,255.7001953125,295.9375,1507.59375
q2q4_monolithic_same_solver_reference,1512,202.7724609375,202.7724609375,256.48828125,256.48828125,296.4814453125,1511.484375
q2q4_monolithic_same_solver_reference,1516,203.2919921875,203.2919921875,257.1533203125,257.1533203125,297.23046875,1515.3515625
q2q4_monolithic_same_solver_reference,1520,204.0185546875,204.0185546875,257.80078125,257.80078125,297.9521484375,1519.54296875
q2q4_monolithic_same_solver_reference,1524,204.5986328125,204.5986328125,258.4482421875,258.4482421875,298.6806640625,1523.455078125
q2q4_monolithic_same_solver_reference,1528,205.2607421875,205.2607421875,259.1875,259.1875,299.259765625,1527.416015625
q2q4_monolithic_same_solver_reference,1532,205.779296875,205.779296875,259.94921875,259.94921875,300.0263671875,1531.509765625
q2q4_monolithic_same_solver_reference,1536,206.42578125,206.42578125,260.6171875,260.6171875,300.7177734375,1535.521484375
q2q4_monolithic_same_solver_reference,1568,211.50390625,211.50390625,266.1923828125,266.1923828125,305.9765625,1567.345703125
q2q4_monolithic_same_solver_reference,1600,216.6865234375,216.6865234375,271.6494140625,271.6494140625,311.375,1599.421875
q2q4_monolithic_same_solver_reference,1632,221.9677734375,221.9677734375,277.1865234375,277.1865234375,316.4267578125,1631.162109375
q2q4_monolithic_same_solver_reference,1664,227.1982421875,227.1982421875,282.828125,282.828125,321.5341796875,1663.12109375
q3_ideal_logical_256_byte_plane_ceiling,384,66.810546875,31.2080078125,87.1259765625,27.138671875,85.5576171875,383.3984375
q3_ideal_logical_256_byte_plane_ceiling,416,71.189453125,33.6142578125,93.5302734375,29.8017578125,93.6416015625,415.4189453125
q3_ideal_logical_256_byte_plane_ceiling,448,75.8330078125,36.140625,100.2060546875,32.5927734375,101.3232421875,447.4189453125
