candidate,design,split,level,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_relative_error,median_relative_error,p90_relative_error,p10_damage,mean_damage,median_damage,p90_damage
B16_g32_expert_functional,B,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_expert_functional,B,validation,2,135,-0.014682502366712978,0.288670072948357,0.6484518022687588,0.40271154046058655,0.48089492321014404,0.5591238617897034,0.04767357856035233,6.355316126394879,0.2199508398771286,20.486919784545925
B16_g32_expert_functional,B,validation,3,135,0.6331855056084846,0.7928269431805298,0.9068923468413573,0.21619429290294648,0.2720220386981964,0.3128774583339691,0.01314891465008259,1.4514773651267643,0.0730162113904953,4.7389730453491214
B16_g32_expert_functional,B,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_activation,B,test,2,152,-0.07328600012385814,0.33318412715527446,0.655335515642237,0.4052152305841446,0.48227448761463165,0.5632167637348175,0.0377211481332779,5.111538552715884,0.23350784182548523,16.866521072387705
B16_g32_global_activation,B,test,3,152,0.5880600658726883,0.7683522434928092,0.8725601724203154,0.23621664047241211,0.27692389488220215,0.3284232258796692,0.012707391194999218,1.659272882762659,0.09217417240142822,5.82745442390442
B16_g32_global_activation,B,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_activation,B,train,2,258,-0.06463028787009238,0.2978726877047323,0.6708340503853841,0.37636996805667877,0.4677780866622925,0.5543888509273529,0.04438694715499878,5.517849890320281,0.2323755919933319,20.315817070007334
B16_g32_global_activation,B,train,3,258,0.5660656047560549,0.7726612636431389,0.877896664084531,0.2202879950404167,0.2733706682920456,0.32396023273468016,0.015366193000227214,1.5828132249862534,0.09104489162564278,5.831978273391724
B16_g32_global_activation,B,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_activation,B,validation,2,135,-0.1328849891820183,0.24519359754591574,0.6070930010169343,0.40963690876960757,0.4956705868244171,0.5576537251472473,0.04917294904589653,6.959296473819348,0.23747922480106354,23.19267807006836
B16_g32_global_activation,B,validation,3,135,0.6221659135430762,0.7683130889275236,0.8754285050658297,0.23540021181106568,0.2809198796749115,0.32318166494369505,0.015289136394858361,1.5669236280299998,0.08272949606180191,5.531536006927491
B16_g32_global_activation,B,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional,B,test,2,152,-0.08503094933964338,0.2992956647501458,0.6272655118735864,0.3997473746538162,0.48975323140621185,0.5678643703460693,0.039727707207202916,5.00186575244573,0.23671158403158188,17.87890701293947
B16_g32_global_functional,B,test,3,152,0.5998020197428664,0.7685973710376959,0.8862874860083944,0.23444842845201494,0.28167058527469635,0.3293844312429428,0.01312109986320138,1.5852768639329282,0.093094103038311,6.212204408645632
B16_g32_global_functional,B,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional,B,train,2,258,-0.08305189496242822,0.2837017786649613,0.6668409072761463,0.372610604763031,0.46580031514167786,0.554822587966919,0.047453854978084575,5.182838902675164,0.25607438385486603,18.659809494018567
B16_g32_global_functional,B,train,3,258,0.5637157734843944,0.7632512837718903,0.8797697276513493,0.2202635109424591,0.2755543291568756,0.3218648761510849,0.0161701075732708,1.4303831986978275,0.09657077491283417,5.061910104751587
B16_g32_global_functional,B,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional,B,validation,2,135,-0.10774125960123686,0.2099349463843282,0.6151530072882352,0.41052846908569335,0.4983081817626953,0.5637642860412598,0.054088281095027925,6.444574105104914,0.2485402673482895,18.77988319396975
B16_g32_global_functional,B,validation,3,135,0.5997116282208562,0.7669889167038282,0.8673581071993097,0.23536948561668397,0.28740179538726807,0.32645375132560733,0.01630706824362278,1.5821427162564188,0.08156684041023254,5.44856119155884
B16_g32_global_functional,B,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p0,B,test,2,152,-0.1059386261806363,0.2645043423736775,0.6306253205792,0.3985553026199341,0.4814992845058441,0.5710798859596252,0.04218245148658752,5.439648158149794,0.23139690607786179,19.87294731140138
B16_g32_global_functional_eps_0p0,B,test,3,152,0.6067076975518135,0.7590814598344665,0.8717641904204568,0.234698149561882,0.2831394821405411,0.32793042659759525,0.013492426928132774,1.5302204257153023,0.08219350874423981,5.466559410095216
B16_g32_global_functional_eps_0p0,B,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
