candidate,design,level,stratification,stratum,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_relative_error,median_relative_error,p90_relative_error,summed_damage
B16_g32_global_functional_eps_0p02,B,3,layer,0,33,0.6096282736075618,0.7618851709330396,0.8554759433802854,0.23656319081783295,0.2559155821800232,0.29126824140548707,0.5220885202288628
B16_g32_global_functional_eps_0p02,B,3,layer,4,41,0.5872999583102536,0.7447753465150958,0.8674745925073621,0.26135939359664917,0.29113584756851196,0.3289962112903595,5.746454056352377
B16_g32_global_functional_eps_0p02,B,3,layer,20,39,0.7162272543950502,0.8246807157325168,0.88991497155238,0.25806570053100586,0.29745566844940186,0.33934035897254944,2.7008296055719256
B16_g32_global_functional_eps_0p02,B,3,layer,39,39,0.5354350123713357,0.7712459659291291,0.8739182260589521,0.2147068500518799,0.24739092588424683,0.2839345455169678,233.3101658821106
B16_g32_global_functional_eps_0p02,B,4,layer,0,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p02,B,4,layer,4,41,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p02,B,4,layer,20,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p02,B,4,layer,39,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p05,B,2,layer,0,33,-0.18246342604883392,0.3604895644670384,0.48863494671062224,0.4289199411869049,0.47248467803001404,0.5062319159507751,1.671798779629171
B16_g32_global_functional_eps_0p05,B,2,layer,4,41,-0.21091193636664185,0.16839019740015426,0.4336827537432787,0.46508485078811646,0.5043808817863464,0.550646185874939,18.72594716399908
B16_g32_global_functional_eps_0p05,B,2,layer,20,39,0.20772860870328116,0.5035015000857934,0.7432113180632444,0.3696815729141235,0.549903392791748,0.6156555652618408,7.149167951196432
B16_g32_global_functional_eps_0p05,B,2,layer,39,39,-0.06777461649283233,0.29058519364403,0.5225917239418221,0.3875355958938599,0.4329344928264618,0.5070520520210267,758.9825201034546
B16_g32_global_functional_eps_0p05,B,3,layer,0,33,0.6036884599168568,0.7809776080400046,0.8488249578317869,0.23321548402309417,0.25790029764175415,0.287541264295578,0.5163928838446736
B16_g32_global_functional_eps_0p05,B,3,layer,4,41,0.5311467687025684,0.7668322131197575,0.8562606600220479,0.261915385723114,0.28431305289268494,0.32489001750946045,5.765974018722773
B16_g32_global_functional_eps_0p05,B,3,layer,20,39,0.7503404272553522,0.8450719321810918,0.9009598788324336,0.2508299291133881,0.2866065502166748,0.3397550880908966,2.4940719343721867
B16_g32_global_functional_eps_0p05,B,3,layer,39,39,0.6250968343230892,0.7948683937917572,0.886798246065217,0.21442707479000092,0.24280153214931488,0.2797120273113251,198.22384893894196
B16_g32_global_functional_eps_0p05,B,4,layer,0,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p05,B,4,layer,4,41,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p05,B,4,layer,20,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_global_functional_eps_0p05,B,4,layer,39,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_global_weight,B,2,layer,0,33,-0.3290919017925589,0.10328717862027637,0.3774335217744839,0.47106820344924927,0.49994561076164246,0.5427231073379517,2.0367798395454884
B16_g32_global_weight,B,2,layer,4,41,-0.09563385620152776,0.16499063181992624,0.35194047732372935,0.48296862840652466,0.5087205767631531,0.5591825246810913,19.84734033793211
B16_g32_global_weight,B,2,layer,20,39,-0.3527523871911484,0.06352237824041096,0.4960546176961944,0.5948895692825318,0.7136253714561462,0.804065203666687,11.084807239472866
B16_g32_global_weight,B,2,layer,39,39,-0.179790779466854,0.1805555073200158,0.40885323112019256,0.4131340265274048,0.44847938418388367,0.5013060331344604,990.0396630764008
B16_g32_global_weight,B,3,layer,0,33,0.5214987971864515,0.7345408774034224,0.8616566822904441,0.2371099293231964,0.2729763984680176,0.3035541415214539,0.5763345309533179
B16_g32_global_weight,B,3,layer,4,41,0.5894145409902714,0.7561174625413881,0.8772654308572734,0.25672605633735657,0.2814427614212036,0.3116922974586487,5.0495323576033115
B16_g32_global_weight,B,3,layer,20,39,0.5162495156220602,0.8056128012570484,0.8756533483873988,0.30405585169792176,0.34000903367996216,0.3744131863117218,3.3231027759611607
B16_g32_global_weight,B,3,layer,39,39,0.6080836699964745,0.810894780267236,0.8668792021459997,0.22342056930065154,0.241021990776062,0.272418212890625,228.05721509456635
B16_g32_global_weight,B,4,layer,0,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_global_weight,B,4,layer,4,41,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_global_weight,B,4,layer,20,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_global_weight,B,4,layer,39,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_layer_functional,B,2,layer,0,33,-0.1319696020826504,0.3018090406303753,0.5147897422627009,0.4118202865123749,0.4543416500091553,0.506855058670044,1.6854308526962996
B16_g32_layer_functional,B,2,layer,4,41,-0.10148111385596992,0.25631906279572925,0.45387573299174677,0.45677557587623596,0.49827146530151367,0.5478615164756775,17.837983809411526
B16_g32_layer_functional,B,2,layer,20,39,0.07695419802445304,0.47059552842701224,0.7887566193020512,0.34855260848999026,0.5535334944725037,0.611731207370758,7.561212606728077
B16_g32_layer_functional,B,2,layer,39,39,-0.10802832167440315,0.17348582000626067,0.48396852423155906,0.37993648648262024,0.44396552443504333,0.4938286900520325,841.4017815589905
B16_g32_layer_functional,B,3,layer,0,33,0.6117823069031758,0.7698815508855935,0.857699056326916,0.2280648022890091,0.25361382961273193,0.2852139472961426,0.5084528708830476
B16_g32_layer_functional,B,3,layer,4,41,0.5970825443023187,0.7654854583512612,0.8663215601482159,0.25462380051612854,0.27784353494644165,0.31502678990364075,5.288751795887947
B16_g32_layer_functional,B,3,layer,20,39,0.6879728694719666,0.8529293323968269,0.9019504881637327,0.22755388915538788,0.30163875222206116,0.34225478768348694,2.606613390147686
B16_g32_layer_functional,B,3,layer,39,39,0.5928558619163895,0.7496401675202592,0.8752137079126298,0.21786807477474213,0.2508962154388428,0.2833405792713165,217.95399236679077
B16_g32_layer_functional,B,4,layer,0,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_layer_functional,B,4,layer,4,41,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_layer_functional,B,4,layer,20,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
B16_g32_layer_functional,B,4,layer,39,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0
C8_g32_layer_functional,C,2,layer,0,33,-0.17994301165465795,0.1726310187968726,0.46643947529543434,0.42873623967170715,0.4680330157279968,0.5127435445785522,1.812786165624857
C8_g32_layer_functional,C,2,layer,4,41,0.0023796813247238813,0.19806217941722148,0.40683179990185825,0.4715560972690582,0.509187638759613,0.5621992945671082,18.900765642523766
C8_g32_layer_functional,C,2,layer,20,39,0.04801527202687776,0.5047579084689225,0.75298673891096,0.3700129985809326,0.57136470079422,0.6291451930999756,7.418896928429604
C8_g32_layer_functional,C,2,layer,39,39,-0.23829130605399346,0.17791682287976462,0.4766171196981464,0.3923050224781036,0.44649165868759155,0.5068153619766236,829.7836666107178
C8_g32_layer_functional,C,3,layer,0,33,0.583976989599456,0.7483476602024955,0.8472651797390103,0.23490116596221924,0.26550933718681335,0.29326115250587464,0.5373702058568597
C8_g32_layer_functional,C,3,layer,4,41,0.604308297633636,0.7671202765298725,0.8451732126649878,0.2537795901298523,0.28232911229133606,0.3153035044670105,5.428731486201286
C8_g32_layer_functional,C,3,layer,20,39,0.72768992220477,0.8497170469012614,0.8969399145061894,0.22605027854442597,0.31325745582580566,0.3508618175983429,2.393361298367381
C8_g32_layer_functional,C,3,layer,39,39,0.6202967364361874,0.7461167624118785,0.8768554260661898,0.2214195042848587,0.2507537007331848,0.28778334259986876,229.72752976417542
C8_g32_layer_functional,C,4,layer,0,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0
