candidate,design,objective,sharing,projection,split,level,count,p10_relative_error,median_relative_error,p90_relative_error,p10_damage,median_damage,p90_damage,summed_damage,median_own_recovery
A_vector_functional,A,expert_functional_proxy,independent_vector,gate,validation,2,135,0.14958675503730773,0.25355201959609985,0.31063421368598937,1.988124704360962,11.46025562286377,114.77871093750001,5318.2860733270645,0.0
A_vector_functional,A,expert_functional_proxy,independent_vector,gate,validation,3,135,0.05536805689334869,0.12738172709941864,0.15864784121513367,0.511077630519867,3.1001698970794678,16.708910369873045,978.0645805597305,0.7580870985984802
A_vector_functional,A,expert_functional_proxy,independent_vector,gate,validation,4,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional,A,expert_functional_proxy,independent_vector,up,test,2,152,0.1950589045882225,0.31669147312641144,0.4011954814195633,1.9601848602294922,10.835017204284668,45.173026657104494,2689.85357940197,0.0
A_vector_functional,A,expert_functional_proxy,independent_vector,up,test,3,152,0.09276982471346855,0.1628710702061653,0.20841696262359619,0.4752301722764969,2.907663345336914,10.54048776626587,646.5117145478725,0.7416045069694519
A_vector_functional,A,expert_functional_proxy,independent_vector,up,test,4,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional,A,expert_functional_proxy,independent_vector,up,train,2,258,0.19819966703653336,0.32309892773628235,0.39704068899154665,1.9888768911361694,10.855867385864258,47.56186294555664,4654.1150805950165,0.0
A_vector_functional,A,expert_functional_proxy,independent_vector,up,train,3,258,0.09067188277840614,0.16427092999219894,0.20875786244869232,0.49218209683895114,2.9662437438964844,10.386581897735597,1092.0671013593674,0.7418131232261658
A_vector_functional,A,expert_functional_proxy,independent_vector,up,train,4,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional,A,expert_functional_proxy,independent_vector,up,validation,2,135,0.20246095359325408,0.3284561336040497,0.4012444019317627,1.9197138547897339,10.719301223754883,51.51504669189453,2601.5079649686813,0.0
A_vector_functional,A,expert_functional_proxy,independent_vector,up,validation,3,135,0.08967097699642182,0.16851934790611267,0.20851103961467743,0.4799425959587097,2.813100814819336,10.662646484375001,597.402487963438,0.7422064542770386
A_vector_functional,A,expert_functional_proxy,independent_vector,up,validation,4,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,down,test,2,152,0.33610844910144805,0.36301271617412567,0.38646736443042756,0.02234033476561308,0.11321045458316803,9.620438098907474,616.18350793235,0.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,down,test,3,152,0.17809369266033173,0.19420970231294632,0.20814992040395736,0.008369672764092685,0.03398001007735729,3.2872362613677986,179.3525968841277,0.6800451874732971
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,down,test,4,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,down,train,2,258,0.33161674439907074,0.3627151697874069,0.3812951326370239,0.024941289238631724,0.11979539692401886,9.282514286041263,994.159334381111,0.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,down,train,3,258,0.17399645894765856,0.19382699579000473,0.2034866064786911,0.007708644028753043,0.03432995453476906,3.091015434265137,267.1312764424365,0.7073155343532562
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,down,train,4,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,down,validation,2,135,0.33404073119163513,0.3667653203010559,0.3852693438529968,0.027324526011943816,0.12506841123104095,11.586508941650392,643.2622373499908,0.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,down,validation,3,135,0.17498737275600434,0.19506031274795532,0.20628461837768555,0.007029677927494049,0.03368569165468216,2.799475336074829,166.39103578636423,0.7273219227790833
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,down,validation,4,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,gate,test,2,152,0.17196770161390304,0.25797389447689056,0.31353692412376405,1.9728718638420104,12.085204601287842,162.40118713378908,7249.277054905891,0.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,gate,test,3,152,0.05548291765153408,0.12956875562667847,0.16407640576362612,0.5072442352771759,3.149679183959961,17.775875091552734,1099.2511378228664,0.7607862055301666
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,gate,test,4,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,gate,train,2,258,0.16583926528692244,0.25712330639362335,0.31540438532829285,1.9274726033210754,12.440758228302002,151.8141082763672,11955.572179079056,0.0
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,gate,train,3,258,0.05617732331156731,0.12948334217071533,0.1666281968355179,0.5228600978851319,3.3106216192245483,18.395190429687503,1911.2785717248917,0.7557917535305023
A_vector_functional_shrunk,A,expert_functional_proxy,independent_vector,gate,train,4,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
