candidate,design,level,stratification,stratum,count,p10_relative_error,median_relative_error,p90_relative_error,summed_damage,median_own_recovery
E64_g64_layer_functional,E,3,projection,gate,152,0.04357011802494526,0.12273886054754257,0.1570829287171364,879.0580797493458,0.7309221625328064
E64_g64_layer_functional,E,3,projection,up,152,0.08914519920945167,0.15799181908369064,0.2110669195652008,632.4873602986336,0.7056764960289001
E64_g64_layer_functional,E,4,projection,down,152,0.0,0.0,0.0,0.0,1.0
E64_g64_layer_functional,E,4,projection,gate,152,0.0,0.0,0.0,0.0,1.0
E64_g64_layer_functional,E,4,projection,up,152,0.0,0.0,0.0,0.0,1.0
baseline_pr4_2p25,baseline,2,projection,down,152,0.34176460802555086,0.37279604375362396,0.3975888520479202,603.1359729208052,0.0
baseline_pr4_2p25,baseline,2,projection,gate,152,0.21645520329475404,0.274615541100502,0.33241422772407536,15295.106420397758,0.0
baseline_pr4_2p25,baseline,2,projection,up,152,0.2052105873823166,0.3310300409793854,0.40152314603328704,2872.1919314861298,0.0
baseline_pr4_2p25,baseline,3,projection,down,152,0.1828488901257515,0.2048785164952278,0.2165941298007965,181.73276280611753,0.6835805475711823
baseline_pr4_2p25,baseline,3,projection,gate,152,0.17797725647687912,0.2028363049030304,0.2291270971298218,7109.425639629364,0.4601086974143982
baseline_pr4_2p25,baseline,3,projection,up,152,0.0970327265560627,0.16895651817321777,0.2186452716588974,701.9522625207901,0.7385621070861816
baseline_pr4_2p25,baseline,4,projection,down,152,0.0,0.0,0.0,0.0,1.0
baseline_pr4_2p25,baseline,4,projection,gate,152,0.0,0.0,0.0,0.0,1.0
baseline_pr4_2p25,baseline,4,projection,up,152,0.0,0.0,0.0,0.0,1.0
learned_16_leaf_scalar_global,learned_16_leaf,2,projection,down,152,0.3513267397880554,0.38357140123844147,0.4013027250766754,800.3438376206905,0.0
learned_16_leaf_scalar_global,learned_16_leaf,2,projection,gate,152,0.23441433161497116,0.296114519238472,0.33643786013126376,19051.63523709774,0.0
learned_16_leaf_scalar_global,learned_16_leaf,2,projection,up,152,0.2094072714447975,0.33717162907123566,0.41382208168506623,3019.697392463684,0.0
learned_16_leaf_scalar_global,learned_16_leaf,3,projection,down,152,0.18739576488733292,0.20672528445720673,0.21859944611787796,197.70381024456583,0.6766838431358337
learned_16_leaf_scalar_global,learned_16_leaf,3,projection,gate,152,0.09850129336118699,0.13953766971826553,0.1792459174990654,2536.08043718338,0.7591575682163239
learned_16_leaf_scalar_global,learned_16_leaf,3,projection,up,152,0.10082937404513359,0.17964251339435577,0.22135527133941652,771.5051090419292,0.7207737565040588
learned_16_leaf_scalar_global,learned_16_leaf,4,projection,down,152,0.11721569374203682,0.1372353658080101,0.15275673270225526,85.16380520944949,0.8624322414398193
learned_16_leaf_scalar_global,learned_16_leaf,4,projection,gate,152,0.03386107087135315,0.05911455117166042,0.07934107258915901,312.95277398079634,0.9560581147670746
learned_16_leaf_scalar_global,learned_16_leaf,4,projection,up,152,0.041575678065419196,0.07875334843993187,0.10288986638188362,140.61350674927235,0.9477861523628235
A_vector_functional,A,2,block_scale_bin,high,152,0.1598749577999115,0.22129535675048828,0.3579725921154022,8327.12837857008,0.0
A_vector_functional,A,2,block_scale_bin,low,141,0.2743634283542633,0.3351345360279083,0.4042188823223114,718.1588700329885,0.0
A_vector_functional,A,2,block_scale_bin,median,163,0.2575299084186554,0.34984737634658813,0.38210734724998474,768.0401556352153,0.0
A_vector_functional,A,3,block_scale_bin,high,152,0.05496185198426247,0.10418640449643135,0.18956146389245987,1515.4585949778557,0.7710369229316711
A_vector_functional,A,3,block_scale_bin,low,141,0.13493014872074127,0.17501696944236755,0.20867730677127838,189.7528649608139,0.7357428073883057
A_vector_functional,A,3,block_scale_bin,median,163,0.12957257330417632,0.1874365508556366,0.20551464259624483,206.32172940019518,0.7308139801025391
A_vector_functional,A,4,block_scale_bin,high,152,0.0,0.0,0.0,0.0,1.0
A_vector_functional,A,4,block_scale_bin,low,141,0.0,0.0,0.0,0.0,1.0
A_vector_functional,A,4,block_scale_bin,median,163,0.0,0.0,0.0,0.0,1.0
A_vector_functional_shrunk,A,2,block_scale_bin,high,152,0.17121387720108033,0.22178619354963303,0.3584193855524063,9074.912431836128,0.0
A_vector_functional_shrunk,A,2,block_scale_bin,low,141,0.2735665738582611,0.33625224232673645,0.40257009863853455,723.2614162210375,0.0
A_vector_functional_shrunk,A,2,block_scale_bin,median,163,0.26037700176239015,0.34830984473228455,0.3828562557697296,772.7028809674084,0.0
A_vector_functional_shrunk,A,3,block_scale_bin,high,152,0.05548291765153408,0.10507787391543388,0.18993815183639526,1529.1291847527027,0.7737652659416199
A_vector_functional_shrunk,A,3,block_scale_bin,low,141,0.13518276810646057,0.17481622099876404,0.20938166975975037,191.65534371417016,0.7364888191223145
