source_id,method_id,cohort,budget_bpw,n,recovery_p10,recovery_median,recovery_p90,physical_bytes_min,physical_bytes_median,physical_bytes_max,logical_bytes_min,logical_bytes_median,logical_bytes_max,page_amplification_p10,page_amplification_median,page_amplification_p90,physical_bpw_median,logical_bpw_median,resident_bpw_reported,suffix_storage_bpw,evidence_class
pr6_paired_hybrid,pr6_exact_training_hybrid,all_four,0.75,85,0.811289264105646,0.889278588145634,0.96510084408892,294912,294912,294912,294912,294912,294912,1,1,1,0.75,0.75,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
pr6_paired_hybrid,pr6_exact_training_hybrid,all_four,1,85,0.872356046161344,0.92365143481559,0.974855829699757,360448,393216,393216,360448,393216,393216,1,1,1,1,1,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
pr6_paired_hybrid,pr6_exact_training_hybrid,all_four,1.25,85,0.914873815674097,0.950247450748752,0.983074919733515,458752,491520,491520,458752,491520,491520,1,1,1,1.25,1.25,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
pr6_paired_hybrid,pr6_exact_training_hybrid,all_four,1.5,85,0.945684263693609,0.973571141248443,0.992848369427473,524288,589824,589824,524288,589824,589824,1,1,1,1.5,1.5,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
pr6_paired_hybrid,pr6_exact_training_hybrid,all_four,2,85,0.999999999999023,0.999999999999529,0.999999999999754,655360,786432,786432,655360,786432,786432,1,1,1,2,2,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
pr6_paired_hybrid,pr6_exact_training_hybrid,difficult_4_20_39,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
pr6_paired_hybrid,pr6_exact_training_hybrid,difficult_4_20_39,0.5,72,0.708597959277887,0.802880619414096,0.90867886357805,196608,196608,196608,196608,196608,196608,1,1,1,0.5,0.5,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
pr6_paired_hybrid,pr6_exact_training_hybrid,difficult_4_20_39,0.75,72,0.810033984764261,0.878538129459538,0.956814741722472,294912,294912,294912,294912,294912,294912,1,1,1,0.75,0.75,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
pr6_paired_hybrid,pr6_exact_training_hybrid,difficult_4_20_39,1,72,0.86823844602069,0.920733072634952,0.969917655470785,360448,393216,393216,360448,393216,393216,1,1,1,1,1,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
pr6_paired_hybrid,pr6_exact_training_hybrid,difficult_4_20_39,1.25,72,0.911846504871151,0.946833537268872,0.97689805698795,458752,491520,491520,458752,491520,491520,1,1,1,1.25,1.25,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
pr6_paired_hybrid,pr6_exact_training_hybrid,difficult_4_20_39,1.5,72,0.944880270828443,0.968929051792078,0.988361309728145,557056,589824,589824,557056,589824,589824,1,1,1,1.5,1.5,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
pr6_paired_hybrid,pr6_exact_training_hybrid,difficult_4_20_39,2,72,0.999999999998971,0.99999999999948,0.999999999999757,786432,786432,786432,786432,786432,786432,1,1,1,2,2,2.25,4,H0_full_Gram_selector_and_per_projection_representation_oracle
