candidate,design,packet,budget_bpw,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_own_recovery,median_own_recovery,p90_own_recovery,p10_damage,median_damage,p90_damage,median_logical_bpw,median_physical_bpw,median_page_amplification,median_gate_bytes,median_up_bytes,median_down_bytes,median_gate_q2_q3,median_up_q2_q3,median_down_q2_q3,median_gate_q3_q4,median_up_q3_q4,median_down_q3_q4
B16_g32_expert_functional,B,paired,0.75,152,0.8673571979460368,0.9239781234724604,0.9702430144515988,0.820717284861129,0.8951111480954791,0.9412575997078482,0.002901685005053878,0.02684705052524805,1.9137182712554939,0.75,0.75,1.0,98304.0,98304.0,98304.0,768.0,768.0,192.0,768.0,768.0,192.0
B16_g32_expert_functional,B,paired,1.0,152,0.9136475579235745,0.9533814025357823,0.9803244953825849,0.8782393255710758,0.9303813375525389,0.9666876883485167,0.001984659815207124,0.016752511262893677,1.24096029996872,1.0,1.0,1.0,131072.0,131072.0,98304.0,1024.0,1024.0,192.0,1024.0,1024.0,192.0
B16_g32_expert_functional,B,paired,1.25,152,0.9430414338902627,0.9726650737228661,0.9870680534601958,0.925509510010455,0.9587121346487275,0.9779349314831511,0.001194723299704492,0.010701378341764212,0.736089688539505,1.25,1.25,1.0,163840.0,196608.0,131072.0,1280.0,1536.0,256.0,1280.0,1536.0,256.0
B16_g32_expert_functional,B,paired,1.5,152,0.9672726833484002,0.9848659843893097,0.9978667597111331,0.9552955597211487,0.9788372207160034,0.9967023779374385,0.00012736977805616334,0.006237991387024522,0.4359368115663531,1.5,1.5,1.0,229376.0,262144.0,131072.0,1792.0,2048.0,256.0,1792.0,2048.0,256.0
B16_g32_expert_functional,B,paired,2.0,152,0.9999999999986857,0.9999999999993254,0.9999999999996801,0.9999999999978214,0.9999999999990203,0.9999999999995483,3.364891542755478e-14,2.524622763448725e-13,1.5808860297228395e-11,2.0,2.0,1.0,262144.0,262144.0,262144.0,2048.0,2048.0,512.0,2048.0,2048.0,512.0
B16_g32_expert_functional,B,separate,0.25,152,0.5566898366021197,0.7200272139232826,0.8638912464378525,0.4509295508644358,0.6033093881932315,0.7159278849877944,0.012976042181253434,0.09941425174474716,6.915234947204591,0.25,0.25,1.0,32768.0,32768.0,32768.0,448.0,464.0,93.0,40.0,40.0,43.0
B16_g32_expert_functional,B,separate,0.5,152,0.7226099512380503,0.8516088139011748,0.9286476739274331,0.6447051815653411,0.7744648472498079,0.8680494866779731,0.007013112818822265,0.059127259999513626,3.866341996192933,0.5,0.5,1.0,65536.0,65536.0,65536.0,864.0,864.0,170.0,136.0,124.0,94.0
B16_g32_expert_functional,B,separate,0.75,152,0.8097744412430321,0.9017653078664133,0.9624694650245856,0.7634244653102206,0.8686223283298238,0.9211574168348485,0.004074473818764091,0.03699052520096302,2.5221935272216807,0.75,0.75,1.0,98304.0,98304.0,98304.0,1176.0,1240.0,236.0,252.0,296.0,150.0
B16_g32_expert_functional,B,separate,1.0,152,0.8855960195002168,0.9398297972336114,0.9748385783071597,0.8354261657123019,0.9151153356853339,0.9529161291437158,0.0026925788493826984,0.024865166284143925,1.4984074234962463,1.0,1.0,1.0,114688.0,131072.0,131072.0,1372.0,1544.0,287.0,368.0,532.0,200.0
B16_g32_expert_functional,B,separate,1.25,152,0.9247848937797034,0.9632092993187341,0.9850897032915786,0.8978453864732069,0.9491484521117814,0.9710133603090554,0.0015510952798649669,0.014797017443925142,1.0003675758838662,1.25,1.25,1.0,131072.0,196608.0,131072.0,1584.0,1928.0,309.0,556.0,1148.0,217.0
B16_g32_expert_functional,B,separate,1.5,152,0.9560402077982081,0.9807646547742481,0.9919228899284107,0.9417300066646253,0.9718336046964919,0.9846702476977947,0.0007005584775470197,0.008442286867648363,0.5432214617729187,1.5,1.5,1.0,229376.0,229376.0,163840.0,2004.0,2036.0,357.0,1560.0,1584.0,273.0
B16_g32_expert_functional,B,separate,2.0,152,0.9999999999986857,0.9999999999993254,0.9999999999996801,0.9999999999978214,0.9999999999990203,0.9999999999995483,3.364891542755478e-14,2.524622763448725e-13,1.5808860297228395e-11,2.0,2.0,1.0,262144.0,262144.0,262144.0,2048.0,2048.0,512.0,2048.0,2048.0,512.0
B16_g32_global_functional_eps_0p01,B,paired,0.25,152,0.614042473676395,0.7590764528746272,0.8697445945500785,0.4855758346057058,0.657236530343925,0.7607038579865822,0.010167486220598222,0.09039079397916794,6.499621963500977,0.25,0.25,1.0,32768.0,32768.0,32768.0,256.0,256.0,64.0,256.0,256.0,64.0
B16_g32_global_functional_eps_0p01,B,paired,0.5,152,0.7893523091456476,0.8739299113646608,0.9490834745022328,0.7035821703803055,0.8218791627328645,0.9028047972522366,0.004834455857053399,0.043933793902397156,3.640995287895204,0.5,0.5,1.0,65536.0,65536.0,65536.0,512.0,512.0,128.0,512.0,512.0,128.0
B16_g32_global_functional_eps_0p01,B,paired,0.75,152,0.8632537038665519,0.9255221427382639,0.9677496739546363,0.8102295080439768,0.8926188653539364,0.9477236145555922,0.0030714731896296144,0.027528997510671616,2.2401831030845663,0.75,0.75,1.0,98304.0,98304.0,98304.0,768.0,768.0,192.0,768.0,768.0,192.0
B16_g32_global_functional_eps_0p01,B,paired,1.0,152,0.9039356402421412,0.9505658190183122,0.9789230414287166,0.8753436273698572,0.9287884770270958,0.9656181921298164,0.002207985590212047,0.01912714634090662,1.3346192955970766,1.0,1.0,1.0,131072.0,131072.0,98304.0,1024.0,1024.0,192.0,1024.0,1024.0,192.0
B16_g32_global_functional_eps_0p01,B,paired,1.25,152,0.9413938216198695,0.9703952169384731,0.9881255515653853,0.9211720437614466,0.9600349465871705,0.979542504946808,0.0010988214402459563,0.012388532049953938,0.7543898582458497,1.25,1.25,1.0,163840.0,196608.0,131072.0,1280.0,1536.0,256.0,1280.0,1536.0,256.0
B16_g32_global_functional_eps_0p01,B,paired,1.5,152,0.9679570111683858,0.9854141018451268,0.9981275191002597,0.9568133927094898,0.9773946977916743,0.9966108767101246,0.00011463349947007375,0.006336660124361515,0.351179501414299,1.5,1.5,1.0,262144.0,262144.0,131072.0,2048.0,2048.0,256.0,2048.0,2048.0,256.0
