mean_budget_pages_per_expert,charged_bpw,injection_layer,observation_layer,layer_distance,requests,sequence_tokens,injected_positions,realized_delta_energy_all_tokens,hidden_error_energy_all_tokens,propagation_coefficient_all_tokens,propagation_coefficient_captured_positions,hidden_mse,rmsnorm_normalized_mse,cosine_distance,router_logit_kl,route_churn,route_top1_agreement,route_ordered_top8_agreement,baseline_capture_hidden_mse,baseline_capture_hidden_max_abs,baseline_capture_route_churn
749,0.9987386067708334,22,23,1,3,44,32,0.00040523998935591203,0.0013292809347107818,3.2802313928187083,2.201582087309385,6.490629564017489e-07,7.125890462736443e-05,5.015034131828305e-06,7.008961717059572e-05,0.005681818181818172,0.9772727272727273,0.8409090909090909,1.0995205607403333e-06,0.015625,0.0
749,0.9987386067708334,22,24,2,3,44,32,0.00040523998935591203,0.0015934091707921734,3.932013652761013,2.8896777598875736,7.780318216758659e-07,8.929145942361483e-05,6.081673471411167e-06,8.420360735955139e-05,0.008522727272727263,1.0,0.7954545454545454,1.4521172202060355e-06,0.0234375,0.008522727272727263
749,0.9987386067708334,22,25,3,3,44,32,0.00040523998935591203,0.002556775561557019,6.309287406755575,3.7492197278400976,1.2484255671665132e-06,0.0001280055921304905,9.475534067571683e-06,8.770848978398787e-05,0.005681818181818172,1.0,0.8409090909090909,3.2294649491686074e-06,0.03125,0.008522727272727291
749,0.9987386067708334,22,26,4,3,44,32,0.00040523998935591203,0.0032125269607893806,7.927467784942369,5.57812680946398,1.5686166800729398e-06,0.00012055492501403721,1.1263108367831116e-05,9.341490421967487e-05,0.011363636363636366,1.0,0.7727272727272727,3.5469180768728363e-06,0.078125,0.005681818181818194
749,0.9987386067708334,22,27,5,3,44,32,0.00040523998935591203,0.0063436586944424726,15.654078721414136,10.48486688340639,3.0974895968957386e-06,0.0002737224317245409,2.31309654497782e-05,0.0001103073946234334,0.02272727272727272,0.9772727272727273,0.6590909090909091,5.261094872684295e-06,0.0390625,0.019886363636363643
749,0.9987386067708334,22,28,6,3,44,32,0.00040523998935591203,0.006332026511451907,15.62537429120957,10.674475681580992,3.0918098200448765e-06,0.00023844153754926976,2.262838064180776e-05,0.00012705329838149415,0.0,1.0,0.8863636363636364,5.008239907072271e-06,0.046875,0.005681818181818172
749,0.9987386067708334,22,29,7,3,44,32,0.00040523998935591203,0.006477146882471888,15.983483991218778,10.774702440442816,3.1626693762069764e-06,0.00023306623626367668,2.2867049337821355e-05,0.00011715844030275096,0.008522727272727253,1.0,0.7272727272727273,5.693450816619943e-06,0.046875,0.008522727272727263
749,0.9987386067708334,22,30,8,3,44,32,0.00040523998935591203,0.007792721209294872,19.229891950398613,11.058599446032709,3.8050396529760118e-06,0.00019286513231082513,2.504667973547829e-05,0.00011240755993475732,0.014204545454545435,1.0,0.6363636363636364,1.003369334466471e-05,0.0625,0.014204545454545458
749,0.9987386067708334,22,31,9,3,44,32,0.00040523998935591203,0.014311758782489713,35.31674849078149,17.00998754928274,6.988163468012555e-06,0.0004168381483956835,0.00020582051427788593,0.00012186222054011049,0.008522727272727263,1.0,0.7727272727272727,1.4775311583559159e-05,0.0703125,0.011363636363636354
749,0.9987386067708334,22,32,10,3,44,32,0.00040523998935591203,0.018591506392112933,45.877768434606494,27.59822297754972,9.077883980523893e-06,0.0004932580840882529,0.00022872123745522205,0.00012970459717334603,0.017045454545454555,0.9772727272727273,0.6590909090909091,2.03285360888892e-05,0.0859375,0.04545454545454546
749,0.9987386067708334,22,33,11,3,44,32,0.00040523998935591203,0.021539268797244982,53.15188373062459,33.70648785293136,1.0517221092404776e-05,0.0004231839127072019,0.0001902460900344319,0.00013113792917771245,0.014204545454545471,0.9545454545454546,0.6818181818181818,2.3958768324758044e-05,0.0625,0.014204545454545458
749,0.9987386067708334,22,34,12,3,44,32,0.00040523998935591203,0.025630901875873944,63.24869842340009,42.63344494228413,1.2515088806579074e-05,0.0002751894905344179,0.00011122546474369318,0.00013448225620096252,0.005681818181818172,0.9772727272727273,0.75,3.133437135651527e-05,0.25,0.01988636363636364
749,0.9987386067708334,22,35,13,3,44,32,0.00040523998935591203,0.043585695515503176,107.55526764468193,75.99711492779808,2.1282077888429285e-05,0.0005692504650646929,0.00026879708660523046,0.00013067123977440184,0.025568181818181827,1.0,0.5681818181818182,4.212861549503864e-05,0.125,0.019886363636363643
749,0.9987386067708334,22,36,14,3,44,32,0.00040523998935591203,0.07477678131710325,184.52468483170526,135.94933145077394,3.651210025249182e-05,0.0008135432336045472,0.00039903348036123123,0.000130395634845173,0.005681818181818162,0.9772727272727273,0.7045454545454546,5.708259705095031e-05,0.125,0.03124999999999999
749,0.9987386067708334,22,37,15,3,44,32,0.00040523998935591203,0.1114893041257429,275.11920603626476,210.6709970683624,5.44381367801479e-05,0.000999743156791799,0.00047076808841878763,0.0001434867003923193,0.00852272727272728,0.9545454545454546,0.5909090909090909,8.29039154352658e-05,0.09375,0.014204545454545485
