layer,expert_id,projection,bits,quantizer,relative_atom_mse,median_per_atom_relative_mse,p90_per_atom_relative_mse
20,5,up,4,independent,0.01837920841857901,0.017561006468611078,0.023545533206859964
20,5,up,8,nested_prefix,0.0002202499023357567,0.00021008042706529867,0.00028051758302474777
20,5,up,8,independent,5.551511731381728e-05,5.3016997004405475e-05,7.090328953148877e-05
20,5,down,2,nested_prefix,2.936830528746801,2.682472264677469,4.262131819422676
20,5,down,2,independent,0.9028265145199021,0.9040424125041295,0.9390190353230315
20,5,down,4,nested_prefix,0.17972917325262205,0.16832379732990396,0.2513641037580489
20,5,down,4,independent,0.05888023867292739,0.0554913252489892,0.08258493857001815
20,5,down,8,nested_prefix,0.0006988417366743421,0.0006540599541074831,0.0009857669386686041
20,5,down,8,independent,0.00017807808981193632,0.0001674267172659374,0.0002503161414098142
39,22,gate,2,nested_prefix,1.1497686094508042,0.9411370881415995,1.379873046994106
39,22,gate,2,independent,0.7808117507980445,0.7226755172008215,0.8354321078547853
39,22,gate,4,nested_prefix,0.06923906156278356,0.058601097758510426,0.084808939907136
39,22,gate,4,independent,0.022831974345051183,0.019078426700060533,0.027745751525898206
39,22,gate,8,nested_prefix,0.0002704976451088878,0.00022767441314121213,0.0003316511628243087
39,22,gate,8,independent,6.872140162317075e-05,5.782813376722028e-05,8.423775909570336e-05
39,22,up,2,nested_prefix,1.0123993673461493,0.9120634140944844,1.283960289633038
39,22,up,2,independent,0.7349616928492309,0.7197983109377841,0.8299626493030773
39,22,up,4,nested_prefix,0.06244913236546529,0.05713737830761935,0.07993386681972614
39,22,up,4,independent,0.020640729133297304,0.018558939236151165,0.026097250393989545
39,22,up,8,nested_prefix,0.0002447509437363418,0.00022170950626177735,0.0003103192152505016
39,22,up,8,independent,6.198199181429365e-05,5.6209021769649495e-05,7.883165745145485e-05
39,22,down,2,nested_prefix,3.738472097530408,2.653614157415149,5.1535153752278395
39,22,down,2,independent,0.8863030923781221,0.8977561898855141,0.9471436139916484
39,22,down,4,nested_prefix,0.21459187418987322,0.16540248414061873,0.3008111305305445
39,22,down,4,independent,0.0696383535479139,0.0539189612117935,0.09517217667756014
39,22,down,8,nested_prefix,0.0008357531995465179,0.0006353024655241335,0.0011797071491697429
39,22,down,8,independent,0.00021308549210808696,0.00016137788352534022,0.0002949079903052833
