layer,expert_id,projection,bits,relative_atom_mse,observed_master_prefix_levels
0,252,down,16,1.6965554516801262e-09,41751
4,28,gate,2,0.8720327019691467,4
4,28,gate,4,0.05457744747400284,16
4,28,gate,8,0.0002121537982020527,256
4,28,gate,16,8.066063927891776e-10,58456
4,28,up,2,0.9139115214347839,4
4,28,up,4,0.05690980702638626,16
4,28,up,8,0.0002192279789596796,256
4,28,up,16,8.406070284294742e-10,58397
4,28,down,2,2.6256470680236816,4
4,28,down,4,0.1630769670009613,16
4,28,down,8,0.0006330112228170037,256
4,28,down,16,2.433020007686082e-09,41013
4,36,gate,2,1.0646647214889526,4
4,36,gate,4,0.06799908727407455,16
4,36,gate,8,0.00027221537311561406,256
4,36,gate,16,1.020941886586968e-09,58313
4,36,up,2,0.9002721905708313,4
4,36,up,4,0.05677144601941109,16
4,36,up,8,0.00022055715089663863,256
4,36,up,16,8.396424666656799e-10,58357
4,36,down,2,2.773303508758545,4
4,36,down,4,0.17081983387470245,16
4,36,down,8,0.0006636258913204074,256
4,36,down,16,2.546043820217392e-09,41071
4,82,gate,2,0.9658545255661011,4
4,82,gate,4,0.06025746464729309,16
4,82,gate,8,0.00023493400658480823,256
4,82,gate,16,9.101797648902732e-10,57912
4,82,up,2,0.8946834802627563,4
4,82,up,4,0.05605194717645645,16
4,82,up,8,0.00021799906971864402,256
4,82,up,16,8.39516955952746e-10,58417
4,82,down,2,2.8233799934387207,4
4,82,down,4,0.17369447648525238,16
4,82,down,8,0.0006753649213351309,256
4,82,down,16,2.5836923711608506e-09,41028
4,111,gate,2,0.9432160258293152,4
4,111,gate,4,0.06046270206570625,16
4,111,gate,8,0.00023076643992681056,256
4,111,gate,16,8.903985881936194e-10,58328
4,111,up,2,0.8784852623939514,4
4,111,up,4,0.0554358996450901,16
4,111,up,8,0.00021502215531654656,256
4,111,up,16,8.189787736867515e-10,58521
4,111,down,2,2.8752963542938232,4
4,111,down,4,0.17536884546279907,16
4,111,down,8,0.0006836013635620475,256
4,111,down,16,2.6127060515079847e-09,41067
4,129,gate,2,0.9238244295120239,4
4,129,gate,4,0.05795096233487129,16
4,129,gate,8,0.0002233668783446774,256
4,129,gate,16,8.550594121636834e-10,58126
4,129,up,2,0.9679646492004395,4
4,129,up,4,0.05992724746465683,16
4,129,up,8,0.00023288997181225568,256
4,129,up,16,9.093361064138605e-10,58314
4,129,down,2,2.7549898624420166,4
4,129,down,4,0.16993284225463867,16
4,129,down,8,0.0006600249325856566,256
4,129,down,16,2.528917963928734e-09,41074
4,134,gate,2,0.9313191175460815,4
4,134,gate,4,0.05821914225816727,16
4,134,gate,8,0.00022497522877529263,256
4,134,gate,16,8.722516597892138e-10,58246
4,134,up,2,0.9437074065208435,4
4,134,up,4,0.060253992676734924,16
4,134,up,8,0.00023086914734449238,256
4,134,up,16,8.834252773759488e-10,58503
4,134,down,2,2.6868784427642822,4
4,134,down,4,0.16609971225261688,16
4,134,down,8,0.000645692169200629,256
4,134,down,16,2.4803894493885537e-09,41376
4,143,gate,2,0.9540310502052307,4
4,143,gate,4,0.05927208438515663,16
4,143,gate,8,0.00023223354946821928,256
4,143,gate,16,8.781874671903722e-10,58352
4,143,up,2,1.0134342908859253,4
4,143,up,4,0.06266291439533234,16
4,143,up,8,0.0002421289391350001,256
4,143,up,16,9.43574329781427e-10,58323
4,143,down,2,2.6690495014190674,4
4,143,down,4,0.16542205214500427,16
4,143,down,8,0.000643598148599267,256
4,143,down,16,2.4650750329868742e-09,41482
4,154,gate,2,0.9837114810943604,4
4,154,gate,4,0.061649106442928314,16
4,154,gate,8,0.00023836347099859267,256
4,154,gate,16,9.169972559064377e-10,58559
4,154,up,2,0.8850221633911133,4
4,154,up,4,0.055806711316108704,16
4,154,up,8,0.00021680345525965095,256
4,154,up,16,8.245288340980039e-10,58237
4,154,down,2,2.7088165283203125,4
4,154,down,4,0.16705624759197235,16
4,154,down,8,0.0006496351561509073,256
4,154,down,16,2.4879931448396064e-09,41319
4,190,gate,2,0.9472355842590332,4
4,190,gate,4,0.05919894948601723,16
4,190,gate,8,0.0002275534498039633,256
4,190,gate,16,8.786976146701875e-10,58274
4,190,up,2,1.0619102716445923,4
4,190,up,4,0.06783480942249298,16
4,190,up,8,0.0002649436064530164,256
4,190,up,16,9.782926690959926e-10,58288
4,190,down,2,2.742102861404419,4
4,190,down,4,0.16919641196727753,16
4,190,down,8,0.0006557026645168662,256
4,190,down,16,2.51851850485707e-09,41649
4,193,gate,2,0.9181513786315918,4
4,193,gate,4,0.057050690054893494,16
4,193,gate,8,0.00022210448514670134,256
