resident_base,layer,projection,budget_bpw,invocations,recovery_median,relative_output_error_median,base_damage_median
activation-aware-scale W1 (1.250488 resident bpw),0,down,2.5,111,0.960389055826983,0.14177921414375305,0.06930935809486982
activation-aware-scale W1 (1.250488 resident bpw),0,down,3.0,111,0.9749695266013031,0.11131909489631653,0.06930935809486982
activation-aware-scale W1 (1.250488 resident bpw),0,down,4.0,111,0.988333994826602,0.07246708124876022,0.06930935809486982
activation-aware-scale W1 (1.250488 resident bpw),0,gate,0.0,111,0.0,0.44718512892723083,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,gate,0.05,111,0.4348833253023875,0.3049434721469879,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,gate,0.1,111,0.5972616570465807,0.2669142484664917,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,gate,0.2,111,0.7352362830973589,0.2147727608680725,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,gate,0.3,111,0.8155553974634805,0.18035317957401276,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,gate,0.5,111,0.8696078832008554,0.14855879545211792,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,gate,0.75,111,0.8992657146647219,0.1301644742488861,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,gate,1.0,111,0.9236628768032178,0.11544094979763031,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,gate,1.25,111,0.9475404269082167,0.09525614976882935,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,gate,1.5,111,0.9582861318027031,0.08618999272584915,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,gate,2.0,111,0.9727993698833681,0.07228656113147736,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,gate,2.5,111,0.9876048332990977,0.04600527137517929,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,gate,3.0,111,0.9927627132706505,0.03655213862657547,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,gate,4.0,111,0.9960173141653561,0.027343131601810455,6.360563369431999
activation-aware-scale W1 (1.250488 resident bpw),0,up,0.0,111,0.0,0.505671501159668,3.7001710736338795
activation-aware-scale W1 (1.250488 resident bpw),0,up,0.05,111,0.30729995663296983,0.4203098714351654,3.7001710736338795
activation-aware-scale W1 (1.250488 resident bpw),0,up,0.1,111,0.47298651521812907,0.3546498417854309,3.7001710736338795
activation-aware-scale W1 (1.250488 resident bpw),0,up,0.2,111,0.6392906761769508,0.30090752243995667,3.7001710736338795
activation-aware-scale W1 (1.250488 resident bpw),0,up,0.3,111,0.7044493979814399,0.26855623722076416,3.7001710736338795
activation-aware-scale W1 (1.250488 resident bpw),0,up,0.5,111,0.7949137029387536,0.2183498740196228,3.7001710736338795
