projection,method,physical_budget_bpw,invocations,requests,mean,ci_low,ci_high,median,p10,p25,p75,p90,p95,p99,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99
gate,two_view_oracle,0.1,400,16,0.5675252987926261,0.5347249073720896,0.6013614331170007,0.5754764443547806,0.3352217592269833,0.4366381876377209,0.7249239779665955,0.7886382055313546,0.8237868591984591,0.8575463560091776,0.085,0.005,0.0,0.0
gate,two_view_oracle,0.2,400,16,0.6142858426866112,0.5783412332529858,0.6505319363596535,0.6229966836694758,0.3768674764479649,0.4811530601808795,0.7735567327263341,0.8380499933923783,0.8729556837954128,0.9036375587328325,0.18,0.02,0.0,0.0
gate,two_view_oracle,0.5,400,16,0.681042494846344,0.6450926400548347,0.7192858536645645,0.6883975695119379,0.43946758341854464,0.5453432057731908,0.8335894995142008,0.9118275521405825,0.9330810823189214,0.9469578798180484,0.315,0.13,0.005,0.0
gate,two_view_oracle,1.0,400,16,0.7310863855996529,0.6943098977019724,0.7680646860582437,0.7383266208467236,0.4977448200097637,0.6035420404897966,0.8753638682200741,0.9502539506016713,0.9634457288062181,0.9713281026196793,0.38,0.2175,0.1025,0.0
up,generalized,0.1,400,16,0.42009304307237444,0.3804399008911967,0.46266903522810854,0.4077941984563699,0.15849629238057267,0.26402513494686375,0.5790953188894504,0.7318070830362746,0.7658707670196182,0.817723595639852,0.025,0.0,0.0,0.0
up,generalized,0.2,400,16,0.48048530281806484,0.4387109224792262,0.526969043327112,0.4615741554233863,0.201104895861435,0.32174067437915255,0.6549166295172077,0.7853077873237756,0.8286363464799164,0.8820449511641004,0.0875,0.0025,0.0,0.0
up,generalized,0.5,400,16,0.5693023957040724,0.5245894550482382,0.6170393080110486,0.5489197245666615,0.2824211252322764,0.4065805306760206,0.7642092300657063,0.8708908399670809,0.9109422911142157,0.9401935228055116,0.205,0.065,0.0,0.0
up,generalized,1.0,400,16,0.63567885520399,0.5926744083920207,0.6833315165217121,0.6110470460583601,0.3594960487814357,0.47573413483054655,0.8264730156702348,0.928421351541403,0.9539201021387567,0.9656037342552402,0.2975,0.15,0.055,0.0
up,learned_s11,0.1,400,16,0.3697986833934216,0.338402542494358,0.40280040549796653,0.3556673634448173,0.13428429576759157,0.2187864455145454,0.4953651142739667,0.6563423240798365,0.745049737291549,0.7955062706776713,0.01,0.0,0.0,0.0
up,learned_s11,0.2,400,16,0.43797690389348093,0.402099134948279,0.47765593719251415,0.41260005049945137,0.19269176746867286,0.280653896728504,0.5860852049521942,0.7419502580796479,0.7940594529942063,0.8594570226743331,0.045,0.0,0.0,0.0
