resident_base,method,budget_bpw,invocations,requests,mean_recovery,mean_ci_low,mean_ci_high,median_recovery,median_ci_low,median_ci_high,p10_recovery,p90_recovery,p95_damage_fraction,p99_damage_fraction,relative_output_error_median,actual_physical_bpw_median,gate_bpw_median,up_bpw_median,down_bpw_median,fraction_above_80,fraction_above_90,fraction_above_95,fraction_above_99
W1_1.250488bpw,generalized_generalized_native,0.75,167,16,0.6193485066383624,0.561165602429964,0.6752154709678271,0.6087991054903725,0.5055699297403282,0.6996437360804845,0.34712741215898996,0.9198767298046303,0.7000254362382715,0.7852320098853498,0.6059516072273254,0.7291666666666666,0.5,0.5,1.0,0.23952095808383234,0.1317365269461078,0.04790419161676647,0.0
W1_1.250488bpw,generalized_generalized_native,1.0,167,16,0.66556358289978,0.5975213589460273,0.7232931562987411,0.6738215648936736,0.5809674996362434,0.752250825280771,0.41115844657991774,0.9383309053500859,0.64756655137998,0.7363234890803699,0.5679807662963867,0.9895833333333334,0.75,0.5,1.25,0.31736526946107785,0.16167664670658682,0.08982035928143713,0.005988023952095809
W1_1.250488bpw,generalized_generalized_native,1.25,167,16,0.7019651842773004,0.6369326651619843,0.7600510654118041,0.7124024776598404,0.6127810845122285,0.7955252588163317,0.44456972086447505,0.9624155566822307,0.6108524101572395,0.6815290653340231,0.5476565957069397,1.2291666666666667,0.75,0.75,1.5,0.3592814371257485,0.24550898203592814,0.1377245508982036,0.029940119760479042
W1_1.250488bpw,generalized_generalized_native,1.5,167,16,0.7345907350316935,0.6709588831459644,0.7892736115311776,0.7486187416387118,0.6385150522695016,0.8347663375583465,0.47807449786057143,0.9727206775691103,0.5508293389094966,0.6238757611781113,0.5207271575927734,1.4895833333333333,1.0,1.0,2.0,0.4431137724550898,0.2694610778443114,0.20958083832335328,0.029940119760479042
W1_1.250488bpw,generalized_generalized_native,2.0,167,16,0.7821387240614122,0.7277069566987713,0.8287084283987243,0.7831216351548163,0.7173674034656392,0.888207192020961,0.5408397078897419,0.9845295160652416,0.48550921792946006,0.5238907307614911,0.46743980050086975,1.9895833333333333,1.5,1.25,2.5,0.47904191616766467,0.3413173652694611,0.25149700598802394,0.059880239520958084
W1_1.250488bpw,generalized_generalized_native,2.5,167,16,0.8148137061860328,0.7652473050267334,0.856378186816372,0.8306543737940326,0.7515234222503497,0.9043835666432464,0.6018495945284151,0.9903644562303674,0.42360120452949246,0.4814901010624698,0.4427317976951599,2.4895833333333335,2.46875,2.0,3.0,0.5449101796407185,0.38323353293413176,0.281437125748503,0.10778443113772455
W1_1.250488bpw,generalized_generalized_native,3.0,167,16,0.8421954117526139,0.8058559124108884,0.8801225020507348,0.8716981485599883,0.7860905519843474,0.9219744109812622,0.6543466150902489,0.9941399123242375,0.38572847461136806,0.4306421584397781,0.3930683434009552,2.9895833333333335,2.5,2.5,3.96875,0.6107784431137725,0.4251497005988024,0.31137724550898205,0.1497005988023952
W1_1.250488bpw,generalized_generalized_native,4.0,167,16,0.868679267383537,0.8342805283222993,0.9011307826753976,0.8913881915188099,0.8435408857827582,0.9526163392218234,0.6779858711604538,0.9962006538538247,0.34983915691480405,0.4266276520360979,0.33633583784103394,3.6666666666666665,4.0,4.0,4.0,0.7245508982035929,0.47305389221556887,0.3473053892215569,0.17365269461077845
W1_1.250488bpw,global_multi_view_oracle,0.0,167,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8363089561462402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W1_1.250488bpw,global_multi_view_oracle,0.25,167,16,0.5353981060263779,0.47097207295868854,0.5939356893308808,0.5136205056600431,0.4452384283126087,0.5860297613814509,0.28537515669172736,0.8514928833673852,0.7435465834411463,0.8104015995160186,0.6645346879959106,0.23958333333333334,0.1875,0.1875,0.46875,0.1497005988023952,0.059880239520958084,0.005988023952095809,0.0
W1_1.250488bpw,global_multi_view_oracle,0.5,167,16,0.6147155801212625,0.5577203817831908,0.6680775602712435,0.6145740270205563,0.5107012148120742,0.6940580621421218,0.3593460797977487,0.911363042303881,0.6740311454773398,0.7071145835783447,0.6235145926475525,0.4895833333333333,0.1875,0.28125,0.75,0.2155688622754491,0.11377245508982035,0.023952095808383235,0.0
W1_1.250488bpw,global_multi_view_oracle,0.75,167,16,0.6651002866150318,0.6103397395461518,0.7181522201135472,0.6716205659779577,0.578177755365084,0.7410053269958262,0.4009363587826267,0.937428641041523,0.6289151299248508,0.6708051118786159,0.5994992852210999,0.7291666666666666,0.5,0.5,1.0,0.31736526946107785,0.15568862275449102,0.07784431137724551,0.0
