projection,method,threshold,invocations,requests,reach_fraction_by_4bpw,reach_fraction_ci_low,reach_fraction_ci_high,mean_required_bpw_capped_at_4,mean_capped_ci_low,mean_capped_ci_high,median_required_bpw,median_capped_ci_low,median_capped_ci_high,p75_required_bpw,p90_required_bpw,p95_required_bpw,p99_required_bpw,finite_mean_conditional
gate,progressive_best,0.975,400,16,0.2375,0.16864561122956648,0.340182563338301,3.566484375,3.4011691985697157,3.6935949510831585,inf,4.0,4.0,inf,inf,inf,inf,2.174671052631579
gate,progressive_best,0.99,400,16,0.2225,0.15825045871559631,0.30111515267540917,3.751875,3.6787647487692636,3.809466116343516,inf,4.0,4.0,inf,inf,inf,inf,2.884831460674157
gate,random,0.8,400,16,0.0025,0.0,0.00789630741309507,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,4.0
gate,random,0.9,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
gate,random,0.95,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
gate,random,0.975,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
gate,random,0.99,400,16,0.0,0.0,0.0,4.0,4.0,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf
gate,two_view_oracle,0.8,400,16,0.6225,0.5268020441097364,0.7217008515337779,2.293125,1.8933030922944278,2.587408169287498,2.5,1.25,4.0,inf,inf,inf,inf,1.2580321285140563
gate,two_view_oracle,0.9,400,16,0.3475,0.2593359787338122,0.4580232188295165,3.0734375,2.759404827359696,3.3228042532192252,inf,4.0,4.0,inf,inf,inf,inf,1.33363309352518
gate,two_view_oracle,0.95,400,16,0.245,0.17302082624764753,0.3362001832340815,3.369375,3.1391531152037615,3.544589619129044,inf,4.0,4.0,inf,inf,inf,inf,1.4260204081632653
gate,two_view_oracle,0.975,400,16,0.23,0.1630414653784219,0.31687308522489904,3.600625,3.4498186183091217,3.716602028639618,inf,4.0,4.0,inf,inf,inf,inf,2.2635869565217392
