layer,projection,method,budget_bpw,count,mean,median,std
0,gate,learned_s29,3.0,111,0.9310231451439166,0.9756220572832276,0.1098323893910801
0,gate,learned_s29,4.0,111,0.9459036741426854,0.984523955813379,0.09560909490867014
0,gate,learned_s47,0.0,111,0.0,0.0,0.0
0,gate,learned_s47,0.05,111,-0.7655218021279077,0.35819250103297906,3.231228858097329
0,gate,learned_s47,0.1,111,0.5313151764664252,0.5679252897242789,0.17349862712107456
0,gate,learned_s47,0.2,111,0.6413521501874286,0.7019739684360975,0.17454904750211384
0,gate,learned_s47,0.3,111,0.6955970801099526,0.7616243029731957,0.17521845552741347
0,gate,learned_s47,0.5,111,0.7705824321896984,0.8506972567120421,0.16998343635335533
0,gate,learned_s47,0.75,111,0.8150510945548815,0.8920208967066763,0.16507545910132101
0,gate,learned_s47,1.0,111,0.8436040868825474,0.9145849468969158,0.1574821286341342
0,gate,learned_s47,1.25,111,0.8648391653970589,0.9317084698986025,0.15171597456649002
0,gate,learned_s47,1.5,111,0.8800611128966164,0.9449161954264435,0.14864818206552052
0,gate,learned_s47,2.0,111,0.9019962946175099,0.9593936465306764,0.135659038162094
0,gate,learned_s47,2.5,111,0.9163063185480915,0.9700964561730028,0.12738086083675462
0,gate,learned_s47,3.0,111,0.9287535177465666,0.9776261806869676,0.1154472562565802
0,gate,learned_s47,4.0,111,0.9422621487356191,0.9851097222207401,0.102492177674379
0,gate,native,0.0,111,0.0,0.0,0.0
0,gate,native,0.05,111,-0.12197624590034946,0.07684463361311455,0.6454257104561125
0,gate,native,0.1,111,-0.4575336775235473,0.1592042803811723,1.7800838925875475
0,gate,native,0.2,111,-0.8786070802511959,0.25714403119894735,3.0406662765611645
0,gate,native,0.3,111,-0.8796743636099726,0.32102485666645253,3.2063188391097257
0,gate,native,0.5,111,-0.6048231291871208,0.4175914611602336,2.7081260645559313
0,gate,native,0.75,111,-0.42157789069444596,0.4823043714961467,2.3990192565696
0,gate,native,1.0,111,-0.26732482065018304,0.5341280622909981,2.1122441918760204
0,gate,native,1.25,111,-0.12612194211024344,0.5652096996162604,1.8294053672804742
0,gate,native,1.5,111,-0.011618913184293459,0.5926686359779072,1.5946412711955715
0,gate,native,2.0,111,0.17263931211255093,0.6490418724298574,1.240826193743629
0,gate,native,2.5,111,0.3015263254608034,0.6863255697279045,1.0260600943469673
0,gate,native,3.0,111,0.41240556321941935,0.7152434896686246,0.8116358980301823
0,gate,native,4.0,111,0.5419156728496188,0.7700504489044542,0.5907007247188176
0,gate,overcomplete_2x,0.0,111,0.0,0.0,0.0
0,gate,overcomplete_2x,0.05,111,0.2682463593776508,0.36850873249717453,0.43353181749832476
0,gate,overcomplete_2x,0.1,111,0.5354860271663892,0.5852312912907103,0.17049782125087315
0,gate,overcomplete_2x,0.2,111,0.6197315401257465,0.6713155735538875,0.18261513745794647
0,gate,overcomplete_2x,0.3,111,0.6651983671807176,0.739157043778139,0.18474539694786618
0,gate,overcomplete_2x,0.5,111,0.7256219556856517,0.7917159262848578,0.1784611227619926
0,gate,overcomplete_2x,0.75,111,0.7636128638333085,0.8358255876104866,0.17560984134244212
0,gate,overcomplete_2x,1.0,111,0.7923173309828451,0.8637252639818819,0.17195244900770748
0,gate,overcomplete_2x,1.25,111,0.8111243426464552,0.8801441405916715,0.16861100302771637
0,gate,overcomplete_2x,1.5,111,0.8278982166896652,0.8957180412118323,0.16533115310829488
0,gate,overcomplete_2x,2.0,111,0.8517750360668033,0.9151802461235943,0.15729752004514286
0,gate,overcomplete_2x,2.5,111,0.868265969557,0.9298547494948655,0.1519301946337591
0,gate,overcomplete_2x,3.0,111,0.8813953780585975,0.9408696085054926,0.14591753012166378
0,gate,overcomplete_2x,4.0,111,0.9007814176204167,0.9545167062507571,0.13470685509383643
0,gate,pca,0.0,111,0.0,0.0,0.0
0,gate,pca,0.05,111,0.4988055745650007,0.5549765262097729,0.16433415401009296
0,gate,pca,0.1,111,0.614176280812259,0.6664944745563909,0.19225649779404946
0,gate,pca,0.2,111,0.6851164190165459,0.7501204629340368,0.1885286755371802
0,gate,pca,0.3,111,0.7231237049093172,0.7888185426657259,0.18534414690819787
0,gate,pca,0.5,111,0.7832295407331367,0.8455193846198407,0.17535860471933556
0,gate,pca,0.75,111,0.8213535114535784,0.8859574377947951,0.16905763096310963
0,gate,pca,1.0,111,0.8475783339529899,0.9077181580568728,0.16330939252623797
0,gate,pca,1.25,111,0.8647159549038909,0.9270432323744366,0.15787958991508066
0,gate,pca,1.5,111,0.8807238992205128,0.9420613798045976,0.15256752846462743
0,gate,pca,2.0,111,0.903643433698599,0.9616542779885495,0.14283745001369538
0,gate,pca,2.5,111,0.9181336876762971,0.9740000690943161,0.13560294596979625
0,gate,pca,3.0,111,0.9295095305259453,0.9814857600816679,0.12883877096346982
0,gate,pca,4.0,111,0.9440934854793817,0.9890331679228477,0.11505690040957123
0,gate,progressive_best,0.0,111,0.0,0.0,0.0
0,gate,progressive_best,0.05,111,0.4118316841303698,0.4348833253023875,0.16137295835796914
0,gate,progressive_best,0.1,111,0.5640934275033418,0.5972616570465807,0.1779957253199518
0,gate,progressive_best,0.2,111,0.6718695255994952,0.7352362830973589,0.18373396238410644
0,gate,progressive_best,0.3,111,0.7351608874199489,0.8155553974634805,0.18806611512006122
0,gate,progressive_best,0.5,111,0.7931547089003949,0.8696078832008554,0.18460854039320615
0,gate,progressive_best,0.75,111,0.8302038216876848,0.8992657146647219,0.1757764853884283
0,gate,progressive_best,1.0,111,0.8618469862352488,0.9236628768032178,0.16289683485449286
0,gate,progressive_best,1.25,111,0.8870896333827587,0.9475404269082167,0.15686830002135996
0,gate,progressive_best,1.5,111,0.9029621526483582,0.9582861318027031,0.146100888765512
0,gate,progressive_best,2.0,111,0.928051697151969,0.9727993698833681,0.12051585124762174
0,gate,progressive_best,2.5,111,0.9533243600456651,0.9876048332990977,0.0926196851892408
0,gate,progressive_best,3.0,111,0.9638272696639055,0.9927627132706505,0.07763365568151614
0,gate,progressive_best,4.0,111,0.9807954478759526,0.9960173141653561,0.04297608009858735
0,gate,random,0.0,111,0.0,0.0,0.0
0,gate,random,0.05,111,0.010741837571001226,0.02599695110750666,0.11261058809150147
0,gate,random,0.1,111,0.05265837237870275,0.061167801140436295,0.08366062621556404
0,gate,random,0.2,111,0.10014692151371057,0.09853606511256674,0.07700482472335166
0,gate,random,0.3,111,0.12606642644122676,0.12823582371533226,0.07833164087002555
0,gate,random,0.5,111,0.17338398390493626,0.170345941587701,0.09756784172145634
0,gate,random,0.75,111,0.20350309374946346,0.214675001013229,0.13300742826009057
0,gate,random,1.0,111,0.2218583789769666,0.2574233856624556,0.1977216378462917
0,gate,random,1.25,111,0.25070108611352093,0.2794562448219189,0.22510387583699337
0,gate,random,1.5,111,0.2751736226796984,0.3177536841197758,0.2715716574584469
0,gate,random,2.0,111,0.3287029482928039,0.3751996241899169,0.26312153545270067
0,gate,random,2.5,111,0.3862378309055666,0.42538859554706965,0.200820424278296
0,gate,random,3.0,111,0.4361634525804337,0.4668653873488815,0.1699264888573165
0,gate,random,4.0,111,0.514701739047894,0.5296078965919568,0.11522707833773514
0,gate,two_view_oracle,0.0,111,0.0,0.0,0.0
0,gate,two_view_oracle,0.05,111,0.541289171261078,0.5792211915664904,0.1718242344325669
0,gate,two_view_oracle,0.1,111,0.6591465267482987,0.7259186526072984,0.18375532624913046
0,gate,two_view_oracle,0.2,111,0.730969937556111,0.7997812074661551,0.1803379269582924
0,gate,two_view_oracle,0.3,111,0.7682544582486015,0.8377910342662801,0.17841061818349618
0,gate,two_view_oracle,0.5,111,0.8204451506361299,0.8914173211382044,0.17011515949119665
0,gate,two_view_oracle,0.75,111,0.8532800313343852,0.9209608965132592,0.16152578730790954
0,gate,two_view_oracle,1.0,111,0.8760607002249002,0.938128486075001,0.1526051147978394
0,gate,two_view_oracle,1.25,111,0.8919422754675228,0.9498976029303858,0.14376865466151523
