layer,projection,budget_bpw,invocations,median_recovery,p10_recovery,p90_recovery
10,down,3.0,43,0.7869089545724708,0.7231559810821875,0.8846909991544043
10,down,4.0,43,0.9209457032180774,0.8284996067099415,0.9649803069886767
10,gate,0.0,43,0.0,0.0,0.0
10,gate,0.05,43,0.28749387153906714,0.12609088224689974,0.4388157276057793
10,gate,0.1,43,0.3710531969505777,0.14800812114652204,0.5299349176550578
10,gate,0.2,43,0.4329255296260276,0.187321392975683,0.5877866671359353
10,gate,0.3,43,0.47318213571121726,0.2200585382791916,0.6408798689209529
10,gate,0.5,43,0.5276645721579134,0.28269779566352976,0.6951111815959838
10,gate,0.75,43,0.5686405587233118,0.3400969915134177,0.7180675736671205
10,gate,1.0,43,0.5843624499249592,0.37630025360858715,0.7319593675517899
10,gate,1.25,43,0.6073749421598267,0.4262656039199713,0.7572486069518058
10,gate,1.5,43,0.6309096543481758,0.44450817272375437,0.7759754701723002
10,gate,2.0,43,0.6800476214962659,0.5203192111141786,0.8005292808265193
10,gate,2.5,43,0.7324011954476762,0.5759681686665301,0.839691209375218
10,gate,3.0,43,0.7833685254419094,0.6141504687077592,0.8579757403146695
10,gate,4.0,43,0.8636168022656469,0.7862639982447549,0.9309804315105918
10,up,0.0,43,0.0,0.0,0.0
10,up,0.05,43,0.18851574833708074,0.07936476662443717,0.3088273172590332
10,up,0.1,43,0.2546155438032791,0.13430261038684174,0.43869171830926135
10,up,0.2,43,0.3531893074238659,0.17330886362490114,0.5164887349368549
10,up,0.3,43,0.37745935343620673,0.213203337447092,0.5517300422894434
10,up,0.5,43,0.4480184790725683,0.25295019994712026,0.620791558243806
10,up,0.75,43,0.4884367832423049,0.30304668932656265,0.6666878695598142
10,up,1.0,43,0.5298004028442787,0.33208915620973944,0.6998421826439742
10,up,1.25,43,0.5486727054897801,0.3600737507317487,0.7210367114839447
10,up,1.5,43,0.5735226593675571,0.40173051066246246,0.7415111878657813
10,up,2.0,43,0.636589018347844,0.45444761937805783,0.7801940055723287
10,up,2.5,43,0.7081438974881573,0.5380688420234838,0.810314563365185
10,up,3.0,43,0.7467886156178607,0.6238061829062603,0.8418037724481265
10,up,4.0,43,0.8581759322084704,0.7778388331648592,0.9239730189092177
20,down,0.0,136,0.0,0.0,0.0
20,down,0.05,136,0.12406624336350913,0.0,0.3777870198078834
20,down,0.1,136,0.2356894888688557,0.039792264762759155,0.5247542069583286
20,down,0.2,136,0.32993726157294495,0.07453723363756598,0.5720036278004372
20,down,0.3,136,0.3717201348983611,0.15622030293129013,0.6071505148056877
20,down,0.5,136,0.4477052948777848,0.24607000607086027,0.6561137476470179
20,down,0.75,136,0.4953496798980473,0.25820209921723386,0.7093075442014287
20,down,1.0,136,0.5443017754476627,0.30847632215843523,0.7546945427827114
20,down,1.25,136,0.5935838609139323,0.3564904287053589,0.78701063614996
20,down,1.5,136,0.6062353186940022,0.42267660976547394,0.8091424831183925
20,down,2.0,136,0.6836547614409816,0.5066950031033001,0.8331430948995849
20,down,2.5,136,0.743366496551269,0.5886583435151965,0.8582205913057495
20,down,3.0,136,0.8097679172331885,0.6479165743938112,0.8976158977313163
20,down,4.0,136,0.9212984607121656,0.823898231846824,0.9636054277509793
20,gate,0.0,136,0.0,0.0,0.0
20,gate,0.05,136,0.37533640507048943,0.2272708314383366,0.4940196366114643
20,gate,0.1,136,0.4300411573550041,0.2695767504458732,0.5670008573887678
20,gate,0.2,136,0.46079989807562144,0.3080699125914406,0.6108197534152495
20,gate,0.3,136,0.4776014480535128,0.3241333510462337,0.6433023620580921
20,gate,0.5,136,0.5179960421299459,0.3676151109965104,0.6794646898725017
20,gate,0.75,136,0.5497982396706098,0.40287378309974287,0.7032975569910591
20,gate,1.0,136,0.5820587877381178,0.4217538907486731,0.731924861761887
20,gate,1.25,136,0.5970837949550419,0.44605198487999315,0.7459695896484844
20,gate,1.5,136,0.6215657086816205,0.474496526609012,0.7641041502614468
20,gate,2.0,136,0.6616768697044803,0.5256745512421882,0.7935085499595518
20,gate,2.5,136,0.7244327122704858,0.5890710477196871,0.8368594415554698
20,gate,3.0,136,0.7522461131444342,0.6301133849603916,0.8597246899581809
20,gate,4.0,136,0.8539501370628757,0.7474547926355526,0.9270132538311504
20,up,0.0,136,0.0,0.0,0.0
20,up,0.05,136,0.17722040597925665,0.07175857860509771,0.3074300538884059
20,up,0.1,136,0.2355629543427324,0.098514122887912,0.3886980971680574
20,up,0.2,136,0.2818032027187346,0.12136861701704826,0.4564543370771405
20,up,0.3,136,0.3119161363590776,0.13610813435461866,0.4936818616606505
20,up,0.5,136,0.3588258192037461,0.1864999576178436,0.5469347795693484
20,up,0.75,136,0.40232892200477505,0.2188410577484753,0.5899282014045693
20,up,1.0,136,0.44055369101451686,0.2548791691320899,0.6189224378628669
20,up,1.25,136,0.46770725327855933,0.28465632281719155,0.6455213340417867
20,up,1.5,136,0.4907461172110513,0.32777632169604043,0.6640320667576525
20,up,2.0,136,0.5534707347697525,0.4073792235115232,0.693454520861494
20,up,2.5,136,0.6777815934699238,0.4897897337559513,0.7956040269952616
20,up,3.0,136,0.7109199038760512,0.547794286383386,0.7986580373992918
20,up,4.0,136,0.8054475215972554,0.711922196995793,0.8942614077703765
30,down,0.0,43,0.0,0.0,0.0
30,down,0.05,43,0.1394207516942969,0.0,0.4585337330599567
30,down,0.1,43,0.3330567090629988,0.07062559559940726,0.6480761671315134
30,down,0.2,43,0.4145629974150069,0.1206266841201691,0.7000948673685019
30,down,0.3,43,0.48344186922737165,0.155628941447081,0.7528936462393697
30,down,0.5,43,0.504962836486716,0.15448601018462566,0.7790538784086701
30,down,0.75,43,0.5754304318335774,0.20795294464208217,0.8156817028070092
30,down,1.0,43,0.6007510870209922,0.3351281012503129,0.8522338055709539
30,down,1.25,43,0.6501999450470948,0.4549505069619267,0.8525466429030244
30,down,1.5,43,0.6955944970994223,0.4346652555583449,0.8725532138664696
30,down,2.0,43,0.7207137331846102,0.4830776816346146,0.906470188128295
30,down,2.5,43,0.8172116114191789,0.6231521631502263,0.9343745386148093
30,down,3.0,43,0.8604720906880593,0.7077088810735889,0.9452123541893266
30,down,4.0,43,0.9225150037165156,0.8376799770135184,0.971536750135448
30,gate,0.0,43,0.0,0.0,0.0
30,gate,0.05,43,0.2691595205397862,0.14143368039358686,0.45037038134747875
30,gate,0.1,43,0.33438741134474914,0.2083464825736474,0.5208655638357355
30,gate,0.2,43,0.4036620524330601,0.23786208032476605,0.5764544844838687
30,gate,0.3,43,0.4279996500734933,0.27162259358666363,0.635023512930489
30,gate,0.5,43,0.49028202285636346,0.3290004813178272,0.7011557582557617
30,gate,0.75,43,0.5278274203304045,0.37758532537717143,0.7405341014869427
30,gate,1.0,43,0.5521590637637298,0.4343269829327846,0.7657449275039517
30,gate,1.25,43,0.5997002994888636,0.4576070118204276,0.7800932488991799
30,gate,1.5,43,0.6172748637429264,0.5035089705216036,0.7930788012623767
30,gate,2.0,43,0.6887642587238003,0.5557164786398039,0.8067924543200524
30,gate,2.5,43,0.729489755419418,0.6031015188048386,0.8484121195895894
30,gate,3.0,43,0.766040259964116,0.6424272729703253,0.8670173549248096
30,gate,4.0,43,0.8474969516583419,0.7787958164787484,0.929204362171575
30,up,0.0,43,0.0,0.0,0.0
30,up,0.05,43,0.15388113844163942,0.08929412439083591,0.26319105446107055
30,up,0.1,43,0.2384916660458556,0.13566877375887043,0.42074687899991614
30,up,0.2,43,0.31151289723641296,0.19909118376832385,0.5065318121920931
30,up,0.3,43,0.35549096680798176,0.23370375678736569,0.5688434047136964
30,up,0.5,43,0.4192488109554803,0.2899927950815391,0.6444045052380892
30,up,0.75,43,0.46411872715591984,0.3337815893828123,0.7030418957641812
30,up,1.0,43,0.5095532711316522,0.38369949655070545,0.717383370078326
30,up,1.25,43,0.5314679728745536,0.40849737513800966,0.7402374642871953
30,up,1.5,43,0.5569494613555286,0.4301796085201979,0.7584754340811273
30,up,2.0,43,0.6182987114942156,0.49939683929095025,0.7787366551045307
30,up,2.5,43,0.6677181977902777,0.5652903428690653,0.8083484677311817
30,up,3.0,43,0.7078124698373486,0.6276677157880756,0.8291324531626817
30,up,4.0,43,0.8276493401261366,0.7218875160340172,0.8960941051048952
39,down,0.0,153,0.0,0.0,0.0
39,down,0.05,153,0.0774879781917378,0.0,0.2905197301023857
39,down,0.1,153,0.20608470070450213,-0.00191574104081315,0.4244108390023155
39,down,0.2,153,0.2758424836182696,0.030107490763032246,0.50004091302094
39,down,0.3,153,0.32172118581969955,0.08013914337633198,0.5537111653257537
39,down,0.5,153,0.4056325633993688,0.1270397713898316,0.6537096887449738
39,down,0.75,153,0.48548019420191335,0.14758387805120354,0.7147987718855127
39,down,1.0,153,0.5488956211820581,0.2536831342888139,0.7642296842028733
39,down,1.25,153,0.6019661971885641,0.28811273771857915,0.789320998933371
39,down,1.5,153,0.6139811701553369,0.3293149896060933,0.8267883728848684
39,down,2.0,153,0.6889131041375367,0.40464454968580416,0.8570455746692917
39,down,2.5,153,0.731036976855739,0.48980229657723157,0.8974063481491612
