layer,method,budget_bpw,invocations,recovery_median,recovery_p10,relative_error_median,physical_bpw_median,gate_bpw_median,up_bpw_median,down_bpw_median
0,generalized_generalized_native,2.5,67,0.9759198950200983,0.8090085987604749,0.15166567265987396,2.5,2.0,2.0,3.0
0,generalized_generalized_native,3.0,67,0.985690105094073,0.8513164861512155,0.12931060791015625,3.0,2.5,2.5,4.0
0,generalized_generalized_native,4.0,67,0.9873368531407504,0.9116383323964741,0.10047487914562225,3.6666666666666665,4.0,4.0,4.0
0,global_multi_view_oracle,0.0,67,0.0,0.0,0.8617645502090454,0.0,0.0,0.0,0.0
0,global_multi_view_oracle,0.25,67,0.6546901722109262,0.35672175621264546,0.5685732960700989,0.23958333333333334,0.09375,0.1875,0.46875
0,global_multi_view_oracle,0.5,67,0.7528569629908028,0.4868814679201222,0.4737715721130371,0.4895833333333333,0.1875,0.28125,0.75
0,global_multi_view_oracle,0.75,67,0.8282721849574448,0.5460134200259327,0.40042921900749207,0.7395833333333334,0.5,0.5,1.0
0,global_multi_view_oracle,1.0,67,0.8934995899491928,0.58497568696481,0.33271870017051697,0.9895833333333334,0.75,0.75,1.25
0,global_multi_view_oracle,1.25,67,0.9308694399878696,0.6404178494165018,0.2627298831939697,1.2395833333333333,1.0,1.25,1.5
0,global_multi_view_oracle,1.5,67,0.9563334892956885,0.6836513606952512,0.2222701758146286,1.5,1.0,1.25,2.0
0,global_multi_view_oracle,2.0,67,0.974453041076192,0.7497423892979629,0.1634029746055603,2.0,1.5,1.5,3.0
0,global_multi_view_oracle,2.5,67,0.9831410631916734,0.8133010401288029,0.1330990195274353,2.5,2.0,2.0,3.96875
0,global_multi_view_oracle,3.0,67,0.9880988506507618,0.8712930346185803,0.10849452018737793,3.0,2.5,2.5,4.0
0,global_multi_view_oracle,4.0,67,0.9915302676462939,0.927055985945887,0.09254983067512512,3.9895833333333335,4.0,4.0,4.0
0,learned_learned_native,0.0,67,0.0,0.0,0.8617645502090454,0.0,0.0,0.0,0.0
0,learned_learned_native,0.25,67,0.6316908384714417,0.3504005776269501,0.5874678492546082,0.23958333333333334,0.09375,0.09375,0.46875
0,learned_learned_native,0.5,67,0.704176973466295,0.45523044140759134,0.497165322303772,0.4791666666666667,0.1875,0.28125,0.71875
0,learned_learned_native,0.75,67,0.8029988364978887,0.49921239919959415,0.4321630895137787,0.7291666666666666,0.28125,0.75,1.21875
0,learned_learned_native,1.0,67,0.841405543081779,0.5551835046128684,0.3850552439689636,0.9791666666666666,0.5,0.75,1.5
0,learned_learned_native,1.25,67,0.8854369498691559,0.5982603375961598,0.34787529706954956,1.2395833333333333,0.75,1.0,1.96875
0,learned_learned_native,1.5,67,0.9052066028125068,0.6436268443581338,0.29693859815597534,1.4895833333333333,1.0,1.25,2.0
0,learned_learned_native,2.0,67,0.9470112945087639,0.7264462779872878,0.22427521646022797,1.9895833333333333,1.5,1.5,2.5
0,learned_learned_native,2.5,67,0.9659915185472301,0.787241141153921,0.18792884051799774,2.5,2.0,2.5,3.0
0,learned_learned_native,3.0,67,0.9759764975871672,0.8293767381599922,0.15018852055072784,3.0,2.5,2.5,3.96875
0,learned_learned_native,4.0,67,0.9874990361347004,0.867175551092082,0.11818203330039978,3.9895833333333335,4.0,4.0,4.0
0,pca_pca_native,0.0,67,0.0,0.0,0.8617645502090454,0.0,0.0,0.0,0.0
0,pca_pca_native,0.25,67,0.5984084042321711,0.3516616014320208,0.5822917819023132,0.23958333333333334,0.09375,0.09375,0.5
0,pca_pca_native,0.5,67,0.7014877110239351,0.43140257187690917,0.4994916617870331,0.4791666666666667,0.1875,0.5,0.75
0,pca_pca_native,0.75,67,0.8006511575090975,0.49353967048294417,0.43508437275886536,0.7395833333333334,0.5,0.75,0.96875
0,pca_pca_native,1.0,67,0.8710995173373678,0.539594247862647,0.3745710849761963,0.9895833333333334,0.71875,1.0,1.46875
0,pca_pca_native,1.25,67,0.9067712250502487,0.585446171811925,0.3194885849952698,1.2395833333333333,1.0,1.0,1.5
0,pca_pca_native,1.5,67,0.9297015579094952,0.6275957165148612,0.24826385080814362,1.5,1.25,1.25,2.0
