layer,expert_id,expert_stratum,projection,method,budget_bpw,count,mean,median
39,55,median,up,two_view_oracle,2.0,4,0.5596523452825685,0.5691546193475838
39,55,median,up,two_view_oracle,2.5,4,0.5931182130772706,0.5926816232254306
39,55,median,up,two_view_oracle,3.0,4,0.6211675828331008,0.6216174473930122
39,55,median,up,two_view_oracle,4.0,4,0.6615943466397943,0.6625432762591632
39,70,hot,down,generalized,0.0,23,0.0,0.0
39,70,hot,down,generalized,0.05,23,0.0,0.0
39,70,hot,down,generalized,0.1,23,0.4177606292560127,0.49044357754112144
39,70,hot,down,generalized,0.2,23,0.46834572985300327,0.5219428509609239
39,70,hot,down,generalized,0.3,23,0.48375423126609635,0.5330470506307903
39,70,hot,down,generalized,0.5,23,0.5216502067125076,0.5382695148498853
39,70,hot,down,generalized,0.75,23,0.570021822128804,0.6326103669020486
39,70,hot,down,generalized,1.0,23,0.610318740434324,0.6616223299788571
39,70,hot,down,generalized,1.25,23,0.6304187869943821,0.7046337102859774
39,70,hot,down,generalized,1.5,23,0.6601140775475021,0.7376225516002877
39,70,hot,down,generalized,2.0,23,0.6900695536793097,0.7602985918956379
39,70,hot,down,generalized,2.5,23,0.7179286919417066,0.8001389166856354
39,70,hot,down,generalized,3.0,23,0.7584113128248301,0.7852471909911081
39,70,hot,down,generalized,4.0,23,0.7975571292878797,0.8360881773579429
39,70,hot,down,learned_s11,0.0,23,0.0,0.0
39,70,hot,down,learned_s11,0.05,23,0.0,0.0
39,70,hot,down,learned_s11,0.1,23,0.41637275558914405,0.49226132304530035
39,70,hot,down,learned_s11,0.2,23,0.47277093857905195,0.492658838322643
39,70,hot,down,learned_s11,0.3,23,0.5013851462163688,0.5350223572037105
39,70,hot,down,learned_s11,0.5,23,0.5414205636148235,0.5899194559303789
39,70,hot,down,learned_s11,0.75,23,0.5709104956414555,0.6037939410686839
39,70,hot,down,learned_s11,1.0,23,0.5774139226980395,0.6040914308137034
39,70,hot,down,learned_s11,1.25,23,0.6065973790101176,0.6085574500010276
39,70,hot,down,learned_s11,1.5,23,0.6088300353680873,0.5971992181523862
39,70,hot,down,learned_s11,2.0,23,0.6652624465337124,0.6808331531318292
39,70,hot,down,learned_s11,2.5,23,0.6991342179631542,0.7369917986618292
39,70,hot,down,learned_s11,3.0,23,0.7382186514123769,0.7693970685526389
39,70,hot,down,learned_s11,4.0,23,0.7940240417651537,0.8148896335428983
39,70,hot,down,learned_s29,0.0,23,0.0,0.0
39,70,hot,down,learned_s29,0.05,23,0.0,0.0
39,70,hot,down,learned_s29,0.1,23,0.4230378760158491,0.5150633442106951
39,70,hot,down,learned_s29,0.2,23,0.4659626147452324,0.5777171741727742
39,70,hot,down,learned_s29,0.3,23,0.48237939718276285,0.5970667579936301
39,70,hot,down,learned_s29,0.5,23,0.5475909588571154,0.6320425414771893
39,70,hot,down,learned_s29,0.75,23,0.594158368901605,0.6805125359139286
39,70,hot,down,learned_s29,1.0,23,0.6371403913840672,0.7256397669118406
39,70,hot,down,learned_s29,1.25,23,0.6636364490002129,0.7683161217080645
39,70,hot,down,learned_s29,1.5,23,0.6621224648534593,0.7604210828848473
39,70,hot,down,learned_s29,2.0,23,0.6960205610668614,0.7994477410417319
39,70,hot,down,learned_s29,2.5,23,0.7254167219902942,0.817781722679934
39,70,hot,down,learned_s29,3.0,23,0.7585439464624157,0.8475804616839497
39,70,hot,down,learned_s29,4.0,23,0.8011842196408824,0.8675801712977171
39,70,hot,down,learned_s47,0.0,23,0.0,0.0
39,70,hot,down,learned_s47,0.05,23,0.0,0.0
39,70,hot,down,learned_s47,0.1,23,0.4152337756569937,0.4706252430285135
39,70,hot,down,learned_s47,0.2,23,0.47918423771126334,0.5868685879997926
39,70,hot,down,learned_s47,0.3,23,0.5043716086469058,0.5725937793157116
39,70,hot,down,learned_s47,0.5,23,0.5386646814361985,0.6222000308263156
39,70,hot,down,learned_s47,0.75,23,0.5762826570054773,0.6273955956555544
39,70,hot,down,learned_s47,1.0,23,0.6102523027263421,0.6637800036351998
39,70,hot,down,learned_s47,1.25,23,0.6262181050605422,0.6660001199384659
39,70,hot,down,learned_s47,1.5,23,0.631763592539114,0.7278276147433269
39,70,hot,down,learned_s47,2.0,23,0.673814796408006,0.7280553720081382
