training_cohort,basis_variant,rank,synthesis_encoding,n,delta_gate_relative_mse_median,delta_up_relative_mse_median,hidden_q4_relative_mse_p10,hidden_q4_relative_mse_median,hidden_q4_relative_mse_p90,unit_score_ndcg_192_median,utility_weighted_recall_192_p10,utility_weighted_recall_192_median,predictor_runtime_ms_median
combined_exact_and_cross_train,layer_shared_joint_gate_up,64,int8_per_row,69,0.6244405830103699,0.6714514683588478,0.07733602302555542,0.12777955637397742,0.1793075317406546,0.8547803653162596,0.8447812736102188,0.9142955677859638,0.16245990991592407
combined_exact_and_cross_train,layer_shared_joint_gate_up,128,fp16,69,0.5720175552529527,0.623980713546447,0.060801690473340476,0.11636632955083469,0.16197598230027138,0.8751814548715052,0.8523967488283533,0.9194031440994442,0.1916307955980301
combined_exact_and_cross_train,layer_shared_joint_gate_up,128,fp8_e4m3fn_per_row,69,0.5721581551850032,0.6255640498862802,0.06112964824527009,0.1159667734761746,0.16207692760173442,0.8745117908013355,0.8525366322495698,0.9169486772151565,0.1911502331495285
combined_exact_and_cross_train,layer_shared_joint_gate_up,128,int8_per_row,69,0.5718155994335846,0.623756834399888,0.06105226583307479,0.11630098005681708,0.16195040235745436,0.8755150628032341,0.8518387541492146,0.9200680942251811,0.19302219152450562
combined_exact_and_cross_train,layer_shared_separate_gate_up,8,fp16,69,0.7611588440022337,0.8041260170262934,0.09608293047663193,0.15202822788614564,0.20443579503783574,0.8110491413436143,0.8219335619736511,0.8937984485590403,0.14001131057739258
combined_exact_and_cross_train,layer_shared_separate_gate_up,8,fp8_e4m3fn_per_row,69,0.7610952799866229,0.8037755687068519,0.09608315263334531,0.15202189476417458,0.20443654720000065,0.8117728252353706,0.8214718362949897,0.8962344245874236,0.13795122504234314
combined_exact_and_cross_train,layer_shared_separate_gate_up,8,int8_per_row,69,0.7610857519230019,0.8042507114396069,0.0959352039309286,0.15200712778439138,0.20439822604614152,0.8111742970298904,0.8218486807604763,0.8937984485590403,0.13699010014533997
combined_exact_and_cross_train,layer_shared_separate_gate_up,16,fp16,69,0.7107074340622208,0.7647293926672951,0.0904759571363132,0.14441405873629118,0.19443589370311262,0.8359311969982527,0.8337675755284458,0.8957634919995361,0.14298968017101288
combined_exact_and_cross_train,layer_shared_separate_gate_up,16,fp8_e4m3fn_per_row,69,0.7112809310288132,0.7635351294111297,0.0904720328344778,0.14417375045624747,0.19461301771871525,0.8360164857286178,0.83359027110376,0.8957634919995364,0.14316104352474213
combined_exact_and_cross_train,layer_shared_separate_gate_up,16,int8_per_row,69,0.710707990860306,0.7648000781228594,0.09039981781627603,0.14444769597094254,0.19445896421871006,0.8358353918948034,0.8337675755284458,0.8957634919995361,0.14256127178668976
combined_exact_and_cross_train,layer_shared_separate_gate_up,32,fp16,69,0.6745593753057935,0.6984764934338786,0.08200003960096647,0.13252737289081074,0.1858437863114417,0.8477946421327927,0.8499266953965193,0.8977367758729258,0.15633180737495422
combined_exact_and_cross_train,layer_shared_separate_gate_up,32,fp8_e4m3fn_per_row,69,0.6750600738642112,0.6983909723773656,0.08209780357044642,0.13289859128724504,0.18593479034114352,0.8385435370288294,0.8494635795958754,0.9031918731974923,0.15489012002944946
combined_exact_and_cross_train,layer_shared_separate_gate_up,32,int8_per_row,69,0.6747020112194001,0.6984550704285617,0.08216102795737167,0.13243456340847606,0.18585230646167492,0.8478429184380989,0.8484955195433964,0.8987050470694271,0.1554396003484726
combined_exact_and_cross_train,layer_shared_separate_gate_up,64,fp16,69,0.6157600508630606,0.6498101676303979,0.07664410480139014,0.12716110047119683,0.1749918167493536,0.8552662935707324,0.8439825244544841,0.9044569751205169,0.18310919404029846
combined_exact_and_cross_train,layer_shared_separate_gate_up,64,fp8_e4m3fn_per_row,69,0.6170297840800866,0.6499303419980685,0.07659377525267792,0.12744570631837945,0.175220882118867,0.8548685665756733,0.8441315894291174,0.9055798308793496,0.1830998808145523
combined_exact_and_cross_train,layer_shared_separate_gate_up,64,int8_per_row,69,0.616137516268094,0.6500166487837966,0.07670196387804351,0.12682643815837213,0.1751221146542446,0.854864784307875,0.8439825244544841,0.9044569751205169,0.18146075308322906
combined_exact_and_cross_train,layer_shared_separate_gate_up,128,fp16,69,0.554996255029262,0.6016920112099887,0.06399293509687108,0.11213653091449723,0.15850638326957203,0.8745575440329468,0.8579582687715591,0.9191756808372845,0.23034028708934784
combined_exact_and_cross_train,layer_shared_separate_gate_up,128,fp8_e4m3fn_per_row,69,0.5547905408393755,0.6014027226349258,0.06384594617513274,0.11294498094372939,0.15874998851559138,0.8733176384337065,0.8573668952998181,0.9193046767993867,0.23062899708747864
combined_exact_and_cross_train,layer_shared_separate_gate_up,128,int8_per_row,69,0.5545208522342676,0.6012135188617967,0.0638632181756988,0.11208895381089763,0.15865029879767964,0.8712948355164516,0.8579582687715591,0.9193349812014481,0.22811256349086761
combined_exact_and_cross_train,per_expert_joint_gate_up_upper_bound,8,fp16,69,0.752281958280321,0.7946480451598693,0.0951407167909913,0.15281767876805782,0.2059602846467308,0.8149974123374042,0.8208509961945563,0.8977118751951662,0.13645179569721222
combined_exact_and_cross_train,per_expert_joint_gate_up_upper_bound,16,fp16,69,0.6901081962348448,0.7458687438130979,0.08525697841232249,0.13903489731033056,0.19120364400241488,0.8255307931482561,0.841463822927906,0.9015273609942103,0.14115311205387115
combined_exact_and_cross_train,per_expert_joint_gate_up_upper_bound,32,fp16,69,0.6404359758097633,0.6990605083625789,0.08127357457270366,0.13078096188461488,0.18599177392950447,0.8503323113180032,0.8466375033014474,0.9071079406596348,0.15041977167129517
