representation_label,layer,physical_budget_bpw,recovery_n,recovery_p10,recovery_median,recovery_p90,recovery_min,recovery_max,physical_pages_median,physical_bytes_median,physical_bpw_median,logical_actions_median,logical_bytes_median,logical_bpw_median,page_amplification_median,selector_runtime_ms_median,selector_bytes_read_median,selector_metadata_bpw_median,storage_multiplier_median,gate_up_actions_median,down_actions_median,path_actions_evaluated_median
coherent complete-unit packet,0,0.5,7,0.9782517022579726,0.9880463931518085,0.9950695249168491,0.967339006353572,0.9960808941884393,384.0,196608.0,0.5,128.0,196608.0,0.5,1.0,3.1239595264196396,8388608.0,0.0,1.4705882352941178,128.0,128.0,
coherent complete-unit packet,0,0.75,7,0.999145275903319,0.9996297957236909,0.9998573570275501,0.9990944935967577,0.9999151822558473,576.0,294912.0,0.75,192.0,294912.0,0.75,1.0,2.980908378958702,8388608.0,0.0,1.4705882352941178,192.0,192.0,
coherent complete-unit packet,0,1.0,7,1.0,1.0,1.0,1.0,1.0,768.0,393216.0,1.0,256.0,393216.0,1.0,1.0,3.9602424949407578,8388608.0,0.0,1.4705882352941178,256.0,256.0,
coherent complete-unit packet,4,0.5,16,0.7112981103095819,0.8206272901172104,0.9067930078756492,0.5693636976005692,0.931926707350743,384.0,196608.0,0.5,128.0,196608.0,0.5,1.0,2.113496884703636,8388608.0,0.0,1.4705882352941178,128.0,128.0,
coherent complete-unit packet,4,0.75,16,0.8372801566692863,0.8887556964766804,0.9525220320988761,0.7159597537371793,0.9642969596860312,576.0,294912.0,0.75,192.0,294912.0,0.75,1.0,2.9989145696163177,8388608.0,0.0,1.4705882352941178,192.0,192.0,
coherent complete-unit packet,4,1.0,16,0.9022552869571401,0.9477832379240615,0.9746771144635675,0.8798964100086714,0.9824270320731345,768.0,393216.0,1.0,256.0,393216.0,1.0,1.0,3.9971768856048584,8388608.0,0.0,1.4705882352941178,256.0,256.0,
coherent complete-unit packet,20,0.5,16,0.6295927335034008,0.7613705320243909,0.8613617955449051,0.5606038801680924,0.8877669928950052,384.0,196608.0,0.5,128.0,196608.0,0.5,1.0,2.067781053483486,8388608.0,0.0,1.4705882352941178,128.0,128.0,
coherent complete-unit packet,20,0.75,16,0.8156769606928759,0.876036121765554,0.9324330132874629,0.759600927972292,0.9428301330123735,576.0,294912.0,0.75,192.0,294912.0,0.75,1.0,2.868923358619213,8388608.0,0.0,1.4705882352941178,192.0,192.0,
coherent complete-unit packet,20,1.0,16,0.9104990848269257,0.9335095203786861,0.9596257644605709,0.8751018392051054,0.965885894504138,768.0,393216.0,1.0,256.0,393216.0,1.0,1.0,4.0111783891916275,8388608.0,0.0,1.4705882352941178,256.0,256.0,
coherent complete-unit packet,39,0.5,16,0.8734362264293385,0.9202559526780946,0.9834808467027667,0.7715711741676844,0.9943487411868435,384.0,196608.0,0.5,128.0,196608.0,0.5,1.0,2.0695822313427925,8388608.0,0.0,1.4705882352941178,128.0,128.0,
coherent complete-unit packet,39,0.75,16,0.9267777644159286,0.9588592729505234,0.992652736602595,0.8783919101021459,0.997160628840163,576.0,294912.0,0.75,192.0,294912.0,0.75,1.0,2.97520961612463,8388608.0,0.0,1.4705882352941178,192.0,192.0,
coherent complete-unit packet,39,1.0,16,0.9562775867541673,0.9839870965330657,0.9967124902248232,0.950762278256396,0.9987353820473867,768.0,393216.0,1.0,256.0,393216.0,1.0,1.0,4.202459007501602,8388608.0,0.0,1.4705882352941178,256.0,256.0,
exact 64x16 tile,0,0.25,7,0.8936262070447023,0.9297874692908217,0.9661065186365941,0.8721368032623713,0.9746806844038041,192.0,98304.0,0.25,192.0,98304.0,0.25,1.0,1374.1165343672037,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,0,0.5,7,0.9421704443749687,0.9623730580653398,0.9838785226311006,0.916481346395603,0.9884590558297411,384.0,196608.0,0.5,384.0,196608.0,0.5,1.0,1374.1165343672037,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,0,0.75,7,0.9436447300898764,0.9672936701804933,0.9848117168263387,0.9178424523981823,0.9884800247324037,576.0,294912.0,0.75,576.0,294912.0,0.75,1.0,1374.1165343672037,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,0,1.0,7,0.9451429017779956,0.9676346445685953,0.9852471914875187,0.9200347981631689,0.9895688434745401,768.0,393216.0,1.0,768.0,393216.0,1.0,1.0,1374.1165343672037,25174016.0,0.0,1.4705882352941178,,,
