group,projection,basis,stage,invocations,recovery_p10,recovery_median,recovery_p90
layer 0,gate,learned_orthogonal,3,21,0.9972084763048669,0.9983942048279074,0.9986186713118176
layer 0,gate,native,1,21,0.8943211971782482,0.9026775067323158,0.9295610028080468
layer 0,gate,native,2,21,0.9871280264234409,0.9887593629867807,0.9934550587761981
layer 0,gate,native,3,21,0.9979021121392175,0.9982644208588577,0.9991136456680787
layer 0,gate,overcomplete_2x,1,21,0.9252059768097538,0.9424644444329252,0.9489919332664836
layer 0,gate,overcomplete_2x,2,21,0.9922499168463123,0.9936023931863166,0.9953797930549236
layer 0,gate,overcomplete_2x,3,21,0.998791940456237,0.9991111523372648,0.999549426638768
layer 0,gate,pca,1,21,0.8993851136106505,0.9116936821733977,0.9211011429258369
layer 0,gate,pca,2,21,0.9877376852601245,0.9897032622255786,0.99214025284472
layer 0,gate,pca,3,21,0.9979074382149261,0.9985186578795622,0.9992506817199978
layer 0,gate,refit_generalized,1,21,0.8926680228638868,0.8999605198427225,0.9116189234246548
layer 0,gate,refit_generalized,2,21,0.9862671685754568,0.9884961902182343,0.990579331085686
layer 0,gate,refit_generalized,3,21,0.9981202710171927,0.9988460233581501,0.9991186900647511
layer 0,up,butterfly_hadamard_control,1,21,0.4946104014108088,0.7506771538977068,0.8382057892173944
layer 0,up,butterfly_hadamard_control,2,21,0.9402334235275586,0.9662753572337288,0.9700180056071809
layer 0,up,butterfly_hadamard_control,3,21,0.9842904682969582,0.9924294589962975,0.9932854263461152
layer 0,up,generalized,1,21,0.5899968253238157,0.7486091745266625,0.8566949438504641
layer 0,up,generalized,2,21,0.9531533536209489,0.9623333065074383,0.9821017076422388
layer 0,up,generalized,3,21,0.9894121980545418,0.9918296165373037,0.9963877525310155
layer 0,up,learned_orthogonal,1,21,0.5414663927508843,0.7316030637466435,0.8156289806378232
layer 0,up,learned_orthogonal,2,21,0.9271311857580242,0.9539609161127354,0.9655905496784429
layer 0,up,learned_orthogonal,3,21,0.9843306993659636,0.9916551259119023,0.99371608322428
layer 0,up,native,1,21,0.7077869781421946,0.788754754097671,0.8469416907354712
layer 0,up,native,2,21,0.9421181290140115,0.9637649743258689,0.976488191708113
layer 0,up,native,3,21,0.9901996338834056,0.9925121538871173,0.9948456990508426
layer 0,up,overcomplete_2x,1,21,0.7821137179743474,0.8376230401238185,0.890614542107525
layer 0,up,overcomplete_2x,2,21,0.9659819006584401,0.9778887547977728,0.9867595392531129
layer 0,up,overcomplete_2x,3,21,0.9949862715290639,0.995997864153179,0.997183874375359
layer 0,up,pca,1,21,0.7044260102072466,0.8091701070954359,0.8651076503473489
layer 0,up,pca,2,21,0.9545240179224534,0.9706868019024033,0.9783215666811551
layer 0,up,pca,3,21,0.9905677024168689,0.9931269512929565,0.9951813303025595
layer 0,up,refit_generalized,1,21,0.5016983684602419,0.7703282573638033,0.8324442194390476
layer 0,up,refit_generalized,2,21,0.9658986475306574,0.9756667779167209,0.9815297994600491
layer 0,up,refit_generalized,3,21,0.9950780632406494,0.9958990338789205,0.9970725579853976
layers 4/20/39,down,native,1,44,0.863900958974432,0.8724175806877639,0.8792636288207692
layers 4/20/39,down,native,2,44,0.977458351818891,0.9795513199170791,0.9816840338048901
layers 4/20/39,down,native,3,44,0.9947848443352435,0.9952850817483141,0.9961196561265376
layers 4/20/39,down,refit_generalized,1,44,0.8663281022275493,0.87319232322857,0.8786991262224166
layers 4/20/39,down,refit_generalized,2,44,0.9828104054260625,0.9840979389041444,0.9849747759989701
layers 4/20/39,down,refit_generalized,3,44,0.9974591777457601,0.9978983476293816,0.9980474319089535
layers 4/20/39,gate,butterfly_hadamard_control,1,44,0.8589359912079138,0.8771052494426326,0.8962297837916561
layers 4/20/39,gate,butterfly_hadamard_control,2,44,0.9812978921564335,0.9845563554997219,0.98716868885118
layers 4/20/39,gate,butterfly_hadamard_control,3,44,0.9966223070784781,0.9971331559528245,0.9975064360964405
layers 4/20/39,gate,generalized,1,44,0.8809824290998349,0.8918900053412273,0.9061497239399099
layers 4/20/39,gate,generalized,2,44,0.9838084103324756,0.9858247937306518,0.9879212030897698
layers 4/20/39,gate,generalized,3,44,0.9969350174727365,0.9973735415089353,0.9977121055891155
layers 4/20/39,gate,learned_orthogonal,1,44,0.814555659667986,0.8588706789067646,0.8833517545297668
layers 4/20/39,gate,learned_orthogonal,2,44,0.9794665495649127,0.9829220176592095,0.9860214217061254
layers 4/20/39,gate,learned_orthogonal,3,44,0.9965176907437805,0.9971613428002526,0.9974076300902286
layers 4/20/39,gate,native,1,44,0.8734905535313153,0.8885172251488463,0.9091105480984533
layers 4/20/39,gate,native,2,44,0.9798311342313022,0.9837289383907095,0.9875830214591058
layers 4/20/39,gate,native,3,44,0.9955439967075129,0.996674203332582,0.9975408051611985
