projection,stage,comparison,k,cases,recovery_median,recovery_p10,recovery_p90
gate,2,bounded_beam_w64_pool32,16.0,4,0.38050078028516926,0.326629530404717,0.4136945066217713
gate,3,bounded_beam_w16_pool32,1.0,4,0.13138006148908576,0.11908191779727954,0.18968680814614894
gate,3,bounded_beam_w16_pool32,2.0,4,0.2053684715741152,0.16389673476242575,0.22975077714304404
gate,3,bounded_beam_w16_pool32,3.0,4,0.23127554781628512,0.17788284238940186,0.25586787222247015
gate,3,bounded_beam_w16_pool32,4.0,4,0.2487159957886692,0.190350161036277,0.2743795559332055
gate,3,bounded_beam_w16_pool32,5.0,4,0.2653347105430116,0.20156047424609533,0.28974245894086165
gate,3,bounded_beam_w16_pool32,6.0,4,0.27662262663879245,0.21211138969055948,0.3022137529447743
gate,3,bounded_beam_w16_pool32,7.0,4,0.2867648570168711,0.22168102557489783,0.31473849187478936
gate,3,bounded_beam_w16_pool32,8.0,4,0.2967896850502917,0.2307004800593183,0.3256373857446295
gate,3,bounded_beam_w16_pool32,9.0,4,0.3058823479693067,0.2394064917865466,0.335279039858085
gate,3,bounded_beam_w16_pool32,10.0,4,0.31472202736595606,0.24818509198687072,0.343932004923804
gate,3,bounded_beam_w16_pool32,11.0,4,0.32341979806088134,0.25685778581546503,0.3517307493875086
gate,3,bounded_beam_w16_pool32,12.0,4,0.3318346286407597,0.2645065013337745,0.3588736288911535
gate,3,bounded_beam_w16_pool32,13.0,4,0.3384638603565071,0.27106566072229005,0.36626853079484706
gate,3,bounded_beam_w16_pool32,14.0,4,0.3451781608515725,0.2764860823558049,0.373797023810003
gate,3,bounded_beam_w16_pool32,15.0,4,0.35043338894168824,0.2801113346637738,0.3807708043366945
gate,3,bounded_beam_w16_pool32,16.0,4,0.35506727456810105,0.2834014395629077,0.3873490910682439
gate,3,bounded_beam_w64_pool32,1.0,4,0.13138006148908576,0.11908191779727954,0.18968680814614894
gate,3,bounded_beam_w64_pool32,2.0,4,0.2053684715741152,0.16389673476242575,0.22975077714304404
gate,3,bounded_beam_w64_pool32,3.0,4,0.2312755490720892,0.17788284238940186,0.25586787586471044
gate,3,bounded_beam_w64_pool32,4.0,4,0.24871599787217702,0.19035016228638169,0.27437956065334895
gate,3,bounded_beam_w64_pool32,5.0,4,0.26533471430432337,0.20156047602314783,0.28974246399540443
gate,3,bounded_beam_w64_pool32,6.0,4,0.27662262867345705,0.212111391384975,0.30221375747968676
gate,3,bounded_beam_w64_pool32,7.0,4,0.2867648603894344,0.2216810278588356,0.3147384967349736
gate,3,bounded_beam_w64_pool32,8.0,4,0.2967896915632864,0.23070048328046383,0.32563739216668985
gate,3,bounded_beam_w64_pool32,9.0,4,0.3058823560575665,0.2394064934925052,0.33527904698119426
gate,3,bounded_beam_w64_pool32,10.0,4,0.31472203476934313,0.24818509511085762,0.3439320116924548
gate,3,bounded_beam_w64_pool32,11.0,4,0.3234198049603011,0.2568577902579875,0.35173075726224223
gate,3,bounded_beam_w64_pool32,12.0,4,0.33183463607498126,0.2645065069403462,0.35887363667558286
gate,3,bounded_beam_w64_pool32,13.0,4,0.3384638663299742,0.2710656684353783,0.3662685358085647
gate,3,bounded_beam_w64_pool32,14.0,4,0.3451781678369623,0.2764860916710322,0.37379703186992774
gate,3,bounded_beam_w64_pool32,15.0,4,0.3504333977602368,0.28011134494892326,0.3807708131441554
gate,3,bounded_beam_w64_pool32,16.0,4,0.35506728209822563,0.28340144926405375,0.3873490988256657
up,1,bounded_beam_w16_pool32,1.0,4,0.14435371750945397,0.11289496845812125,0.19399010888112833
up,1,bounded_beam_w16_pool32,2.0,4,0.19937066166455375,0.17333989315145856,0.24998337479458976
up,1,bounded_beam_w16_pool32,3.0,4,0.2256662249761891,0.1930315385272828,0.27933605655284105
up,1,bounded_beam_w16_pool32,4.0,4,0.24474738678538266,0.20688833685110997,0.2979134433050251
up,1,bounded_beam_w16_pool32,5.0,4,0.2624585755732477,0.21875700348763405,0.3136213065312991
up,1,bounded_beam_w16_pool32,6.0,4,0.27487604656355086,0.22934507065553622,0.32442325186262977
up,1,bounded_beam_w16_pool32,7.0,4,0.28626506193682355,0.23897147353425235,0.3341665614136375
up,1,bounded_beam_w16_pool32,8.0,4,0.29712179194231814,0.24842044662325624,0.34316508299712883
up,1,bounded_beam_w16_pool32,9.0,4,0.3063030195723637,0.2568797584764693,0.3520436323556737
up,1,bounded_beam_w16_pool32,10.0,4,0.3150383029929914,0.2647679162387436,0.36014695649018935
up,1,bounded_beam_w16_pool32,11.0,4,0.32267225303270664,0.27188706817268504,0.36651503339788816
up,1,bounded_beam_w16_pool32,12.0,4,0.3310557266575638,0.27906740442604094,0.3737192254042226
up,1,bounded_beam_w16_pool32,13.0,4,0.33935264297698997,0.2852612611172248,0.38006706234059107
up,1,bounded_beam_w16_pool32,14.0,4,0.34697220288148445,0.2910397787695082,0.3863254942543604
up,1,bounded_beam_w16_pool32,15.0,4,0.3535329044849108,0.29596681123016944,0.39099669395958364
up,1,bounded_beam_w16_pool32,16.0,4,0.3595509216328104,0.30051307085507034,0.39600880467917915
up,1,bounded_beam_w64_pool32,1.0,4,0.14435371750945397,0.11289496845812125,0.19399010888112833
up,1,bounded_beam_w64_pool32,2.0,4,0.19937066166455375,0.1733398969448551,0.24998337682393862
up,1,bounded_beam_w64_pool32,3.0,4,0.2256662268833679,0.1930315385272828,0.2793360576971483
up,1,bounded_beam_w64_pool32,4.0,4,0.2447473914164674,0.2068883379239046,0.29791344679132564
up,1,bounded_beam_w64_pool32,5.0,4,0.2624585800265264,0.21875700523414918,0.313621309605133
